,Food,Size,Calories,Fat,Carbs,Protein
0,Texas Brisket Sandwich,,620,29,53,37
1,Miami Cuban Sandwich,,510,20,45,38
2,Double Stack Reuben Sandwich,,810,37,64,55
3,Crispy Fish Sandwich,,570,25,65,20
4,Crispy Fish Flatbread,,590,25,70,20
5,Nashville Hot Fish Sandwich,,540,23,63,21
6,Nashville Hot Fish Flatbread,,630,30,71,21
7,KING’S HAWAIIAN Fish Deluxe,,690,34,74,25
8,KING’S HAWAIIAN Nashville Hot Fish Deluxe,,670,31,73,26
9,Buffalo Chicken Tenders,3 pieces,400,21,30,24
10,,5 pieces,670,34,51,39
11,Mint Chocolate Shake-Snack,12 oz,310,8,54,8
12,Mint Chocolate Shake w/ Andes® Candy Piece,16 oz,620,22,97,13
13,,24 oz,830,27,133,19
14,,32 oz,1050,36,167,24
15,Oreo® Bites,,330,21,32,4
16,Smokehouse Brisket,,600,35,42,33
17,Turkey Gyro,,470,20,48,25
18,Roast Beef Gyro,,550,29,48,24
19,Loaded Italian,,680,40,49,32
20,Reuben,,680,31,62,37
21,Classic Roast Beef,,360,14,37,23
22,Double Roast Beef,,510,24,38,38
23,Half Pound Roast Beef,,610,30,38,48
24,Classic Beef ‘n Cheddar,,450,20,45,23
25,Double Beef ‘n Cheddar,,630,32,48,39
26,Half Pound Beef ‘n Cheddar,,740,39,48,49
27,Arby’s Sauce® Adds,,15,0,3,0
28,Horsey Sauce® Adds,,60,5,3,0
29,Classic French Dip & Swiss/Au Jus,,540,22,51,34
30,Half Pound French Dip & Swiss/Au Jus,,740,35,52,55
31,Three Cheese,,650,36,44,42
32,Fire-Roasted Philly,,640,32,46,42
33,Grand Turkey Club,,480,24,37,30
34,Roast Turkey Ranch & Bacon Sandwich,,800,34,79,45
35,Roast Turkey Ranch & Bacon Wrap,,620,34,39,37
36,Roast Turkey & Swiss Sandwich,,710,28,79,38
37,Roast Turkey & Swiss Wrap,,520,27,39,30
38,Buttermilk Crispy Chicken,,560,27,52,28
39,Buttermilk Chicken Bacon & Swiss,,660,33,55,38
40,Buttermilk Chicken Cordon Bleu,,700,36,52,41
41,Buttermilk Buffalo Chicken,,550,26,52,28
42,Prime-Cut™ Chicken Tenders,3 pieces,360,17,28,23
43,,5 pieces,600,28,47,39
44,Tangy Barbeque Sauce Adds,,40,0,9,0
45,Buffalo Dipping Sauce Adds,,10,1,2,0
46,Honey Mustard Dipping Sauce Adds,,140,13,5,0
47,Ranch Dipping Sauce Adds,,100,11,2,1
48,Chopped Farmhouse Salad – Crispy Chicken,,430,24,26,28
49,Chopped Farmhouse Salad – Roast Turkey,,230,13,8,22
50,Chopped Side Salad,,70,5,4,5
51,Light Italian Dressing,,20,1,2,20
52,Dijon Honey Mustard Dressing,,180,16,8,0
53,Balsamic Vinaigrette Dressing,,130,12,4,0
