,Food,Size,Calories,Fat,Carbs,Protein
0,"All-Star Sampler, with Naked or Crispy Tenders",,2170/2450,130/149,181/212,70/64
1,Add Signature Sauce - 2 fl. oz,,70-280,0-28,4-40,0-2
2,"Beer-Battered Onion Rings,
with Southwestern Ranch Dressing",,1740,122,149,12
3,"Big Twist Pretzel, with Queso",,1150,38,164,38
4,Buffalo Chips,,580,27,76,8
5,"Cheddar Cheese Curds, with Southwestern Ranch
Dressing",,1680,139,45,62
6,Chicken Quesadilla,,1050,63,67,58
7,"Chili Queso Dip, with Tortilla Chips",,1220,62,134,31
8,Chips and Salsa,,850,37,118,13
9,Crispy Jumbo Shrimp,,500,20,59,19
10,Add Cocktail Sauce - 2 fl. oz.,,50,0,11,1
11,Add Signature Sauce - 2 fl. oz,,70-280,0-28,4-40,0-2
12,French Fries,,660,31,88,8
13,"Fried Pickles, with Southwestern Ranch Dressing",,900,69,63,7
14,House Sampler,,2480,146,225,69
15,Add Blue Cheese or Ranch Dressing - 1.5 fl. oz.,,210/240,22/25,2/2,0/1
16,Add Signature Sauce - 2 fl. oz.,,70-280,0-28,4-40,0-2
17,"Mini Corn Dogs, with Bourbon Honey Mustard",,780,42,81,18
18,"Mozzarella Sticks, with Marinara",,650,32,59,33
19,Potato Wedges,,750,38,90,12
20,"Roasted Garlic Mushrooms,
with Southwestern Ranch Dressing",,690,52,52,5
21,"Spinach Artichoke Dip, with Tortilla Chips",,1150,62,121,9
22,Street Tacos,,560,36,29,31
23,Ultimate Nachos,,1290,63,143,37
24,Add Grilled Chicken,,130,3,1,26
25,American Cheese,,280,20,8,12
26,Blue Cheese Crumbles,,420,34,5,24
27,Cheddar Cheese,,340,28,2,21
28,Cheddar Jack Cheese,,340,27,4,21
29,Pepper Jack Cheese,,310,26,1,17
30,Queso Cheese,,220,14,15,8
31,Swiss Cheese,,210,16,1,16
32,Buffalo Seasoning,,5,0,1,0
33,Chipotle BBQ Seasoning,,5,0,1,0
34,Desert Heat Seasoning,,5,0,1,0
35,Lemon Pepper Seasoning,,5,0,1,0
36,Salt and Vinegar Seasoning,,5,0,1,0
37,Bacon Bits,,120,8,1,9
38,Chili,,230,13,11,16
39,Snack Size add Signature Sauce or Dry Seasoning,,660,34,54,35
40,Add Asian Zing,,120,0,30,1
41,Add Blazin’,,100,8,4,1
42,Add Bourbon Honey Mustard,,110,1.5,24,1
43,Add Caribbean Jerk,,100,3.3,16,1
44,Add Honey BBQ,,100,0,26,0
45,Add Hot,,70,6,4,1
46,Add Hot BBQ,,50,2.5,7,1
47,Add Mango Habanero,,120,1,28,0
48,Add Medium,,50,4.5,3,0
49,Add Mild,,80,7,3,0
50,Add Parmesan Garlic,,190,18,4,2
51,Add Spicy Garlic,,70,6,5,1
52,Add Sweet BBQ,,70,0,15,1
53,Add Teriyaki,,90,0,21,3
54,Add Thai Curry,,210,21,6,1
55,Add Wild,,70,6,4,0
56,Add Buffalo,,5,0,1,0
57,Add Chipotle BBQ,,5,0,1,0
58,Add Desert Heat,,5,0,1,0
59,Add Lemon Pepper,,5,0,1,0
60,Add Salt & Vinegar,,5,0,1,0
61,"Small Size, add Signature Sauce or Dry Seasoning",,1000,51,82,52
62,Add Asian Zing,,160,0,40,1
63,Add Blazin’,,130,11,6,1
64,Add Bourbon Honey Mustard,,150,2,32,2
65,Add Caribbean Jerk,,130,4.5,21,1
66,Add Honey BBQ,,140,0,34,1
67,Add Hot,,100,8,6,1
68,Add Hot BBQ,,70,3.5,10,1
69,Add Mango Habanero,,160,1,37,1
70,Add Medium,,70,6,4,0
71,Add Mild,,110,10,4,1
72,Add Parmesan Garlic,,250,24,6,1
73,Add Spicy Garlic,,100,8,6,2
74,Add Sweet BBQ,,90,0,21,1
75,Add Teriyaki,,130,0,28,4
76,Add Thai Curry,,280,28,8,1
77,Add Wild,,100,8,6,1
78,Add Buffalo,,5,0,1,0
79,Add Chipotle BBQ,,5,0,1,0
80,Add Desert Heat,,5,0,1,0
81,Add Lemon Pepper,,5,0,1,0
82,Add Salt & Vinegar,,5,0,1,0
83,"Medium Size, add Signature Sauce or Dry Seasoning",,1490,77,123,78
84,Add Asian Zing,,250,0,60,1
85,Add Blazin’,,190,17,9,1
86,Add Bourbon Honey Mustard,,230,2.5,48,2
87,Add Caribbean Jerk,,200,7,32,1
88,Add Honey BBQ,,210,0,52,1
89,Add Hot,,150,12,8,1
90,Add Hot BBQ,,110,5,15,1
91,Add Mango Habanero,,240,1.5,56,0
92,Add Medium,,110,9,6,1
93,Add Mild,,160,15,7,1
94,Add Parmesan Garlic,,380,37,9,3
95, Add Spicy Garlic,,150,11,9,1
96,Add Sweet BBQ,,130,0,31,1
97,Add Teriyaki,,190,0,41,5
98,Add Thai Curry,,430,42,11,2
99,Add Wild,,150,13,9,1
100,Add Buffalo,,5,0,1,0
101,Add Chipotle BBQ,,"5
",0,1,0
102,Add Desert Heat,,5,0,2,0
103,Add Lemon Pepper,,5,0,2,0
104,Add Salt & Vinegar,,5,0,1,0
105,"Large Size, add Signature Sauce or Dry Seasoning",,1990,102,163,105
106,Add Asian Zing,,330,0.5,79,2
107,Add Blazin’,,250,23,12,2
108,Add Bourbon Honey Mustard,,300,3.5,65,3
109,Add Caribbean Jerk,,260,9,43,1
110,Add Honey BBQ,,280,0,69,1
111,Add Hot,,190,16,11,1
112,Add Hot BBQ,,140,7,19,2
113,Add Mango Habanero,,320,2.5,74,0
114,Add Medium,,140,11,9,1
115,Add Mild,,210,19,9,1
116,Add Parmesan Garlic,,500,49,12,4
117,Add Spicy Garlic,,190,15,12,2
118,Add Sweet BBQ,,180,0.5,41,2
119,Add Teriyaki,,250,0,55,7
120,Add Thai Curry,,570,56,15,2
121,Add Wild,,200,17,12,1
122, Add Buffalo,,10,0,1,0
123,Add Chipotle BBQ,,10,0,2,0
124,Add Desert Heat,,10,0,2,0
125,Add Lemon Pepper,,10,0,2,0
126,Add Salt & Vinegar,,5,0,1,0
127,"Snack Size, add Signature Sauce or Dry Seasoning",,360,20,0,44
128,Add Asian Zing,,80,0,20,0
129,Add Blazin’,,60,6,3,0
130,Add Bourbon Honey Mustard,,80,1,16,1
131,Add Caribbean Jerk,,70,2.5,11,0
132,Add Honey BBQ,,70,0,17,0
133,Add Hot,,50,4,3,0
134,Add Hot BBQ,,35,2,5,0
135,Add Mango Habanero,,80,0.5,19,0
136,Add Medium,,35,3,2,0
137,Add Mild,,50,5,2,0
138,Add Parmesan Garlic,,130,12,3,1
