,Food,Size,Calories,Fat,Carbs,Protein
0,WHOPPER® Sandwich,,660,40,49,28
1,WHOPPER® Sandwich w/o Mayo,,500,22,49,28
2,WHOPPER® Sandwich with Cheese,,740,46,50,32
3,WHOPPER® Sandwich with Cheese w/o Mayo,,580,29,50,32
4,Bacon & Cheese WHOPPER® Sandwich,,790,51,50,35
5,BBQ Bacon WHOPPER® Sandwich,,800,51,53,35
6,DOUBLE WHOPPER® Sandwich,,900,58,49,48
7,DOUBLE WHOPPER® Sandwich w/o Mayo,,740,40,49,47
8,DOUBLE WHOPPER® Sandwich with Cheese,,980,64,50,52
9,DOUBLE WHOPPER® Sandwich with Cheese w/o Mayo,,820,47,50,52
10,WHOPPER JR.® Sandwich,,310,18,27,13
11,BACON KING™ Sandwich,,1150,79,49,61
12,Homestyle Cheeseburger,,550,27,48,30
13,Hamburger,,220,8,26,11
14,Cheeseburger,,270,12,27,13
15,Double Hamburger,,310,15,26,18
16,Double Cheeseburger,,350,18,27,20
17,Extra Long Cheeseburger,,590,34,45,26
18,Bacon Cheeseburger,,300,15,27,15
19,Bacon Double Cheeseburger,,370,20,27,21
20,Double Cheeseburger,,350,18,27,20
21,Bacon Cheeseburger Deluxe,,290,13,28,14
22,Classic Grilled Dog,,310,16,32,11
23,Chili Cheese Grilled Dog,,330,19,28,14
24,Grilled Chicken Sandwich,,470,19,39,37
25,Grilled Chicken Sandwich w/o Mayo,,370,7,39,36
26,Crispy Chicken Sandwich,,670,41,54,23
27,Crispy Chicken Sandwich w/o Mayo,,460,17,54,23
28,Original Chicken Sandwich,,660,40,48,28
29,Original Chicken Sandwich w/o Mayo,,450,16,48,28
30,Crispy Chicken Jr.,,450,30,34,12
31,Spicy Crispy Chicken Jr.,,390,21,37,12
32,Chicken Nuggets- 4pc,,170,11,11,8
33,Chicken Nuggets- 6pc,,260,16,16,12
34,Chicken Nuggets- 10 pc,,430,27,27,20
35,Chicken Nuggets- 20 pc,,860,54,53,39
36,Chicken Fries - 9 pc.,,280,17,20,13
37,Jalapeno Chicken Fries,,300,18,19,15
38,BIG FISH™ Sandwich,,510,28,51,16
39,BK VEGGIE® Burger **,,390,15,42,22
40,BK VEGGIE® Burger ** w/o Mayo,,310,7,42,22
41,Kids Oatmeal,,170,3,32,4
42,Mott's® Natural Applesauce,,50,0,13,0
43,Fat FREE Milk (8 fl oz),,90,0,13,9
44,1% Low Fat Chocolate Milk (8 fl oz),,160,2.5,26,8
45,Capri Sun® 100% Apple Juice,,80,0,20,0
46,Soft Serve Cone,,190,4.5,32,5
47,Chocolate Chip cookie (in some areas),,160,8,24,2
48,Garden Chicken Salad with Grilled Chicken - no dressing,,340,15,16,39
49,Garden Chicken Salad with Crispy Chicken - no dressing,,440,25,31,25
50,Bacon Cheddar Ranch Chicken Salad with Grilled Chicken and dressing,,620,41,18,46
51,Bacon Cheddar Ranch Chicken Salad with Crispy Chicken and dressing,,710,50,34,32
52,Garden Side Salad - w/o dressing,,60,4,3,4
53,Ken's Ranch Dressing,,260,28,2,1
54,Buttery Garlic Croutons- Packet,,60,2.5,9,1
55,Onion Rings - value,,150,8,19,1
56,Onion Rings - small,,320,16,41,3
57,Onion Rings - medium,,410,21,53,4
58,Onion Rings - large,,500,25,64,5
59,French Fries - value (Salted),,220,10,31,3
60,French Fries - small (Salted),,320,14,44,4
61,French Fries - medium (Salted),,380,17,53,5
62,French Fries - large (Salted),,430,19,60,6
63,Quaker® Oatmeal Maple Flavor (Artificial maple flavor in Vermont only).,,170,3,32,4
64,"Sausage, Egg, Cheese & Hash Brown Burrito",,370,23,27,15
65,EGG-NORMOUS Burrito™,,910,55,73,33
66,Supreme Breakfast Sandwich,,880,59,45,41
67,BK™ Ultimate Breakfast Platter,,1190,66,123,27
68,NY Ultimate Platter (Regional menu item),,870,44,95,22
69,Pancake and Sausage platter,,610,31,72,12
70,CROISSAN'WICH® Egg & Cheese,,300,15,30,11
71,"CROISSAN'WICH® Sausage, Egg & Cheese",,470,30,30,18
72,"CROISSAN'WICH® Ham, Egg & Cheese",,330,16,31,16
73,"CROISSAN'WICH® Bacon, Egg & Cheese",,340,18,30,12
74,Fully Loaded CROISSAN'WICH®,,610,40,31,28
75,KING CROISSAN'WICH™ w/ Double Sausage,,700,51,31,27
76,KING CROISSAN'WICH™ w/ Sausage and Bacon,,580,39,31,24
77,KING CROISSAN'WICH™ w/ Ham and Sausage,,530,34,31,23
78,Sausage Biscuit,,390,25,28,12
79,"Ham, Egg, & Cheese Biscuit",,370,21,30,16
80,"Sausage, Egg, & Cheese Biscuit",,510,35,29,18
81,"Bacon, Egg & Cheese Biscuit",,380,23,29,13
82,Fully Loaded Biscuit,,610,42,31,28
83,Cinnamon Roll- Otis Spunkmeyer®,,280,11,41,4
84,Hash Browns - small,,250,16,24,2
85,Hash Browns - medium,,500,33,48,4
86,Hash Browns - large,,670,44,65,5
87,French Toast Sticks (3 piece),,230,11,29,3
88,French Toast Sticks (5 piece),,380,18,49,5
89,Dutch Apple Pie,,340,14,51,3
90,HERSHEY®'S Sundae Pie,,310,19,32,3
91,Reese's Peanut Butter Cup Pie,,310,19,31,5
92,Pie made with SNICKERS®,,300,16,36,4
93,Soft Serve Cone,,190,4.5,32,5
94,Caramel Sundae,,290,6,53,6
95,Chocolate Fudge Sundae,,280,7,47,6
96,Butter Sugar Cookie,,160,7,22,2
97,Carnival Cookie,,160,7,22,2
98,"Red, White & Blue Cookie",,160,6,23,1
99,Ginger Spice Cookie,,150,5,25,2
100,Chocolate Chip Cookies (2),,330,15,47,3
101,White Chocolate Macadamia Nut Cookies (2),,340,18,44,4
102,Oatmeal Raisin Cookies (2),,310,13,46,4
103,American Cheese (slice),,40,3.5,1,2
104,Ketchup (Packet),,10,0,3,0
105,Mayonnaise (Packet),,80,9,1,0
106,Strawberry or Grape Jam (packet),,30,0,7,0
107,Breakfast Syrup (1 oz),,120,0,30,0
108,Barbecue Dipping Sauce (1 oz),,40,0,11,0
109,Ranch Dipping Sauce (1 oz),,140,15,1,1
110,Buffalo Dipping Sauce (1 oz),,80,8,2,0
111,Chicken Fry Dipping Sauce (1 oz),,140,13,6,0
112,Zesty Onion Ring Dipping Sauce (1 oz),,150,15,3,0
113,Smoothie: Strawberry Banana 16 fl oz,,310,1,71,4
114,Smoothie: Tropical Mango- 16 fl oz,,370,0,86,5
115,Oreo® Shake,,730,21,121,15
116,Chocolate Oreo® Shake,,610,19,99,13
117,FROOT LOOPS® Shake,,720,17,126,16
118,Vanilla Milk Shake,,580,15,98,14
119,Chocolate Milk Shake,,610,16,103,14
120,Strawberry Milk Shake,,640,15,113,14
121,Coca Cola classic®‡,16 fl oz,210,0,58,0
122,,20 fl oz,270,0,73,0
123,,29 fl oz,390,0,105,0
124,,38 fl oz,510,0,138,0
