,Food,Size,Calories,Fat,Carbs,Protein,Price
0,"Stuffed Mushrooms
",,510,380,19,15,See Price
1,"Greek Salad
",,740,610,19,14,See Price
2,"Loaded Bake Potato TOTS
",,1030,700,53,25,See Price
3,"Little House Salad
",,260,210,10,2,See Price
4,"Chicken Samosas
",,480,250,29,26,See Price
5,"Fresh Kale Salad
",,1360,1080,43,23,See Price
6,"Fried Zucchini
",,480,250,29,26,See Price
7,"Crispy Fried Cheese
",,1080,690,50,52,See Price
8,"Edamame
",,100,25,11,8,See Price
9,"Dynamite Shrimp
",,570,390,24,19,See Price
10,"Crispy Crab Bites
",,410,270,19,15,See Price
11,"Roadside Sliders
",,800,320,70,200,See Price
12,"Quesadilla
",,1030,630,61,44,See Price
13,"Hot Spinach And Cheese Dip
",,1770,1180,117,29,See Price
14,"Tex Mex Eggrolls
",,930,480,72,43,See Price
15,"Fried Calamari
",,1520,950,98,44,See Price
16,"Buffalo Blasts
",,1670,840,10,78,See Price
17,"Warm Crab & Artichoke Dip
",,1170,780,68,25,See Price
18,"Sweet Corn Tamale Cakes
",,1340,790,119,16,See Price
19,"Eggroll Sampler
",,1340,720,112,44,See Price
20,"Thai Lettuce Wraps
",,830,370,110,15,See Price
21,"Fire-Roasted Fresh Artichoke
",,1170,780,84,10,See Price
22,"Factory Nachos
",,2670,1720,173,63,See Price
23,"Buffalo Wings
",,1120,620,16,109,See Price
24,"Buffalo Chicken Strips
",,1090,430,87,76,See Price
25,"Tossed Green Salad
",,140,50,19,5,See Price
26,"Caesar Salad
",,860,670,30,15,See Price
27,"Caesar Salad With Chicken
",,1090,740,30,54,See Price
28,"French Country Salad
",,500,360,28,9,See Price
29,"Factory Chopped Salad
",,790,520,35,35,See Price
30,"Cheese Flatbread
",,1000,450,86,49,See Price
31,"Margherita Flatbread
",,760,270,85,34,See Price
32,"Pepperoni Flatbread
",,1110,550,96,53,See Price
33,"The Everything Flatbread
",,1160,570,92,55,See Price
34,"Old Fashioned Burger
",,990,540,64,46,See Price
35,"Factory Turkey Burger
",,1110,680,58,52,See Price
36,"Classic Burger
",,1340,780,69,66,See Price
37,"Smokehouse B.B.Q. Burger
",,1580,880,106,68,See Price
38,"Mushroom Burger
",,1470,910,72,65,See Price
39,"Americana Cheeseburger
",,1400,830,79,60,See Price
40,"Macaroni And Cheese Burger
",,1340,760,81,60,See Price
41,"Bacon-Bacon Cheeseburger
",,1590,970,76,78,See Price
42,"Veggie Burger
",,1160,510,136,27,See Price
43,"Spicy Crispy Chicken Sandwich
",,1010,520,60,63,See Price
44,"Grilled Turkey Burger
",,560,270,45,29,See Price
45,"Avocado Toast
",,820,360,105,17,See Price
46,"California Guacamole Salad
",,890,590,69,14,See Price
47,"Vegan Cobb Salad
",,1080,800,58,16,See Price
48,"Almond-Crusted Salmon Salad
",,1040,660,62,36,See Price
49,"Avocado
",,160,130,8,2,See Price
50,"Grilled Chicken
",,220,70,0,39,See Price
51,"Grilled Shrimp
",,90,10,2,18,See Price
52,"Grilled Salmon
",,220,110,2,26,See Price
53,"Chargrilled Steak
",,200,70,0,34,See Price
54,"Renee’s Special
",,790,390,69,32,See Price
55,"Chicken Bellagio
",,1790,900,135,88,See Price
56,"White Chicken Chili
",,590,140,33,79,See Price
57,"Chicken Enchiladas
",,1910,990,130,101,See Price
58,"Cajun Chicken “Littles”
",,2130,980,177,110,See Price
59,"Shepherd’s Pie
",,1520,800,97,81,See Price
60,"Baja Chicken Tacos
",,1250,470,123,72,See Price
61,"Fish Tacos
",,1030,380,121,44,See Price
62,"Grilled Steak Tacos
",,1060,440,124,31,See Price
63,"Factory Burrito Grande
",,2150,1160,160,92,See Price
64,"Famous Factory Meatloaf
",,1800,930,132,85,See Price
65,"Parmesan-Herb Crusted Chicken
",,1330,690,57,104,See Price
66,"Chicken & Biscuits
",,1610,790,127,84,See Price
67,"Crusted Chicken Romano
",,1660,860,138,90,See Price
68,"Orange Chicken
",,1690,530,218,74,See Price
69,"Crispy Chicken Costoletta
",,1760,1050,102,76,See Price
70,"Chicken Piccata
",,1470,750,103,78,See Price
71,"Spicy Cashew Chicken
",,1820,480,244,94,See Price
72,"Teriyaki Chicken
",,1550,410,192,97,See Price
73,"Chicken Marsala And Mushrooms
",,1510,640,130,87,See Price
74,"Bang-Bang Chicken And Shrimp
",,1410,520,147,76,See Price
75,"Tomato Basil Pasta
",,1580,840,127,63,See Price
76,"Fettuccini Alfredo
",,2040,1250,145,53,See Price
77,"Spaghetti And Meatballs
",,1920,1000,179,66,See Price
78,"Four Cheese Pasta
",,1280,680,132,49,See Price
79,"Four Cheese Pasta With Chicken
",,1550,820,132,82,See Price
80,"Pasta Carbonara
",,2070,1290,141,51,See Price
