,Food,Calories,Fat,Carbs,Protein
0,Chick-fil-A® Chicken Biscuit,450,21,50,17
1,Chick-n-Minis™,350,14,40,20
2,Egg White Grill,300,7,31,25
3,"Bacon, Egg & Cheese Biscuit",420,21,41,15
4,"Sausage, Egg & Cheese Biscuit",600,40,41,20
5,"Chicken, Egg, & Cheese Bagel",480,18,51,27
6,Hash Browns,240,16,23,2
7,Fruit Cup,45,0,12,0
8,Greek Yogurt Parfait,230,9,28,12
9,Buttered Biscuit,300,13,41,4
10,"Bacon, Egg, & Cheese Muffin",300,12,32,16
11,Hash Brown Scramble Bowl,450,28,19,30
12,Hash Brown Scramble Burrito,680,38,50,35
13,Sunflower Multigrain Bagel,220,3,42,6
14,Chick-fil-A® Chicken Sandwich,440,19,40,28
15,Chick-fil-A® Deluxe Sandwich,500,23,42,31
16,Spicy Sandwich,450,19,41,29
17,Spicy Deluxe Sandwich,540,25,43,34
18,Chick-fil-A® Nuggets,260,12,9,28
19,Chick-n-Strips™,350,17,22,28
20,Grilled Chicken Sandwich,310,6,36,29
21,Grilled Nuggets,140,3.5,2,25
22,Grilled Chicken Club Sandwich,430,16,37,37
23,Grilled Chicken Cool Wrap®,350,14,29,37
24,Grilled Market Salad,330,14,26,27
25,Cobb Salad,510,27,28,40
26,Spicy Southwest Salad,450,19,37,34
27,Waffle Potato Fries™,360,18,43,5
28,Superfood Side,190,9,25,4
29,Chicken Noodle Soup,240,4.5,35,22
30,Side Salad,160,11,12,6
31,Chicken Tortilla Soup,260,6,30,22
32,Nuggets Kid's Meal,130,6,5,14
33,Chick-n-Strips™ Kid's Meal,230,11,14,19
34,Grilled Nuggets Kid's Meal,70,2,1,13
35,Frosted Lemonade,330,6,65,6
36,Frosted Coffee,240,6,41,7
37,Cookies & Cream Milkshake,590,25,81,12
38,Chocolate Milkshake,560,22,82,12
39,Strawberry Milkshake,570,21,85,12
40,Vanilla Milkshake,500,21,67,11
41,Chocolate Chunk Cookie,350,16,50,4
42,Icedream® Cone,170,4,31,5
43,Freshly-Brewed Iced Tea Sweetened,120,0,31,0
44,Fresh-Squeezed Lemonade,220,0,58,0
45,Coca-Cola®,190,0,50,0
46,Dr Pepper®,260,0,70,0
47,Cold Brew Iced Coffee,150,2.5,26,5
48,Hot Coffee,5,0,0,1
49,1% Chocolate Milk,150,2.5,25,7
50,1% White Milk,90,2,11,7
51,Simply Orange®,160,0,38,3
