,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,"13"" Flour Tortillas",,340,9,54,9
1,"6"" Flour Tortillas",,300,7.5,45,9
2,Crispy Taco Shells,,240,9,34,4
3,Rice,,240,7,40,4
4,Black Beans,,130,1,22,9
5,Pinto Beans,,138,1,23,9
6,Fajita Vegetables,,100,8,6,1
7,Barbacoa,,285,16,1,34
8,Carnitas,,227,12,0,29
9,Chicken,,219,11,0,29
10,Steak,,230,12,2,29
11,Tomato Salsa,,25,0,6,1
12,Corn Salsa,,100,1,22,3
13,Red Tomatillo,,28,1,4,1
14,Green Tomatillo,,15,<1,3,1
15,Cheese,,110,9,<1,7
16,Sour Cream,,120,10,2,2
17,Guacamole,,170,15,8,2
18,Lettuce,,5,0,<1,<1
19,Chips,,490,19,71,7
