,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,ORIGINAL WING,,290,18,8,24
1,ORIGINAL LEG,,150,8,6,12
2,ORIGINAL THIGH,,360,27,12,18
3,ORIGINAL BREAST,,250,14,9,23
4,SPICY WING,,350,20,19,25
5,SPICY LEG,,160,9,9,13
6,SPICY THIGH,,380,25,21,17
7,SPICY BREAST,,280,17,12,22
8,TENDER STRIP ®,,100,5,5,9
9,SPICY TENDER STRIP ®,,120,5,8,10
10,BONELESS WING - WITHOUT SAUCE,,90,5,6,4
11,BONELESS WING - WITH SAUCE,,100,5,11,4
12,ORIGINAL CHICKEN SANDWICH,,370,21,35,11
13,SPICY CHICKEN SANDWICH,,360,19,35,11
14,COB SANDWICH,,810,55,50,25
15,HAMBURGER,,530,35,26,27
16,CHEESEBURGER,,590,40,28,30
17,BIG TEX® SANDWICH,,590,29,56,25
18,CHICKEN FRIED STEAK WITH GRAVY,,640,47,37,17
19,CRISPY FISH FILLET,,170,7,16,10
20,POPCORN SHRIMP,,450,27,35,16
21,BUTTERFLY SHRIMP (8),,320,17,31,12
22,LIVERS - SNACK (6),,460,28,28,25
23,GIZZARDS - SNACK (6),,370,23,23,16
24,MASHED POTATOES & GRAVY,REGULAR,110,1,24,2
25,,LARGE,320,3.5,71,6
26,CORN,REGULAR,190,6,34,5
27,,LARGE,370,12,69,10
28,COLE SLAW,REGULAR,170,11,16,1
29,,LARGE,500,34,49,3
30,OKRA,REGULAR,260,15,30,3
31,,LARGE,740,41,84,9
32,FRENCH FRIES,REGULAR,210,9,29,3
33,,LARGE,570,24,80,7
34,SPICY RICE,REGULAR,230,14,21,7
35,,LARGE,700,41,62,21
36,BAKED MACARONI & CHEESE,REGULAR,210,12,19,9
37,,LARGE,640,36,57,26
38,GREEN BEANS,REGULAR,45,1,8,3
39,,LARGE,140,2.5,23,9
40,JALAPEÑO CHEESE BOMBERS ®,4,220,11,24,6
41,,8,440,22,48,11
42,SWEET CORN NUGGETS,4,160,8,21,2
43,,16,660,33,83,8
44,JALAPEÑO PEPPER,,5,0,1,0
45,HONEY-BUTTER BISCUIT,,230,15,25,3
46,DINNER ROLLS,,60,1,11,2
47,HONEY BBQ SAUCE,,45,0,11,0
48,HONEY MUSTARD SAUCE,,140,13,4,<1
49,RANCH SAUCE,,140,15,2,0
50,CREAMY JALAPEÑO SAUCE,,120,13,2,0
51,HONEY SAUCE,,80,0,20,0
52,KETCHUP,,10,0,2,0
53,TEXAS PETE ® HOT SAUCE,,5,0,1,0
54,TARTAR SAUCE,,100,10,3,0
55,COCKTAIL SAUCE,,25,0,6,0
56,WHITE GRAVY,REGULAR,80,4,12,<1
57,,LARGE,250,11,36,2
58,APPLE PIE,,270,13,37,3
59,COKE®,REGULAR,290,0,80,0
60,,LARGE,400,0,109,0
61,SPRITE®,REGULAR,290,0,77,0
62,,LARGE,390,0,105,0
63,DIET COKE®,REGULAR,0,0,<1,0
64,,LARGE,0,0,<1,0
65,HI-C® PINK LEMONADE,REGULAR,290,0,79,0
66,,LARGE,390,0,107,0
67,FANTA ORANGE®,REGULAR,310,0,86,0
68,,LARGE,430,0,117,0
69,FANTA APPLE®,REGULAR,340,0,89,0
70,,LARGE,460,0,121,0
71,FANTA STRAWBERRY®,REGULAR,340,0,92,0
72,,LARGE,460,0,125,0
73,MINUTE MAID® LEMONADE,REGULAR,290,0,79,0
74,,LARGE,390,0,108,0
75,CHURCH’S SOUTHERN SWEET TEA®,REGULAR,190,0,48,0
76,,LARGE,270,0,68,0
77,UNSWEETENED TEA,REGULAR,0,0,0,0
78,,LARGE,0,0,0,0
79,BARQS® ROOT BEER,REGULAR,330,0,90,0
80,,LARGE,450,0,122,0
81,HI-C® FRUIT PUNCH,REGULAR,310,0,85,0
82,,LARGE,420,0,115,0
83,DR PEPPER®,REGULAR,280,0,73,0
