,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,Cajun Style Char-Grilled Chicken Breast,,380,0,1,0
1,Banana Nut Milkshake,,700,27,103,15
2,Banana Berry Milkshake,,670,16,123,15
3,Add Out West Style,,200,18,4,8
4,Caramel Milkshake,,560,17,91,15
5,Add Cook Out Style,,120,5,7,3
6,Bacon Cheddar Hot Dog,,520,29,47,19
7,Beef Quesadilla,,510,29,42,22
8,Banana Pudding Milkshake,,780,26,126,16
9,Blueberry Milkshake,,620,17,107,15
10,Add Cheddar Style,,230,20,5,8
11,Add Everything,,90,8,5,1
12,Banana Pineapple Milkshake,,570,16,96,15
13,Banana Fudge Milkshake,,770,24,130,17
14,BLT Sandwich,,390,25,29,15
15,Char-Grilled Chicken Breast,,380,17,29,25
16,Add Steak Style,,90,8,5,1
17,Big Double Burger,,310,13,27,20
18,"Cheerwine, Huge",,290,0,81,0
19,BBQ Plate,,980,43,105,35
20,Barbeque Style Char-Grilled Chicken Breast,,380,17,29,25
21,Cheddar Style Char-Grilled Chicken Breast,,530,30,32,33
22,Bacon Ranch Wrap,,420,28,24,20
23,Cheerwine Float,,400,11,69,10
24,Cajun Wrap,,500,27,44,25
25,Caramel Fudge Milkshake,,680,21,111,16
26,"Cheerwine, Large",,220,0,60,0
27,"Cheerwine, Regular",,140,0,40,0
28,Cappuccino Milkshake,,560,18,86,16
29,Cheese Style Crispy Chicken Breast,,440,17,44,24
30,Cheese Dog,,150,3,25,3
31,Cheese Quesadilla,,360,23,24,13
32,Cherry Cheesecake Milkshake,,930,42,119,21
33,Cook Out Style Hot Dog,,380,20,29,11
34,Chocolate Cherry Milkshake,,670,17,123,15
35,Cherry Cobbler Milkshake,,840,27,135,17
36,"Coca-Cola, Huge",,280,0,78,0
37,"Dr. Pepper, Regular",,140,0,37,0
38,"Coca-Cola, Regular",,140,0,39,0
39,"Diet Coke, Huge",,0,0,0,0
40,"Diet Coke, Regular",,0,0,0,0
41,"Chicken Nuggets, Side",,140,11,7,10
42,"Dr. Pepper, Huge",,280,0,74,0
43,"Diet Coke, Large",,0,0,0,0
44,Double Chocolate Milkshake,,650,17,129,15
45,"Coca-Cola, Large",,210,0,59,0
46,Chocolate Malt Milkshake,,670,19,119,17
47,Coke Float,,400,11,69,10
48,Corn Dog,,220,11,26,5
49,Chocolate Chip Mint Milkshake,,830,32,120,18
50,Club Style Char-Grilled Chicken Breast,,190,16,1,10
51,Chicken Quesadilla,,440,27,31,19
52,"Chicken Nuggets, Full Order",,240,18,12,16
53,Chocolate Chip Milkshake,,780,32,107,18
54,"Dr. Pepper, Large",,210,0,56,0
55,Chocolate Nut Milkshake,,750,28,119,15
56,Cook Out Fries,,470,21,49,7
57,Chicken Strips (3),,660,33,60,36
58,Chicken Strip Club,,850,48,70,39
59,Chicken Strip Sandwich,,670,32,71,28
60,Hot Dog,,260,15,22,8
61,"Fresh Brewed Tea, Huge",,380,0,148,0
62,Orginal Style Char-Grilled Chicken Breast,,390,18,31,25
63,Peach Milkshake,,550,17,91,15
64,Oreo Mint Milkshake,,850,29,138,17
65,Malted Milk Milkshake,,610,19,95,17
66,"Hushpuppies, Side",,300,9,47,2
67,Orange Push Up Milkshake,,640,18,109,16
68,"Hushpuppies, Full Order",,600,18,93,3
69,Fudge Milkshake,,750,25,122,17
70,Hi-C Punch Milkshake,,600,17,102,15
71,Huge 1/2 lb Burger,,510,26,27,39
72,Fresh Watermelon Milkshake,,650,16,89,15
73,"Fries, Large",,690,34,89,7
74,"Fresh Brewed Tea, Large",,290,0,111,0
75,Mexi Hot Dog,,360,18,29,11
76,Fresh Peanut Butter Milkshake,,850,45,91,27
77,"Hi-C Orange Lave Burst, Large",,240,0,65,63
78,Oreo Milkshake,,800,29,125,17
79,Mocha Milkshake,,620,18,110,16
80,"Onion Rings, Full Order",,260,2,56,6
81,Peach Cobbler Milkshake,,790,27,127,17
82,"Onion Rings, Side",,130,1,28,3
83,"Fresh Brewed Tea, Regular",,200,0,74,0
84,Nilla Wafers Milkshake,,760,27,117,17
85,Fresh Banana Milkshake,,540,16,89,15
86,"Fries, Regular",,350,17,45,4
87,Hershey's Chocolate Milkshake,,620,18,110,16
88,"Hi-C Orange Lave Burst, Huge",,320,0,85,84
89,M&M Milkshake,,760,27,114,17
90,Mustard Relish Hot Dog,,390,16,50,11
91,"Hi-C Orange Lave Burst, Regular",,160,0,43,42
92,Mint Milkshake,,610,18,99,16
93,Heath Toffee Milkshake,,700,28,101,15
94,Honey Mustard Wrap,,520,28,46,25
95,Peanut Butter Banana Milkshake,,860,43,99,27
96,Vanilla Milkshake,,560,18,86,16
97,Peanut Butter Fudge Milkshake,,770,34,101,21
98,Strawberry Milkshake,,610,17,105,15
99,Snickers Milkshake,,720,27,107,19
100,Spicy Style Crispy Chicken Breast,,450,18,45,21
101,"Sprite, Huge",,290,0,65,0
102,Pineapple Milkshake,,580,17,94,16
103,Small 1/8 lb Burger,,230,7,27,12
104,Red Cherry Milkshake,,600,17,99,15
105,Philadelphia Cheesecake Milkshake,,850,42,101,21
106,Reese's Cup Milkshake,,890,37,121,24
107,Side of Slaw,,100,8,7,0
108,Regular 1/4 lb Burger,,330,14,27,22
109,Ranch Wrap,,520,29,44,25
110,"Sprite, Large",,220,0,50,0
111,"Sprite, Regular",,140,0,31,0
112,Side of Chili,,160,3,4,5
113,Walnut Milkshake,,850,40,109,15
114,Reg BBQ Sandwich,,370,12,35,29
