,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,Peanut Buster® Parfait,,710,30,98,16
1,Banana Split,,530,13,99,9
2,Oreo® Brownie EarthQuake® Treat,,750,27,152,10
3,Turtle Waffle Bowl Sundae,Plain,730,28,112,11
4,,Dipped,820,34,119,11
5,Choc. Cov. Strawberry Waffle Bowl S.,Plain,710,32,97,9
6,,Dipped,790,38,104,10
7,Fudge Brownie Temptation Waffle Bowl S.,Plain,860,41,117,13
8,,Dipped,940,47,124,13
9,Chocolate Coated Waffle Cone w/ Soft Serve,,540,21,80,10
10,Plain Waffle Cone with Soft Serve,,420,12,70,9
11,"Sundae, Caramel",Small,300,7,53,6
12,,Medium,430,11,75,9
13,,Large,610,15,109,12
14,"Sundae, Cherry",Small,240,6,42,5
15,,Medium,350,10,58,8
16,,Large,500,13,85,11
17,"Sundae, Chocolate",Small,280,7,50,6
18,,Medium,400,10,71,8
19,,Large,570,13,103,11
20,"Sundae, Hot Fudge",Small,300,10,48,6
21,,Medium,440,15,67,9
22,,Large,620,20,98,12
23,"Sundae, Marshmallow",Small,290,6,52,5
24,,Medium,410,10,74,8
25,,Large,590,13,107,11
26,"Sundae, Pineapple",Small,240,6,40,5
27,,Medium,340,10,54,8
28,,Large,490,13,81,11
29,"Sundae, Raspberry",Small,270,6,47,6
30,,Medium,380,10,66,8
31,,Large,550,13,96,11
32,"Sundae, Strawberry",Small,240,6,41,5
33,,Medium,350,10,57,8
34,,Large,500,13,85,11
35,Vanilla Cone,Kids,170,4.5,28,4
36,,Small,240,7,38,6
37,,Medium,340,9,55,8
38,,Large,470,13,78,12
39,Chocolate Cone,Kids,180,5,29,4
40,,Small,240,7,39,6
41,,Medium,350,10,56,8
42,,Large,490,14,79,12
43,"Dipped Cone, Chocolate",Kids,220,9,31,4
44,,Small,330,15,44,6
45,,Medium,480,21,63,8
46,,Large,660,29,88,12
47,"DQ Cake, 10”",1/12 slice,430,15,63,9
48,"DQ Cake, 8”",1/8 slice,420,15,63,9
49,DQ Heart Cake,1/10 slice,240,8,36,5
50,DQ Log Cake,1/8 slice,340,13,52,6
51,DQ Sheet Cake,1/24 slice,320,12,49,6
52,"Oreo® Blizzard® Cake, 10”",1/12 slice,560,23,81,9
53,"Oreo Blizzard Cake, 8”",1/8 slice,560,24,79,9
54,Reese® PB Cups® Blizz. Cake 10”,1/12 slice,590,27,78,11
55,Reese PB Cups Blizz. Cake 8”,1/8 slice,580,27,77,10
56,"Chocolate Xtreme Blizz. Cake, 10”",1/12 slice,600,27,82,10
57,"Chocolate Xtreme Blizz. Cake, 8”",1/8 slice,590,27,81,9
58,Mocha Torte,,450,21,60,7
59,Raspberry Torte,,420,18,61,6
60,Turtle Torte,,480,15,79,7
61,Treatzza Pizza® PB Fudge,1/8 slice,220,10,28,4
62,Treatzza Pizza Skor® Blizzard Cake,1/8 slice,180,7,27,4
63,Treatzza Pizza Smarties® Blizz. Cake,1/8 slice,190,7,29,3
64,Treatzza Pizza Strawb Banana Blizz. Cake,1/8 slice,170,6,28,3
65,Chocolate Xtreme Blizzard Cupcake,,240,9,24,3
66,Oreo® Blizzard Cupcake,,200,10,27,3
67,Strawberry CheeseQuake® Blizzard Cupcake,,230,12,28,3
68,"Arctic Rush, All Flavours",Small,220,0,54,0
69,,Medium,280,0,69,0
70,,Large,370,0,92,0
71,"Arctic Rush Freeze, All Flavours",Small,380,9,66,7
72,,Medium,610,14,108,12
73,,Large,840,24,137,19
74,"Arctic Rush Float, All Flavours",Small,320,5,64,4
75,,Medium,400,7,80,5
76,,Large,530,9,106,7
77,Lemonade Chiller,Small,260,0,66,0
78,,Medium,390,0,102,0
79,,Large,620,0,161,0
80,Strawberry Chiller,Small,310,0,78,0
81,,Medium,440,0,114,0
82,,Large,720,0,186,0
