,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,Beer Battered Fish Taco,,230,12,26,7
1,CrunchTada Tostada,,330,14,38,12
2,Flatbread Taco,Carne Asada,350,15,34,17
3,,Chicken,320,14,34,16
4,Grilled Chicken Taco,,210,12,16,12
5,The Del Taco,Crunchy,310,20,14,17
6,,Soft,300,18,17,18
7,The Turkey Del Taco,Crunchy,280,16,15,17
8,,Soft,270,15,17,18
9,Queso Crunch Taco,,400,23,28,20
10,Salsa Chicken Taco,,150,5,16,10
11,Street Taco,Carne Asada,180,7,20,11
12,,Chicken,170,7,20,10
13,Value Taco,Crunchy,130,8,9,6
14,,Soft,150,7,15,7
15,1/2lb Bean & Cheese Burrito,Green,450,10,70,21
16,,Red,470,10,69,21
17,Queso Bean Burrito,,480,13,70,23
18,8 Layer Veggie Burrito,,540,18,72,18
19,Carne Asada Wet Burrito,,700,27,63,37
20,Chicken Roller,Chipotle,280,12,29,14
21,,Original,250,9,30,14
22,,Ranch,280,12,29,14
23,,Queso,270,10,29,14
24,Chicken Verde Wet Burrito,,620,27,67,35
25,Classic Grilled Chicken Burrito,,530,33,40,20
26,Del Beef Burrito™,,500,24,40,27
27,Del Combo Burrito ™,,540,17,64,27
28,Del Turkey Combo Burrito,,510,14,65,27
29,Epic Cali Steak & Guac Burrito,,800,39,80,30
30,Epic Carne Asada Burrito,,750,24,90,42
31,Epic Chipotle Chicken Avocado Burrito,,950,48,91,38
32,Epic Grilled Chicken Avocado Burrito,,840,36,90,38
33,Epic Queso Chicken Burrito,,870,45,78,38
34,Epic Steak & Potato Burrito,,1040,61,77,40
35,"Jacked Up Value Bean, Rice & Cheese Burrito",,280,8,40,12
36,Kid's Value Bean & Cheese Burrito,Green,310,9,45,14
37,,Red,320,9,44,14
38,Macho Combo Burrito™,,950,37,100,46
39,Spicy Grilled Chicken Burrito,,530,17,71,26
40,Avocado Veggie Bowl,,460,14,70,14
41,Pollo Asado Avocado Bowl,,570,23,61,31
42,Bacon Double Del Cheeseburger®,,740,51,35,33
43,Carne Asada Fries,,810,59,46,24
