,Food,Size, 
0,"Bacon Strips
Calories: 100
Fat: 8
Carbs: 1
Protein: 7",4 strips,Price
1,"Buttermilk Biscuit
Calories: 240
Fat: 13
Carbs: 27
Protein: 4",1 biscuit,Price
2,"Egg Whites
Calories: 80
Fat: 1
Carbs: 1
Protein: 13",2 egg whites,Price
3,"Eggs, Boiled
Calories: 130
Fat: 8
Carbs: 1
Protein: 11",2 boiled eggs,Price
4,"Eggs, Fried / Basted
Calories: 190
Fat: 16
Carbs: 1
Protein: 11",2 eggs,Price
5,"Eggs, Scrambled
Calories: 220
Fat: 17
Carbs: 1
Protein: 14",2 eggs,Price
6,"English Muffin w/o margarine / w/ margarine
Calories: 140/190
Fat: 1/6
Carbs: 29
Protein: 5",1 english muffin,Price
7,"Gluten-Free English Muffin w/o margarine / w/ margarine
Calories: 180/210
Fat: 1.5/6
Carbs: 36
Protein: 4",1 english muffin,Price
8,"Grilled Ham
Calories: 90
Fat: 3
Carbs: 1
Protein: 15",1 slice,Price
9,"Grits w/ margarine
Calories: 90
Fat: 4.5
Carbs: 12
Protein: 1",,Price
10,"Hash Browns
Calories: 170
Fat: 12
Carbs: 15
Protein: 1",2 hashbrowns,Price
11,"Hearty Breakfast Sausage
Calories: 350
Fat: 31
Carbs: 5
Protein: 14",1 link,Price
12,"Oatmeal w/ milk & brown sugar
Calories: 240
Fat: 2
Carbs: 45
Protein: 7",,Price
13,"Pancakes, Buttermilk w/ margarine
Calories: 450
Fat: 11
Carbs: 77
Protein: 10",2 pancakes,Price
14,"Pancakes, Hearty 9-Grain
Calories: 410
Fat: 11
Carbs: 68
Protein: 10",2 pancakes,Price
15,"Sausage Link
Calories: 150
Fat: 15
Carbs: 2
Protein: 5",1 link,Price
16,"Seasonal Fruit
Calories: 110
Fat: 0
Carbs: 27
Protein: 1",,Price
17,"Toast, Sourdough, w/o margarine / w/ margarine
Calories: 210/280
Fat: 3/12
Carbs: 37
Protein: 6",1 piece,Price
18,"Toast, Wheat, w/o margarine / w/ margarine
Calories: 150/230
Fat: 2/11
Carbs: 29
Protein: 6",1 piece,Price
19,"Toast, White, w/o margarine / w/ margarine
Calories: 160/240
Fat: 1.5/10
Carbs: 31
Protein: 5",1 piece,Price
20,"Turkey Bacon Strips
Calories: 60
Fat: 3.5
Carbs: 1
Protein: 7",1 piece,Price
21,"All-American Slam w/ hash browns (add bread choice)
Calories: 920
Fat: 73
Carbs: 19
Protein: 44",,Price
22,"Belgian Waffle Slam (add egg choice)
Calories: 640
Fat: 42
Carbs: 45
Protein: 19",,Price
23,"Fit Slam
Calories: 450
Fat: 12
Carbs: 59
Protein: 27",,Price
24,"French Toast Slam (add egg choice)
Calories: 850
Fat: 52
Carbs: 65
Protein: 31",,Price
25,"Grand Slam Slugger (add egg, bread / hash browns & juice choices)
Calories: 710
Fat: 34
Carbs: 79
Protein: 22",,Price
26,"Hearty Breakfast Slam (add egg choice)
Calories: 970
Fat: 54
Carbs: 98
Protein: 26",,Price
27,"Lumberjack Slam (add egg & bread choices)
Calories: 970
Fat: 48
Carbs: 96
Protein: 29",,Price
28,"Original Grand Slam (add egg choice)
Calories: 700
Fat: 34
Carbs: 79
Protein: 22",,Price
29,"Blueberry Pancake Breakfast (add hash browns, egg & meat choices)
Calories: 460
Fat: 11
Carbs: 80
Protein: 10",,Price
30,"Choconana Pancake Breakfast (add hash browns, egg & meat choices)
Calories: 910
Fat: 36
Carbs: 143
Protein: 16",,Price
31,"Cinnamon Roll Pancake Breakfast (add hash browns, egg & meat
choices)
Calories: 1,350
Fat: 34
Carbs: 247
Protein: 10",,Price
32,"Classic Tres Leches Pancake Breakfast (add hash browns, egg & meat
choices)
Calories: 770
Fat: 28
Carbs: 112
Protein: 14",,Price
33,"Double Berry Banana Pancake Breakfast (add hash browns, egg &
meat choices)
Calories: 540
Fat: 10
Carbs: 103
Protein: 12",,Price
34,"Dulce de Leche Pancake Breakfast (add hash browns, egg & meat
choices)
Calories: 1,220
Fat: 27
Carbs: 228
Protein: 13",,Price
35,"Hearty 9-Grain Pancake Breakfast (add fruit, egg & meat choices)
Calories: 410
Fat: 11
Carbs: 68
Protein: 10",,Price
36,"Salted Caramel & Banana Cream Pancake Breakfast (add hash browns,
egg & meat choices)
Calories: 1,140
Fat: 27
Carbs: 207
Protein: 17",,Price
37,"Loaded Veggie Omelette w/ hash browns (add bread choice)
Calories: 620
Fat: 44
Carbs: 24
Protein: 31",,Price
38,"My Hammy & Cheese Omelette w/ hash browns (add bread choice)
Calories: 780
Fat: 54
Carbs: 20
Protein: 50",,Price
39,"Philly Cheesesteak Omelette w/ hash browns (add bread choice)
Calories: 880
Fat: 64
Carbs: 25
Protein: 48",,Price
40,"Ultimate Omelette® w/ hash browns (add bread choice)
Calories: 890
Fat: 71
Carbs: 20
Protein: 38",,Price
41,"Wild West Omelette w/ hash browns (add bread choice)
Calories: 750
Fat: 53
Carbs: 24
Protein: 43",,Price
42,"Omelette, Egg White, Plain
Calories: 110
Fat: 1.5
Carbs: 1
Protein: 20",,Price
43,"Omelette, Plain
Calories: 340
Fat: 26
Carbs: 2
Protein: 21",,Price
44,"American Cheese
Calories: 80
Fat: 7
Carbs: 1
Protein: 4",,Price
45,"Cheddar Cheese
Calories: 80
Fat: 6
Carbs: 0
Protein: 5",,Price
46,"Feta Cheese
Calories: 80
Fat: 5
Carbs: 2
Protein: 7",,Price
47,"Italian Cheese Blend
Calories: 70
Fat: 6
Carbs: 0
Protein: 5",,Price
48,"Pepper Jack Queso
Calories: 100
Fat: 7
Carbs: 3
Protein: 5",,Price
49,"Swiss Cheese
Calories: 80
Fat: 6
Carbs: 0
Protein: 6",,Price
50,"Bacon
Calories: 100
Fat: 8
Carbs: 1
Protein: 7",,Price
51,"Chorizo Sausage
Calories: 330
Fat: 27
Carbs: 4
Protein: 17",,Price
52,"Ham 
Calories: 90
Fat: 3
Carbs: 1
Protein: 15",,Price
53,"Sausage
Calories: 180
Fat: 18
Carbs: 1
Protein: 6",,Price
54,"Turkey Bacon
Calories: 60
Fat: 3.5
Carbs: 1
Protein: 7",,Price
55,"Caramelized Onions
Calories: 70
Fat: 7
Carbs: 2
Protein: 0",,Price
56,"Fire-Roasted Bell Peppers & Onions
Calories: 70
Fat: 6
Carbs: 4
Protein: 0",,Price
57,"Fresh Avocado
Calories: 45
Fat: 4
Carbs: 2
Protein: 1",,Price
58,"Fresh Spinach
Calories: 5
Fat: 0
Carbs: 0
Protein: 0",,Price
59,"Jalapeños 
Calories: 5
Fat: 0
Carbs: 1
Protein: 0",,Price
60,"Pico de Gallo
Calories: 15
Fat: 0
Carbs: 3
Protein: 1",,Price
61,"Sautéed Mushrooms
Calories: 50
Fat: 6
Carbs: 1
Protein: 1",,Price
62,"Tomatoes
Calories: 10
Fat: 0
Carbs: 2
Protein: 0",,Price
63,"Banana Chocolate Hazelnut Crepe Breakfast 
Calories: 400
Fat: 19
Carbs: 53
Protein: 5","1 crepe - add hash browns, egg
& meat choices",Price
64,"Banana Chocolate Hazelnut Crepe Breakfast
Calories: 790
Fat: 37
Carbs: 106
Protein: 10","2 crepe - add hash browns, egg
& meat choices",Price
65,"Berry Vanilla Crepe Breakfast 
Calories: 270
Fat: 12
Carbs: 36
Protein: 4","1 crepe - add hash browns, egg
& meat choices",Price
66,"Berry Vanilla Crepe Breakfast
Calories: 530
Fat: 24
Carbs: 73
Protein: 7","2 crepe - add hash browns, egg
& meat choices",Price
67,"Country-Fried Steak & Eggs w/ hash browns
Calories: 570
Fat: 37
Carbs: 39
Protein: 20",Add egg & bread choices,Price
68,"Fit Fare Veggie Sizzlin’ Skillet
Calories: 390
Fat: 16
Carbs: 40
Protein: 22",,Price
69,"Moons Over My Hammy w/ hash browns
Calories: 950
Fat: 60
Carbs: 57
Protein: 44",,Price
70,"Santa Fe Sizzlin’ Skillet
Calories: 720
Fat: 53
Carbs: 35
Protein: 27",Add egg choice,Price
71,"Supreme Sizzlin’ Skillet 
Calories: 590
Fat: 44
Carbs: 32
Protein: 16",Add egg choice,Price
72,"T-Bone Steak & Eggs w/ hash browns
Calories: 660
Fat: 42
Carbs: 16
Protein: 53",Add egg & bread choices,Price
73,"The Grand Slamwich w/ hash browns
Calories: 1,320
Fat: 85
Carbs: 87
Protein: 52",,Price
74,"Cheddar Cheese Hash Browns
Calories: 250
Fat: 18
Carbs: 15
Protein: 6",,Price
75,"Everything Hash Browns
Calories: 310
Fat: 21
Carbs: 24
Protein: 7",,Price
76,"Red-Skinned Potatoes
Calories: 200
Fat: 8
Carbs: 26
Protein: 4",,Price
77,"Tortillas, Flour (3)
Calories: 260
Fat: 8
Carbs: 40
Protein: 7",,Price
78,"Boneless Chicken Wings w/ BBQ Sauce
Calories: 920
Fat: 36
Carbs: 120
Protein: 35",,Price
79,"Boneless Chicken Wings w/ Buffalo Sauce
Calories: 920
Fat: 67
Carbs: 44
Protein: 35",,Price
80,"Bacon Cheddar Tots
Calories: 300
Fat: 15
Carbs: 31
Protein: 10",,Price
81,"Beer-Battered Onion Rings
Calories: 400
Fat: 27
Carbs: 35
Protein: 4",,Price
82,"Cheese Quesadilla
Calories: 680
Fat: 44
Carbs: 47
Protein: 22",,Price
83,"Chips & Queso
Calories: 570
Fat: 34
Carbs: 57
Protein: 10",,Price
84,"Mozzarella Cheese Sticks
Calories: 280
Fat: 100
Carbs: 30
Protein: 16",,Price
85,"Premium Chicken Tenders (add sauce choice)
Calories: 270
Fat: 16
Carbs: 15
Protein: 18",,Price
86,"Seasoned Fries
Calories: 490
Fat: 26
Carbs: 57
Protein: 7",,Price
87,"Wavy-Cut Fries
Calories: 400
Fat: 22
Carbs: 46
Protein: 4",,Price
88,"Dipping Sauces:Italian Sampler
Calories: 1,250
Fat: 71
Carbs: 96
Protein: 64",,Price
89,"Loaded Nacho Tots
Calories: 980
Fat: 62
Carbs: 68
Protein: 39",,Price
90,"Zesty Nachos
Calories: 1,650
Fat: 105
Carbs: 135
Protein: 43",,Price
91,"Caesar Salad
Calories: 440
Fat: 40
Carbs: 9
Protein: 13",,Price
92,"Cobb Salad (add dressing choice)
Calories: 430
Fat: 30
Carbs: 20
Protein: 22",,Price
93,"House Salad (add dressing choice)
Calories: 190
Fat: 9
Carbs: 19
Protein: 9",,Price
94,"Grilled Chicken
Calories: 200
Fat: 9
Carbs: 0
Protein: 29",,Price
95,"Prime Rib
Calories: 130
Fat: 8
Carbs: 3
Protein: 13",,Price
96,"Wild Alaska Salmon
Calories: 310
Fat: 19
Carbs: 2
Protein: 31",,Price
97,"BBQ Chicken Tender Sandwich
Calories: 520
Fat: 120
Carbs: 68
Protein: 24",,Price
98,"Buffalo Chicken Tender Sandwich
Calories: 520
Fat: 26
Carbs: 49
Protein: 24",,Price
99,"Cali Club Sandwich (add side choice)
Calories: 820
Fat: 48
Carbs: 55
Protein: 43",,Price
