,Ingredient Type,Food,Calories,Fat,Carbs,Protein
0,CRUST,Hand Tossed - serving size is 1/2 of pizza,190,4.5,30,5
1,SAUCE,Pizza Sauce,10,0,2,0
2,,Alfredo Sauce,25,2,1,1
3,,BBQ,15,0,4,0
4,,Garlic Parm (White Sauce),45,4.5,1,0
5,,Hearty Marinara,10,0,2,0
6,CHEESE ONLY PIZZA,Regular Cheese,90,6,3,6
7,,Light Cheese,50,3.5,1,3
8,,Extra Cheese,130,9,4,8
9,,Double Cheese,130,9,4,8
10,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,60,4.5,2,4
11,,Light Cheese,50,3.5,1,3
12,,Extra Cheese,100,7,3,6
13,,Double Cheese,130,9,4,8
14,1 TOPPING PIZZA,American Cheese,50,4.5,1,3
15,,Bacon,70,5,1,4
16,,Beef,20,2,0,1
17,,Black Olives,5,0,0,0
18,,Cheddar,10,1,0,1
19,,Chicken Grilled,15,0,0,2
20,,Feta Cheese,5,0,0,1
21,,Green Peppers,0,0,0,0
22,,Ham,10,0.5,0,1
23,,Hot Banana Peppers,0,0,0,0
24,,Jalapeno,0,0,0,0
25,,Mushrooms,0,0,0,0
26,,Onions,0,0,0,0
27,,Pepperoni,30,3,0,1
28,,Philly Meat,15,1,1,1
29,,Pineapple,5,0,1,0
30,,Provolone,10,0.5,0,1
31,,Roasted Red Pepper,0,0,0,0
32,,Salami,20,1.5,0,1
33,,Sausage,30,2.5,0,0
34,,Shredded Parmesan,10,1,0,1
35,,Spinach,0,0,0,0
36,,Diced Tomatoes,0,0,0,0
37,,Hot Sauce,0,0,0,0
38,,Anchovies,30,1.5,0,4
39,,Chorizo,15,0,0,2
40,,Garlic,5,0,1,0
41,,Green Chile Peppers,0,0,0,0
42,,Green Olive,5,0,0,0
43,CRUST,Hand Tossed - serving size is 1/2 of pizza,260,7,42,7
44,SAUCE,Pizza Sauce,10,0,2,0
45,,Alfredo Sauce,35,3,1,1
46,,BBQ,25,0,6,0
47,,Garlic Parm (White Sauce),60,7,1,0
48,,Hearty Marinara,15,0,3,1
49,CHEESE ONLY PIZZA,Regular Cheese,90,6,3,6
50,,Light Cheese,50,3.5,1,3
51,,Extra Cheese,130,9,4,8
52,,Double Cheese,130,9,4,8
53,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,60,4.5,2,4
54,,Light Cheese,50,3.5,1,3
55,,Extra Cheese,100,7,3,6
56,,Double Cheese,130,9,4,8
57,1 TOPPING PIZZA,American Cheese,50,4.5,1,3
58,,Bacon,70,5,1,4
59,,Beef,60,5,0,4
60,,Black Olives,25,2,1,0
61,,Cheddar,30,2.5,0,2
62,,Chicken Grilled,30,1,1,5
63,,Feta Cheese,15,1,0,2
64,,Green Peppers,5,0,1,0
65,,Ham,20,1,0,2
66,,Hot Banana Peppers,5,0,1,0
67,,Jalapeno,5,0,1,0
68,,Mushrooms,5,0,1,1
69,,Onions,5,0,1,0
70,,Pepperoni,50,4,0,2
71,,Philly Meat,20,1,1,2
72,,Pineapple,15,0,4,0
73,,Provolone,25,1.5,0,1
74,,Roasted Red Pepper,5,0,1,0
75,,Salami,35,3,0,2
76,,Sausage,80,8,0,3
77,,Shredded Parmesan,30,2,0,2
78,,Spinach,5,0,1,0
79,,Diced Tomatoes,5,0,1,0
80,,Hot Sauce,0,0,0,0
81,,Anchovies,30,1.5,0,4
82,,Chorizo,40,1.5,1,6
83,,Garlic,5,0,1,0
84,,Green Chile Peppers,5,0,1,0
85,,Green Olive,25,2,1,0
86,CRUST,Hand Tossed - serving size is 1/6 of pizza,130,3,22,4
87,SAUCE,Pizza Sauce,10,0,2,0
88,,Alfredo Sauce,15,1.5,0,0
89,,BBQ,10,0,3,0
90,,Garlic Parm (White Sauce),30,3.5,0,0
91,,Hearty Marinara,10,0,2,0
92,CHEESE ONLY PIZZA,Regular Cheese,60,4,2,4
93,,Light Cheese,30,2,1,2
94,,Extra Cheese,90,6,3,6
95,,Double Cheese,90,6,3,6
96,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,45,3,1,3
97,,Light Cheese,30,2,1,2
98,,Extra Cheese,60,4,2,4
99,,Double Cheese,90,6,3,6
100,1 TOPPING PIZZA,American Cheese,35,3,1,2
101,,Bacon,45,1,1,3
102,,Beef,35,3,0,2
103,,Black Olives,10,1,0,0
104,,Cheddar,20,1.5,0,1
105,,Chicken Grilled,20,0.5,0,3
106,,Feta Cheese,10,0.5,0,1
107,,Green Peppers,0,0,0,0
108,,Ham,10,0,0,1
109,,Hot Banana Peppers,0,0,0,0
110,,Jalapeno,0,0,0,0
111,,Mushrooms,5,0,0,0
112,,Onions,5,0,1,0
113,,Pepperoni,25,2.5,0,1
114,,Philly Meat,15,1,0,1
115,,Pineapple,10,0,2,0
116,,Provolone,15,1,0,1
117,,Roasted Red Pepper,0,0,0,0
118,,Salami,25,2,0,1
119,,Sausage,45,4.5,0,2
120,,Shredded Parmesan,20,1.5,0,1
121,,Spinach,0,0,0,0
122,,Diced Tomatoes,0,0,0,0
123,,Hot Sauce,0,0,0,0
124,,Anchovies,10,0,0,1
125,,Chorizo,20,0.5,0,3
126,,Garlic,5,0,1,0
127,,Green Chile Peppers,0,0,0,0
128,,Green Olive,10,1,0,0
129,CRUST,Gluten Free - serving size is 1/3 of pizza,130,1.5,28,2
130,SAUCE,Pizza Sauce,15,0,3,1
131,,Alfredo Sauce,35,3,1,1
132,,BBQ,25,0,6,0
133,,Garlic Parm (White Sauce),60,7,1,0
134,,Hearty Marinara,20,0,3,1
135,CHEESE ONLY PIZZA,Regular Cheese,120,8,4,8
136,,Light Cheese,60,4,2,4
137,,Extra Cheese,170,12,5,11
138,,Double Cheese,170,12,5,11
139,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,90,6,3,6
140,,Light Cheese,60,4,2,4
141,,Extra Cheese,120,8,4,8
142,,Double Cheese,170,12,5,11
143,1 TOPPING PIZZA,American Cheese,70,6,2,3
144,,Bacon,90,7,2,5
145,,Beef,70,6,0,4
146,,Black Olives,25,2,1,0
147,,Cheddar,40,3,0,2
148,,Chicken Grilled,35,1,1,5
149,,Feta Cheese,25,1.5,1,2
150,,Green Peppers,5,0,1,0
151,,Ham,20,1,0,2
152,,Hot Banana Peppers,5,0,1,0
153,,Jalapeno,5,0,1,0
154,,Mushrooms,5,0,1,1
155,,Onions,5,0,1,0
156,,Pepperoni,50,4.5,0,2
157,,Philly Meat,30,1.5,1,3
158,,Pineapple,15,0,4,0
159,,Provolone,30,2,1,2
160,,Roasted Red Pepper,5,0,1,0
161,,Salami,50,4,0,3
162,,Sausage,90,9,0,3
163,,Shredded Parmesan,40,2.5,1,3
164,,Spinach,5,0,1,0
