,Food,Serving Size,Calories,Fat,Carbs,Protein
0,Kosher Sweet Black Pepper Veggie Bacon Breakfast Sandiwch,1 Sandwich,630,39,52,19
1,Sweet Black Pepper Bacon Breakfast Sandwich,1 Sandwich,620,40,44,23
2,Sweet Black Pepper Bacon Wake Up Wrap,1 Wrap,250,15,18,11
3,Boston Dream Donut,1 Donut,310,14,42,4
4,Brownie Batter Crumble Donut,1 Donut,360,18,48,5
5,Choc Full o' Love Donut,1 Donut,290,16,34,3
6,Chocolate Double Date Donut,1 Donut,360,20,41,4
7,Cloud Nine Donut,1 Donut,320,19,33,4
8,Crazy 4 Chocolate Donut,1 Donut,340,19,38,3
9,Cupid's Choice Donut,1 Donut,310,15,43,4
10,Donut Be Jelly Donut,1 Donut,270,13,36,4
11,First Love Donut,1 Donut,290,19,28,4
12,Forever Glazed Donut,1 Donut,260,14,30,3
13,Lovestruck Donut,1 Donut,370,19,45,4
14,Pillow Talk Donut,1 Donut,320,18,37,4
15,Pretty in Pink Donut,1 Donut,290,16,35,3
16,Roses are Red Donut,1 Donut,290,16,35,3
17,Vanilla Truffle Donut,1 Donut,410,22,52,4
18,Violets are Blue Donut,1 Donut,340,16,44,4
19,Buttery Toffee Nut Swirl Frozen Coffee with Cream,Large,1050,35,176,10
20,,Medium,790,26,132,8
21,,Small,520,17,88,5
22,Buttery Toffee Nut Swirl Frozen Coffee with Skim Milk,Large,760,0,180,11
23,,Medium,570,0,135,8
24,,Small,380,0,90,6
25,Buttery Toffee Nut Swirl Frozen Coffee with Whole Milk,Large,810,6,180,11
26,,Medium,610,4.5,135,8
27,,Small,410,3,90,5
28,Winter White Chocolate Flavored Frozen Coffee with Cream,Large,1050,35,176,10
29,,Medium,790,26,132,8
30,,Small,530,17,88,5
31,Winter White Chocolate Flavored Frozen Coffee with Skim Milk,Large,770,0,180,11
32,,Medium,580,0,135,8
33,,Small,390,0,90,5
34,Winter White Chocolate Flavored Frozen Coffee with Whole Milk,Large,820,6,180,11
35,,Medium,620,4.5,135,8
36,,Small,410,3,90,5
37,Buttery Toffee Nut Swirl Hot Coffee,XLarge,270,0,63,5
38,,Large,220,0,51,4
39,,Medium,160,0,38,3
40,,Small,110,0,25,2
41,Buttery Toffee Nut Swirl Hot Coffee with Cream,XLarge,410,15,65,7
42,,Large,330,12,52,6
43,,Medium,250,9,39,4
44,,Small,170,6,26,3
45,Winter White Chocolate Flavored Hot Coffee,XLarge,280,0,63,5
46,,Large,220,0,50,4
47,,Medium,170,0,38,3
48,,Small,110,0,25,2
49,Winter White Chocolate Flavored Hot Coffee with Cream,XLarge,420,14,65,7
50,,Large,340,12,52,6
51,,Medium,250,9,39,4
52,,Small,170,6,26,3
53,Buttery Toffee Nut Swirl Hot Latte with Skim Milk,Large,350,0.5,71,16
54,,Medium,260,0,54,12
55,,Small,180,0,36,8
56,Buttery Toffee Nut Swirl Hot Latte with Whole Milk,Large,450,12,70,15
57,,Medium,340,9,53,11
58,,Small,230,6,36,8
59,Winter White Chocolate Flavored Hot Latte with Skim Milk,Large,360,0.5,71,16
60,,Medium,270,0,54,12
61,,Small,180,0,37,8
62,Winter White Chocolate Flavored Hot Latte with Whole Milk,Large,460,12,70,15
63,,Medium,340,9,53,11
64,,Small,230,6,36,8
65,Buttery Toffee Nut Swirl Hot Macchiato with Skim Milk,Large,310,0.5,64,12
66,,Medium,230,0,48,9
67,,Small,160,0,32,6
68,Buttery Toffee Nut Swirl Hot Macchiato with Whole Milk,Large,370,5,64,11
69,,Medium,280,3.5,48,9
70,,Small,190,2.5,32,6
71,Winter White Chocolate Flavored Hot Macchiato with Skim Milk,Large,310,0.5,64,12
72,,Medium,240,0,48,9
73,,Small,160,0,32,6
74,Winter White Chocolate Flavored Hot Macchiato with Whole Milk,Large,380,8,63,11
75,,Medium,280,6,48,8
76,,Small,190,4,32,6
77,Buttery Toffee Nut Swirl Iced Coffee,Large,230,0,52,5
78,,Medium,170,0,39,4
79,,Small,110,0,26,2
80,Buttery Toffee Nut Swirl Iced Coffee with Cream,Large,340,12,54,6
81,,Medium,250,9,40,5
82,,Small,170,6,27,3
83,Winter White Chocolate Flavored Iced Coffee,Large,230,0,52,5
84,,Medium,170,0,39,4
85,,Small,120,0,26,2
86,Winter White Chocolate Flavored Iced Coffee with Cream,Large,340,12,53,6
87,,Medium,260,9,40,5
88,,Small,170,6,27,3
89,Buttery Toffee Nut Swirl Iced Latte with Skim Milk,Large,350,0,71,16
90,,Medium,260,0,54,12
91,,Small,180,0,36,8
92,Buttery Toffee Nut Swirl Iced Latte with Whole Milk,Large,450,12,70,70
93,,Medium,340,9,53,53
94,,Small,230,6,36,36
95,Winter White Chocolate Flavored Iced Latte with Skim Milk,Large,360,0.5,71,16
96,,Medium,270,0,54,12
97,,Small,180,0,37,8
98,Winter White Chocolate Flavored Iced Latte with Whole Milk,Large,460,12,70,70
99,,Medium,340,9,53,53
100,,Small,230,6,36,36
101,Buttery Toffee Nut Swirl Iced Macchiato with Skim Milk,Large,310,0.5,64,12
102,,Medium,230,0,48,9
103,,Small,160,0,32,6
104,Buttery Toffee Nut Swirl Iced Macchiato with Whole Milk,Large,370,8,64,11
105,,Medium,280,6,48,9
106,,Small,190,4,32,6
107,Winter White Chocolate Flavored Iced Macchiato with Skim Milk,Large,310,0.5,64,12
108,,Medium,240,0,48,9
109,,Small,160,0,32,6
110,Winter White Chocolate Flavored Iced Macchiato with Whole Milk,Large,380,8,63,11
111,,Medium,280,6,48,8
112,,Small,190,4,32,6
113,Cloud Nine Munchkin,1 Munchkin,60,3.5,7,1
114,Crazy 4 Chocolate Munchkin,1 Munchkin,70,3.5,8,1
115,Donut Be Jelly Munchkin,1 Munchkin,70,4,9,1
116,Forever Glazed Munchkin,1 Munchkin,70,4,7,1
117,Lovestruck Munchkin,1 Munchkin,100,5,13,1
118,Violets are Blue Munchkin,1 Munchkin,70,3.5,9,1
119,Decaf Breakfast Black Packaged Tea,---,---,---,---,---
120,Apple Cider,XLarge,320,0,80,0
121,,Large,260,0,66,0
122,,Medium,180,0,45,0
123,,Small,120,0,31,0
124,Blueberry Bagel,1 Bagel,320,1,68,11
125,Cinnamon Raisin Bagel,1 Bagel,320,1,66,12
126,Everything Bagel,1 Bagel,340,3,67,12
127,Garlic Bagel,1 Bagel,330,1,69,12
128,Multigrain Bagel,1 Bagel,350,7,63,15
129,Onion Bagel,1 Bagel,310,1,63,11
130,Plain Bagel,1 Bagel,310,1,64,11
131,Poppy Seed Bagel,1 Bagel,340,3.5,66,12
132,Salt Bagel,1 Bagel,310,1,64,11
133,Sesame Seed Bagel,1 Bagel,350,5,65,12
134,Sour Cream and Onion Bagel,1 Bagel,330,1.5,66,13
135,White Cheddar Bagel Twist,1 Bagel Twist,390,8,64,16
136,Whole Wheat Bagel,1 Bagel,320,2,61,13
137,Chicken Bacon Ciabatta Sandwich,1 Sandwich,580,22,63,32
138,Chicken Salad on a Croissant,1 Sandwich,580,39,42,16
139,Deluxe Grilled Cheese with Bacon,1 Sandwich,510,29,40,22
140,Deluxe Grilled Cheese with Ham,1 Sandwich,480,25,40,23
141,Grilled Cheese,1 Sandwich,450,24,40,19
142,Ham and Cheddar Ciabatta Sandwich,1 Sandwich,390,12,50,22
143,Snack 'n Go Chicken Wrap,1 Wrap,300,17,21,17
144,Snack 'n Go Steak Wrap,1 Wrap,250,15,15,14
145,Tuna Melt on a Croissant,1 Sandwich,700,50,43,22
146,Tuna Salad Sandwich on a Plain Bagel,1 Sandwich,580,25,68,22
147,Turkey Cheddar Bacon Ciabatta Sandwich,1 Sandwich,440,17,47,26
148,"Angus Steak, Egg and Cheese Sandwich",1 Sandwich,630,26,67,34
149,"Bacon, Egg & Cheese Wake-Up Wrap",1 Wrap,210,13,15,9
150,"Bacon, Egg & Cheese on Croissant",1 Sandwich,560,35,41,19
151,"Bacon, Egg & Cheese on English Muffin",1 Sandwich,390,19,37,18
152,"Bacon, Egg & Cheese on a Plain Bagel",1 Sandwich,550,20,67,25
153,Big n' Toasted,1 Sandwich,630,38,43,29
154,Chicken Biscuit,1 Sandwich,490,23,49,21
155,Double Sausage Breakfast Sandwich,1 Sandwich,880,53,68,35
156,Egg & Cheese Wake-Up Wrap,1 Wrap,180,10,14,7
157,Egg & Cheese on Croissant,1 Sandwich,500,31,40,15
158,Egg & Cheese on English Muffin,1 Sandwich,340,15,37,14
159,Egg & Cheese on a Plain Bagel,1 Sandwich,460,13,67,19
160,"Ham, Egg & Cheese Wake-Up Wrap",1 Wrap,190,11,15,9
161,"Ham, Egg & Cheese on Croissant",1 Sandwich,530,32,41,19
162,"Ham, Egg & Cheese on English Muffin",1 Sandwich,380,16,37,21
163,"Ham, Egg & Cheese on a Plain Bagel",1 Sandwich,490,14,67,24
164,"Sausage, Egg & Cheese Wake-Up Wrap",1 Wrap,290,20,15,11
165,"Sausage, Egg & Cheese on Croissant",1 Sandwich,700,51,41,22
166,"Sausage, Egg & Cheese on English Muffin",1 Sandwich,550,34,37,22
167,"Sausage, Egg & Cheese on a Plain Bagel",1 Sandwich,680,33,68,27
168,Spam Breakfast Sandwich,1 Sandwich,620,42,42,21
169,Turkey Sausage Flatbread Sandwich,1 Sandwich,480,28,32,26
170,Turkey Sausage Sandwich on English Muffin,1 Sandwich,470,21,37,25
171,Turkey Sausage Wake Up Wrap,1 Wrap,240,14,15,13
172,Veggie Egg White Flatbread Sandwich,1 Sandwich,330,14,33,18
173,Veggie Egg White Sandwich on an English Muffin,1 Sandwich,310,10,38,15
174,Veggie Egg White Wake-Up Wrap,1 Wrap,160,8,15,8
175,Cold Brew Coffee,Large,20,0,3,1
176,,Medium,15,0,2,1
177,,Small,10,0,2,1
178,Cold Brew Coffee with Cream,Large,140,12,6,3
179,,Medium,100,9,4,2
180,,Small,70,6,2,1
181,Cold Brew Coffee with Cream and Sugar,Large,270,12,40,3
182,,Medium,200,9,30,2
183,,Small,130,6,20,1
184,Chocolate Chip Cookie,1 Cookie,250,11,36,3
185,Oatmeal Raisin Cookie,1 Cookie,220,7,36,3
186,Blue Raspberry Coolatta®,Large,480,0,123,0
187,,Medium,360,0,92,0
188,,Small,240,0,62,0
189,Strawberry Fruit Coolatta®,Large,490,0,117,0
190,,Medium,370,0,88,0
191,,Small,250,0,58,0
192,Vanilla Bean Coolatta®,Large,840,12,184,6
193,,Medium,630,9,138,4
194,,Small,420,6,92,3
195,Chive and Onion Cream Cheese Spread,1 Unit,110,10,2,2
196,Classic Plain Cream Cheese Spread,1 Unit,120,12,3,2
197,Garden Veggie Cream Cheese Spread,1 Unit,100,10,3,2
198,Reduced Fat Plain Cream Cheese - 50% Less Fat than Regular Cream Cheese,1 Unit,90,7,5,3
199,Strawberry Cream Cheese Spread,1 Unit,130,10,9,2
200,Apple Cheese Danish,1 Danish,400,19,53,5
201,Cheese Danish,1 Danish,420,21,52,5
202,Strawberry Cheese Danish,1 Danish,400,19,52,5
203,Apple 'n Spice Donut,1 Donut,260,14,29,3
204,Apple Crumb Donut,1 Donut,320,15,42,3
205,Apple Fritter,1 Fritter,420,19,58,6
206,Apple Stick,1 Stick,420,25,44,4
207,Bavarian Kreme Donut,1 Donut,270,15,30,3
208,Bismark,1 Bismark,490,24,65,5
209,Boston Kreme Donut,1 Donut,300,16,37,3
210,Butternut Donut,1 Donut,410,20,55,4
211,Chocolate Butternut Donut,1 Donut,410,20,54,4
212,Chocolate Crème Donut,1 Donut,320,19,35,4
213,Chocolate Dipped French Cruller,1 Donut,280,14,34,3
214,Chocolate Frosted Donut,1 Donut,280,15,31,3
215,Chocolate Frosted with Sprinkles Donut,1 Donut,290,16,34,3
216,Chocolate Headlight Donut,1 Donut,330,18,39,4
217,Chocolate Long John,1 Long John,340,17,42,5
218,Cinnamon Donut,1 Donut,310,19,32,4
219,Cinnamon Stick,1 Stick,380,25,35,4
220,Coconut Donut,1 Donut,390,20,48,4
221,Coffee Roll,1 Coffee Roll,390,18,51,7
222,Crème Delight Donut,1 Donut,360,20,43,3
223,Double Chocolate Donut,1 Donut,350,20,39,4
224,Eclair,1 Eclair,380,18,51,5
225,French Cruller,1 Donut,220,13,23,3
226,Frosted Vanilla Crème Donut,1 Donut,360,20,43,3
227,Frosted with DD Sprinkles Donut,1 Donut,290,16,35,3
228,Glazed Blueberry Donut,1 Donut,340,16,44,4
229,Glazed Chocolate Donut,1 Donut,340,19,38,3
