,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,Iced Skinny Mac Mocha,,275,0,0,0
1,Skinny Mocha,,290,10,35,16
2,Double Chocolate Mocha,,0,0,0,0
3,Coffee,,250,0,0,0
4,Dutch Bros,,250,13.9,5.2,3.6
5,Mocha Med No Whip,,13.8,0.1,2.6,0.9
6,Coffee (dutch Bros-Blended Milky Way),,300,0,0,0
7,Coffee (dutch Bros. Milky Way),,25,0,0,0
8,Dutch Freeze,,220,2,42,14
9,911 Emergency Cookies,,102.5,4.3,16,1.4
10,911 Roll (spicy Tuna And Tuna Sashimi),,425,12,26,30
11,911 Chocolate Cookies,,130,6,16,1.4
12,911 Chocolate Emergency Cookie,,90,5,9.9,1.5
13,911 Chocolate Emergency Cookies,,78.3,4.7,8.1,1.7
14,Robin'S 911 Salad,,241.3,6.5,16.5,26.5
15,911 Chocolate Emergency Cookies,,102.5,4.3,16,1.4
16,911 Emergency Chocolate Cookies With Splenda,,555.8,28.5,85.8,7.1
17,911 Chocolate Emergency Cookies (own Batch),,71.4,3.5,10,1
18,Kylers Sugar Cookies 2011-911,,60,1.9,11.4,0.8
19,911 Emergency Cookies,,102.5,4.3,16,1.4
20,911 Roll (spicy Tuna And Tuna Sashimi),,425,12,26,30
21,911 Chocolate Cookies,,130,6,16,1.4
22,911 Chocolate Emergency Cookie,,90,5,9.9,1.5
23,911 Chocolate Emergency Cookies,,78.3,4.7,8.1,1.7
24,Robin'S 911 Salad,,241.3,6.5,16.5,26.5
25,911 Chocolate Emergency Cookies,,102.5,4.3,16,1.4
26,911 Emergency Chocolate Cookies With Splenda,,555.8,28.5,85.8,7.1
27,911 Chocolate Emergency Cookies (own Batch),,71.4,3.5,10,1
28,Kylers Sugar Cookies 2011-911,,60,1.9,11.4,0.8
29,Almond Joy,20oz,402,11,66,0
30,,16oz,344.5,9.1,57.9,0
31,,Iced,25,0.7,4.1,0.6
32,Almond Joy,,400,0.4,53,20
33,Annihilator Freeze,20oz,26.2,0.9,3.9,0.7
34,,1oz,32,2,3.3,0.6
35,,16oz,464.5,30.7,43.8,8.8
36,Annihilator,20oz,546.5,37,47.8,0
37,Dutch Freeze,,220,2,42,14
38,Old Dutch Dutch Crunch Jalapeno And Cheddar Potato Chips,,150,9,16,2
39,Old Dutch Dutch Crunch Potato Chip,,140,7,17,2
40,Old Dutch - Dutch Crunch,,150,8,16,2
41,Old Dutch Dutch Crunch Mesquite Bbq Chips,,190,9,24,3
42,Old Dutch Dutch Crunch Original Kettle Chips,,140,7,17,2
43,Dutch Bros. Skinny Dutch Latte 12 Oz,,82,0.3,11.4,8.3
44,Old Dutch Dutch Crunch Original Kettle Chips,,140,7,17,2
45,Old Dutch Dutch Crunch Bbq Chips,,140,7,18,0
46,Dutch Bros. Skinny Dutch Latte 12 Oz,,82,0,11,8
