,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,Bacon,2 pieces,80,7,0,4
1,Hamburger Patty,,220,17,0,16
2,Hot Dog,,240,20,2,11
3,Five Guys Bun,,260,9,39,7
4,Little,,526,23,72,8
5,Regular,,953,41,131,15
6,Large,,1314,57,181,20
7,A.1® Sauce,,15,0,3,0
8,Bar-B-Q Sauce,,60,0,15,<1
9,Cheese*# (1 slice),,70,6,0,4
10,Green Peppers,,5,0,1,0
11,Grilled Mushrooms,,5,0,1,0
12,Hot Sauce,,0,0,0,0
13,Jalapeño Peppers,,3,0,<1,0
14,Ketchup,,20,0,5,0
15,Lettuce,,4,0,1,0
16,Mayonnaise,,100,11,0,0
17,Mustard,,0,0,0,0
18,Onions / Grilled Onions,,10,0,2,0
19,Pickles,,3,0,1,0
20,Relish,,10,0,3,0
21,Tomatoes,,9,0,2,<1
