,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,Single Steakburger,w/ cheese,460,23,31,28
1,,w/o cheese,410,19,31,26
2,Double Steakburger,w/ cheese,730,43,32,52
3,,w/o cheese,630,34,31,47
4,Triple Steakburger,w/ cheese,1000,62,32,76
5,,w/o cheese,850,48,31,68
6,California Style Steakburger,Single,500,26,36,29
7,,w/o cheese,450,22,35,26
8,,w/o sauce,460,24,33,29
9,,w/o cheese or sauce,410,19,33,26
10,Double California Style Steakburger,,770,45,36,53
11,,w/o cheese,670,36,35,48
12,,w/o sauce,730,43,34,53
13,,w/o cheese or sauce,630,34,33,48
14,Triple California Style,,1030,64,37,77
15,,w/o cheese,880,51,36,69
16,,w/o sauce,1000,62,34,77
17,,w/o cheese or sauce,850,48,33,69
18,Single Bacon Steakburger with Cheese,,520,28,31,33
19,Double Bacon Steakburger with Cheese,,790,48,32,57
20,Triple Bacon Steakburger with Cheese,,1050,67,32,81
21,Single Bacon Steakburger w/o Cheese,,470,24,31,31
22,Double Bacon Steakburger w/o Cheese,,690,39,31,52
23,Triple Bacon Steakburgerw/o Cheese,,900,53,31,73
24,Single Patty Melt,,500,25,37,30
25,Double Patty Melt,,760,44,37,55
26,Triple Patty Melt,,1030,63,38,79
27,Veggie Burger,,440,15,49,23
28,,w/o cheese,390,10,49,21
29,,w/o sauce,400,12,46,23
30,,w/o cheese or sauce,350,7,46,21
31,Grilled Chicken Breast Sandwich,,350,8,32,35
32,Crispy Chicken Sandwich,,530,27,47,25
33,Hot Dog,,390,21,34,14
34,Chicago Style Hot Dog,,430,21,42,14
35,Chili Cheese Dog,,550,34,43,29
36,Chili Dog w/o cheese,,500,25,42,22
37,Chicken Tenders,Regular,270,12,23,21
38,,Large,430,18,37,33
39,Single Steakburger,w/ cheese,280,19,3,24
40,,w/o cheese,230,15,3,22
41,Double Steakburger,w/ cheese,550,38,4,48
42,,w/o cheese,450,29,3,43
43,Triple Steakburger,w/ cheese,820,57,5,72
44,,w/o cheese,670,44,3,65
45,Single California Style Steakburger,,320,22,8,25
46,,w/o cheese,270,17,7,22
47,,w/o sauce,290,19,5,25
48,,w/o cheese or sauce,240,15,4,2
49,Double California Style Steakburger,,590,41,8,49
50,,w/o cheese,490,32,7,44
51,,w/o sauce,550,38,6,49
52,,w/o cheese or sauce,450,29,5,44
53,Triple California Style,,850,60,9,73
54,,w/o cheese,700,47,7,65
55,,w/o sauce,820,58,6,73
56,,w/o cheese or sauce,670,44,5,65
57,Single Bacon Steakburger with Cheese,,350,24,3,29
58,Double Bacon Steakburger with Cheese,,610,43,4,53
59,Triple Bacon Steakburger with Cheese,,880,62,5,77
60,Single Bacon Steakburger w/o Cheese,,300,20,3,27
61,Double Bacon Steakburger w/o Cheese,,510,34,3,48
62,Triple Bacon Steakburgerw/o Cheese,,730,49,3,70
63,Single Patty Melt,,290,21,3,25
64,Double Patty Melt,,560,39,4,49
65,Triple Patty Melt,,830,58,5,73
66,Veggie Burger,,260,10,21,19
67,,w/o cheese,210,6,21,17
68,,w/o sauce,230,8,19,19
69,,w/o cheese or sauce,180,3,18,17
70,Grilled Chicken Breast Sandwich,,170,3.5,4,31
71,Crispy Chicken Sandwich,,360,23,18,21
72,Hot Dog,,170,14,2,8
73,Chicago Style Hot Dog,,210,14,11,8
74,Chili Cheese Dog,,330,23,12,20
75,Chili Dog w/o cheese,,270,18,11,17
76,Mustard,,0,0,0,0
77,Ketchup,,15,0,4,0
78,Fry Sauce (0.25 fl oz),,35,3.5,1,0
79,Mayo,,50,5,0,0
80,Lettuce,,0,0,1,0
81,Tomato,,0,0,1,0
82,Jalapenos,,0,0,1,0
83,Sport Peppers,,5,0,0,0
84,Sauerkraut,,5,0,1,0
85,Pickle,,0,0,0,0
86,Relish,,20,0,5,0
87,Onions,,10,0,2,0
88,Grilled Onions,,25,2,2,0
89,American Cheese,,50,4.5,1,3
90,Swiss Cheese,,50,4,1,3
91,Montery-Cheddar Cheese,,50,4,0,3
92,Cheese Sauce,,40,2.5,3,1
93,Bacon,,80,5,0,5
94,Chili,,50,2.5,4,5
95,Freddy's Sauce,,35,3,3,0
96,Hatch Green Chilis,,5,0,2,0
97,Coleslaw,,80,4,10,1
98,Regular order of Fries,,440,23,54,6
99,Large order of Fries,,520,27,63,7
100,Baked Lay's Original,,130,2,26,2
101,Baked Lay's BBQ,,140,3.5,24,2
102,Applesauce,,50,0,13,0
103,Cheese Fries,,640,34,72,8
104,Chili Cheese Fries,,690,39,76,23
105,Chili Cup,,220,9,18,19
106,Chili Bowl,,330,14,27,29
107,Onion Rings,,600,35,66,6
108,Small Fried Pickles,,230,8,37,5
109,Large Fried Pickles,,470,15,73,10
110,Small Cheese Curds,,610,45,22,29
111,Large Cheese Curds,,1220,91,44,58
112,Fry Sauce (2 fl oz),,140,14,4,0
113,Steakburger,w/o cheese,410,19,31,25
114,,with cheese,460,23,31,28
115,Hot Dog,,390,21,34,14
116,Grilled Cheese,,260,12,29,10
117,Chicken Tenders,,180,8,15,13
118,Vanilla cup single,,350,17,37,7
119,Chocolate cup single,,370,17,40,9
120,Half/half cup single,,360,17,38,8
121,Vanilla cup double,,680,34,72,14
122,Chocolate cup double,,720,34,78,17
123,Half/half cup double,,700,34,75,15
124,Vanilla cup triple,,1010,51,106,20
125,Chocolate cup triple,,1060,51,116,25
126,Half/half cup triple,,1040,51,111,23
127,Vanilla cake cone single,,370,17,42,7
128,Chocolate cake cone single,,390,17,45,9
129,Half/half cake cone single,,380,17,43,8
130,Vanilla cake cone double,,700,34,77,14
131,Chocolate cake cone double,,740,34,83,17
132,Half/half cake cone double,,720,34,80,15
133,Vanilla cake cone triple,,1030,51,111,20
134,Chocolate cake cone triple,,1080,51,121,25
135,Half/half cake cone triple,,1060,51,116,23
136,Vanilla waffle cone single,,470,18,63,9
137,Chocolate waffle cone single,,490,18,66,11
