,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,Made from Scratch Biscuit™,,430,26,43,7
1,Cinnamon ‘N’ Raisin™ Biscuit,,320,14,46,3
2,Jelly Biscuit,,460,26,52,7
3,Sausage Biscuit,,620,43,44,13
4,Sausage & Egg Biscuit,,690,48,46,19
5,"Smoked Sausage, Egg and Cheese Biscuit",,790,57,48,23
6,Country Ham Biscuit,,500,30,44,16
7,Chicken Fillet Biscuit,,650,41,54,19
8,Country Steak Biscuit,,640,42,52,14
9,"Bacon, Egg & Cheese Biscuit",,610,38,46,21
10,"Bacon, Swiss, Chicken and Egg Biscuit",,840,54,56,34
11,"Ham, Egg & Cheese Biscuit",,580,35,46,20
12,Loaded Omelet Biscuit,,620,39,48,19
13,Monster Biscuit ®,,880,61,48,35
14,Biscuit ‘N’ Gravy,,620,39,57,10
15,Sunrise Croissant® with Ham,,390,23,29,18
16,Frisco Breakfast Sandwich®,,450,19,45,24
17,Low Carb Breakfast Bowl®,,680,59,2,33
18,Loaded Breakfast Burrito,,580,30,46,30
19,Hardee ™ Breakfast Platter,Bacon,900,57,64,29
20,,Ham,880,53,75,23
21,,Sausage,1070,72,76,24
22,Hash Rounds®,Small,260,15,23,2
23,,Medium,370,22,33,3
24,,Large,510,30,45,4
25,Grits,,110,4.5,17,2
26,Grass-Fed All-Natural* Burger,,780,49,56,30
27,Original Thickburger®,1/3 LB,780,48,56,34
28,,2/3 LB,1100,73,57,58
29,Cheeseburger,1/3 LB,640,33,56,33
30,,2/3 LB,970,59,57,57
31,Mushroom & Swiss Thickburger®,1/3 LB,680,38,53,36
32,,2/3 LB,1000,63,54,59
33,Bacon Cheese Thickburger®,1/3 LB,850,54,54,542
34,,2/3 LB,1170,79,55,66
35,Frisco Thickburger®,1/3 LB,840,55,46,43
36,,2/3 LB,1150,80,47,66
37,Double Thickburger®,2/3 LB,1130,77,58,58
38,Monster Thickburger®,2/3 LB,1300,90,53,76
39,Thickburger®,1/4 LB,530,35,34,23
40,Cheeseburger,1/4 LB,440,23,37,23
41,Charbroiled Chicken Club Sandwich,,560,28,38,37
42,Charbroiled BBQ Chicken Sandwich,,350,6,46,27
43,Big Chicken Fillet Sandwich,,710,36,64,35
44,Spicy Chicken Sandwich,,440,23,44,14
45,Regular Roast Beef Sandwich,,310,14,28,18
46,Big Roast Beef Sandwich,,500,23,48,28
47,Hot Ham 'N' Cheese™,,290,11,29,17
48,Big Hot Ham 'N' Cheese™,,530,20,51,34
49,Jumbo Chili Dog,,390,26,23,15
50,Double Cheeseburger,,380,19,33,18
51,Small Cheeseburger,,300,13,33,13
52,Small Hamburger,,250,9,32,11
53,Hand-Breaded Chicken Tenders™,3 Piece,260,13,13,25
54,,5 Piece,440,21,21,41
55,Chicken Tenders,Kids Meal,400,19,37,19
56,Cheeseburger,Kids Meal,520,23,62,15
57,Hamburger,Kids Meal,470,20,61,13
58,Hotdog,Kids Meal,570,34,50,15
59,Natural Cut French Fries,Kids,240,12,31,3
60,,Small,300,15,47,4
61,,Medium,490,24,63,5
62,,Large,530,26,69,6
63,Crispy Curls®,Small,360,18,46,5
64,,Medium,470,23,60,6
65,,Large,570,28,72,7
66,Beer-Battered Onion Rings,,410,24,45,3
67,Side Salad (no dressing),,120,7,7,7
68,Fried Chicken,Breast,370,15,29,29
69,,Wing,200,8,23,10
70,,Thigh,330,15,30,19
71,,Leg,170,7,15,13
72,Green Beans,,40,1.5,5,2
73,Cole Slaw,Small,270,22,17,1
74,Peach Cobbler,Small,280,8,52,1
75,Mashed Potatoes and Gravy,Small,90,1,17,2
76,Chocolate Chip Cookie,2 wrapped cookies,240,10,36,2
77,,1 Fresh Baked Cookie,290,15,35,2
78,Apple Turnover,Without Cinnamon Sugar Topping,270,13,35,3
79,Single Scoop Vanilla Ice Cream,Sugar Cone,300,14,37,6
80,,Bowl,240,13,27,5
81,Hand Scooped Ice-Cream Shake™,,710,33,87,14
