,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,Hamburger w/Onion,,390,19,39,16
1,,with mustard & ketchup instead of spread,310,10,41,16
2,,Protein® Style (Bun replaced with Lettuce),240,17,11,13
3,Cheeseburger w/Onion,,480,27,39,22
4,,with mustard & ketchup instead of spread,400,18,41,22
5,,Protein® Style (Bun replaced with Lettuce),330,25,11,18
6,Double-Double w/Onion,,670,41,39,37
7,,with mustard & ketchup instead of spread,590,32,41,37
8,,Protein® Style (Bun replaced with Lettuce),520,39,11,33
9,French Fries,,395,18,54,7
10,Chocolate Shake,,590,29,72,10
11,Vanilla Shake,,580,31,67,10
12,Strawberry Shake,,590,27,81,8
13,Coca-Cola Classic,,195,0,54,0
14,Diet Coke,,0,0,0,0
15,Seven Up,,200,0,54,0
16,Dr Pepper,,200,0,52,0
17,Root Beer,,219,0,60,0
18,Lemonade,,179,0,40,0
19,Minute Maid Light Lemonade,,8,0,1,0
20,Coffee,,5,0,0,1
21,Milk,,180,6,18,12
