,Food,Size,Calories,Fat,Carbs,Protein,Price
0,"Turkey and Provolone Regular
",,780,39.9,66.97,39.34,See Prices
1,"Turkey and Provolone Giant
",,1510,75.06,131.52,75.25,See Prices
2,"Turkey and Provolone Mini
",,470,21.45,44.02,24.78,See Prices
3,"Turkey and Provolone Wrap
",,800,44.59,60.97,38.34,See Prices
4,"Turkey and Provolone Sub In A Tub
",,490,37.59,8.97,30.34,See Prices
5,The Original Italian Regular,,890,51.29,69.70,36.40,See Prices
6,"The Original Italian Giant
",,1700,97.84,136.33,64.87,See Prices
7,"The Original Italian Mini
",,520,25.36,45.86,25.03,See Prices
8,The Original Italian Wrap,,960,58.38,65.33,43.12,See Prices
9,"The Original Italian Sub In A Tub
",,600,49.79,11.70,27.40,See Prices
10,"Club Sub Regular
",,1100,71.55,68.95,42.50,See Prices
11,"Club Sub Giant
",,2100,138.95,135.14,74.70,See Prices
12,"Club Sub Mini
",,640,38.06,45.16,27.86,See Prices
13,"Club Sub Wrap
",,1120,77.05,62.95,41.50,See Prices
14,"Club Sub Sub In A Tub
",,810,70.05,10.95,33.50,See Prices
15,"Club Supreme Regular
",,1130,71.06,67.87,54.16,See Prices
16,"Club Supreme Giant
",,2140,138.02,133.37,91.17,See Prices
17,"Club Supreme Mini
",,650,37.68,44.44,33.01,See Prices
18,"Club Supreme Wrap
",,1150,76.56,61.87,53.16,See Prices
19,"Club Supreme Sub In A Tub
",,840,69.56,9.87,45.16,See Prices
20,"Roast Beef and Provolone Regular
",,880,43.66,66.97,54.30,See Prices
21,"Roast Beef and Provolone Giant
",,1700,84.13,131.52,104.73,See Prices
22,"Roast Beef and Provolone Mini
",,540,24.52,44.02,35.85,See Prices
23,"Roast Beef and Provolone Wrap
",,900,49.16,60.97,53.30,See Prices
24,"Roast Beef and Provolone Sub In A Tub
",,590,42.16,8.97,45.30,See Prices
25,Tuna Fish Regular,,1020,69.17,68.60,30.64,See Prices
26,Tuna Fish Giant,,1950,130.95,134.60,57.12,See Prices
27,Tuna Fish Wrap,,1040,74.67,62.60,29.64,See Prices
28,Tuna Fish Mini,,600,38.53,44.92,18.85,See Prices
29,Tuna Fish Sub In A Tub,,730,67.67,10.60,21.64,See Prices
30,The Super Sub,,830,42.53,70.27,39.05,See Prices
31,The Super Sub Giant,,1560,80.49,137.12,68.54,See Prices
32,The Super Sub Mini,,500,23.61,45.95,24.62,See Prices
33,The Super Sub Wrap,,850,48.03,64.27,38.05,See Prices
34,The Super Sub Sub In A Tub,,540,41.03,12.27,30.05,See Prices
35,Jersey Shore Favorite Regular,,820,42.78,69.24,36.20,See Prices
36,Jersey Shore Favorite Giant,,1540,80.65,135.21,62.58,See Prices
37,Jersey Shore Favorite Mini,,480,23,45.14,20.58,See Prices
38,Jersey Shore Favorite Wrap,,840,48.28,63.24,35.20,See Prices
39,Jersey Shore Favorite Sub In A Tub,,530,41.28,11.24,27.20,See Prices
40,BLT Regular,,700,40.38,64.76,18.83,See Prices
41,BLT Giant,,1390,80.65,127.63,37.16,See Prices
42,BLT Mini,,420,22.48,42.61,12.44,See Prices
43,BLT Wrap,,730,46,60.88,18.31,See Prices
44,BLT Sub In A Tub,,410,38.85,6.23,9.71,See Prices
45,The Veggie Regular,,940,57.28,69.78,36.91,See Prices
46,The Veggie Giant,,1870,114.44,136.93,73.21,See Prices
47,The Veggie Mini,,560,31.76,45.75,22.82,See Prices
48,The Veggie Wrap,,960,62.78,63.78,35.91,See Prices
49,The Veggie Sub In A Tub,,650,55.78,11.78,27.91,See Prices
50,The Number Four Regular,,790,40.85,70.16,34.89,See Prices
51,The Number Four Giant,,1490,77.66,136.83,61.16,See Prices
52,The Number Four Mini,,470,22.39,45.74,21.18,See Prices
53,The Number Four Wrap,,810,46.35,64.16,33.89,See Prices
54,The Number Four Sub In A Tub,,500,39.35,12.16,25.89,See Prices
55,The Cancro Special Regular,,930,48.38,67.47,56.42,See Prices
56,The Cancro Special Giant,,1740,91.15,132.45,97.20,See Prices
57,The Cancro Special Mini,,540,26,44.26,31.37,See Prices
58,The Cancro Special Wrap,,950,53.88,"61.47
",55.42,See Prices
59,The Cancro Special Sub In A Tub,,640,46.88,9.47,47.42,See Prices
60,Chipotle Turkey Regular,,1050,69.47,66.97,39.34,See Prices
61,Chipotle Turkey Giant,,2050,135.76,131.52,74.14,See Prices
62,Chipotle Turkey Mini,,610,36.64,44.02,24.78,See Prices
63,Chipotle Turkey Wrap,,1070,75.32,61,38.15,See Prices
64,Chipotle Turkey Sub In A Tub,,760,68.32,9,30.15,See Prices
65,California Club Regular,,920,51.74,71.84,42.95,See Prices
66,California Club Giant,,1780,99.60,141.20,81.74,See Prices
67,California Club Mini,,530,27.18,46.40,25.48,See Prices
68,Chipotle Cheese Steak Regular,,940,52.80,70.21,45.45,See Prices
69,Chipotle Cheese Steak Giant,,1880,105.60,140.42,90.91,See Prices
70,Chipotle Cheese Steak Wrap,,960,58.30,64.21,44.45,See Prices
71,Chipotle Cheese Steak Sub In A Tub,,650,51.30,12.21,36.45,See Prices
72,Big Kahuna Cheese Steak Regular,,720,26.72,72.33,48.14,See Prices
