,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,SLIM 1,UNWICH,190,11,4,19
1,,FRENCH,570,13,76,34
2,,WHEAT,520,20,63,36
3,SLIM 2,UNWICH,100,3,1,16
4,,FRENCH,480,6,73,31
5,,WHEAT,430,12,60,33
6,SLIM 3,UNWICH,420,32,6,65
7,,FRENCH,800,35,78,43
8,,WHEAT,750,41,65,45
9,SLIM 4,UNWICH,70,0.5,2,14
10,,FRENCH,450,3,74,29
11,,WHEAT,400,10,61,31
12,SLIM 5,UNWICH,280,20,3,22
13,,FRENCH,660,23,75,37
14,,WHEAT,610,29,62,39
15,SLIM 6,UNWICH,240,18,2,16
16,,FRENCH,620,21,74,31
17,,WHEAT,570,27,61,33
18,#1,UNWICH,350,28,6,19
19,,FRENCH,630,30,59,30
20,,WHEAT,690,37,66,36
21,#2,UNWICH,260,20,3,16
22,,FRENCH,540,22,56,27
23,,WHEAT,600,29,63,33
24,#3,UNWICH,430,32,9,28
25,,FRENCH,710,34,62,39
26,,WHEAT,770,41,69,45
27,#4,UNWICH,230,18,4,14
28,,FRENCH,510,20,57,25
29,,WHEAT,570,27,64,31
30,#5,UNWICH,380,29,7,22
31,,FRENCH,660,31,60,33
32,,WHEAT,720,38,67,39
33,#6,UNWICH,430,38,7,17
34,,FRENCH,710,40,60,28
35,,WHEAT,770,47,67,34
36,J.J.B.L.T.®,UNWICH,340,29,3,12
37,,FRENCH,620,31,56,23
38,,WHEAT,680,38,63,29
39,#7,UNWICH,420,30,9,31
40,,FRENCH,810,32,82,46
41,,WHEAT,760,39,69,48
42,#8,UNWICH,440,31,6,35
43,,FRENCH,830,33,79,50
44,,WHEAT,780,40,66,52
45,#9,UNWICH,600,48,9,33
46,,FRENCH,990,50,82,48
47,,WHEAT,940,57,69,50
48,#10,UNWICH,450,32,4,40
49,,FRENCH,840,35,77,55
50,,WHEAT,790,41,64,57
51,#11,UNWICH,410,28,7,33
52,,FRENCH,800,31,80,48
53,,WHEAT,750,37,67,50
54,#12,UNWICH,490,38,8,31
55,,FRENCH,880,41,81,46
56,,WHEAT,830,47,68,48
57,#13,UNWICH,660,56,9,32
58,,FRENCH,1050,58,82,47
59,,WHEAT,1000,65,69,49
60,#14,UNWICH,320,21,4,30
61,,FRENCH,710,23,77,45
62,,WHEAT,660,30,64,47
63,#15,UNWICH,660,50,10,44
64,,FRENCH,1050,53,83,59
65,,WHEAT,1000,59,70,61
66,#16,UNWICH,400,30,4,26
67,,FRENCH,790,32,77,41
68,,WHEAT,740,39,64,43
69,#17,UNWICH,410,31,5,23
70,,FRENCH,800,33,78,38
71,,WHEAT,750,40,65,40
72,GARG,UNWICH,750,51,10,63
73,,FRENCH,1140,54,83,78
74,,WHEAT,1090,60,70,80
75,CHOCOLATE CHUNK COOKIE,,410,19,56,5
76,RAISIN OATMEAL COOKIE,,370,13,57,6
77,REGULAR JIMMY CHIPS®,,150,9,17,2
78,BBQ JIMMY CHIPS®,,150,8,17,2
79,JALAPENO JIMMY CHIPS®,,150,8,17,2
80,SALT & VINEGAR JIMMY CHIPS®,,150,8,17,1
81,THINNY JIMMY CHIPS®,,130,5,20,2
82,KOSHER PICKLE,,20,0,4,1
83,JIMMY® RANCH,,150,16,1,1
84,French TBO,,280,2,53,11
85,French LBI,,390,2.5,73,15
86,Wheat,,340,9,60,17
87,Unwich® (Lettuce Wrap),,5,0,1,0
88,COCA-COLA®,22 OUNCES,260,0,72,0
89,,30 OUNCES,350,0,98,0
90,,32 OUNCES,370,0,105,0
91,DIET COKE®,22 OUNCES,0,0,0,0
92,,30 OUNCES,0,0,0,0
93,,32 OUNCES,0,0,0,0
94,DIET COKE® CAFFEINE FREE,22 OUNCES,0,0,0,0
95,,30 OUNCES,0,0,0,0
96,,32 OUNCES,0,0,0,0
97,COCA-COLA ZERO®,22 OUNCES,0,0,0,0
98,,30 OUNCES,0,0,0,0
99,,32 OUNCES,0,0,0,0
100,COCA-COLA® CHERRY,22 OUNCES,280,0,77,0
101,,30 OUNCES,380,0,105,0
102,,32 OUNCES,410,0,112,0
103,SPRITE®,22 OUNCES,260,0,70,0
104,,30 OUNCES,350,0,95,0
105,,32 OUNCES,370,0,101,0
106,SPRITE ZERO®,22 OUNCES,0,0,0,0
107,,30 OUNCES,0,0,0,0
108,,32 OUNCES,0,0,0,0
109,MINUTE MAID® LEMONADE,22 OUNCES,300,0,80,0
110,,30 OUNCES,410,0,109,0
111,,32 OUNCES,440,0,116,0
112,MINUTE MAID® LIGHT LEMONADE,22 OUNCES,40,0,11,0
113,,30 OUNCES,60,0,15,0
114,,32 OUNCES,60,0,16,0
115,DR. PEPPER®,22 OUNCES,280,0,74,0
116,,30 OUNCES,0,0,0,0
117,,32 OUNCES,0,0,0,0
118,DIET DR. PEPPER®,22 OUNCES,0,0,0,0
119,,30 OUNCES,0,0,0,0
120,,32 OUNCES,0,0,0,0
121,BARQ'S® ROOT BEER,22 OUNCES,290,0,83,0
122,,30 OUNCES,0,0,0,0
123,,32 OUNCES,0,0,0,0
124,MELLO YELLO®,22 OUNCES,290,0,80,0
125,,30 OUNCES,380,0,101,0
126,,32 OUNCES,410,0,108,0
127,LIPTON® ICED TEA (UNSWEETENED),22 OUNCES,0,0,0,0
128,,30 OUNCES,0,0,0,0
129,,32 OUNCES,0,0,0,0
130,LIPTON® ICED TEA (SWEET),22 OUNCES,270,0,60,0
131,,30 OUNCES,370,0,94,0
132,,32 OUNCES,400,0,100,0
133,POWERADE® MOUNTAIN BLAST,22 OUNCES,150,0,39,0
134,,30 OUNCES,200,0,53,0
135,,32 OUNCES,210,0,57,0
136,HI-C® FLASHIN' FRUIT PUNCH®,22 OUNCES,290,0,81,0
137,,30 OUNCES,400,0,111,0
138,,32 OUNCES,430,0,118,0
139,FANTA® ORANGE,22 OUNCES,290,0,83,0
140,,30 OUNCES,400,0,113,0
141,,32 OUNCES,430,0,121,0
142,FANTA® GRAPE,22 OUNCES,330,0,89,0
143,,30 OUNCES,450,0,122,0
144,,32 OUNCES,480,0,130,0
145,FANTA® STRAWBERRY,22 OUNCES,330,0,88,0
146,,30 OUNCES,450,0,120,0
147,,32 OUNCES,480,0,128,0
148,FANTA® CHERRY,22 OUNCES,300,0,81,0
149,,30 OUNCES,410,0,111,0
150,,32 OUNCES,440,0,118,0
151,FUZE® UNSWEETENED TEA,22 OUNCES,0,0,0,0
152,,30 OUNCES,0,0,0,0
153,,32 OUNCES,0,0,0,0
154,FUZE® RASPBERRY TEA,22 OUNCES,110,0,28,0
155,,30 OUNCES,150,0,38,0
156,,32 OUNCES,160,0,40,0
157,FUZE® SWEET TEA,22 OUNCES,110,0,28,0
158,,30 OUNCES,150,0,38,0
159,,32 OUNCES,160,0,40,0
160,BARQ'S® RED CREAM SODA,22 OUNCES,240,0,64,0
161,,30 OUNCES,330,0,87,0
162,,32 OUNCES,350,0,93,0
163,PIBB XTRA®,22 OUNCES,260,0,72,0
164,,30 OUNCES,350,0,98,0
165,,32 OUNCES,370,0,105,0
166,HI-C® POPPIN' PINK LEMONADE®,22 OUNCES,330,0,88,0
167,,30 OUNCES,450,0,120,0
168,,32 OUNCES,480,0,128,0
169,POWERADE® FRUIT PUNCH,22 OUNCES,180,0,46,0
170,,30 OUNCES,200,0,53,0
171,,32 OUNCES,210,0,57,0
172,VITAMINWATER® XXX,22 OUNCES,130,0,37,0
173,,30 OUNCES,180,0,50,0
174,,32 OUNCES,190,0,53,0
175,TURKEY BREAST,EZ,40,0.5,1,9
176,,REG,60,0.5,1,14
177,,XTRA,120,1,2,27
178,HAM,EZ,45,1,2,8
179,,REG,70,1.5,2,11
180,,XTRA,140,3.5,5,23
181,ROAST BEEF,EZ,45,1.5,0,8
182,,REG,90,3,0,16
183,,XTRA,170,6,0,32
184,VITO MEAT,EZ,90,6,0,8
185,,REG,160,11,1,14
186,,XTRA,320,22,1,27
187,GENOA SALAMI,EZ,50,3.5,0,4
188,,REG,100,7,0,8
189,,XTRA,190,14,0,16
190,CAPICOLA,EZ,40,2.5,0,4
191,,REG,60,4,1,6
192,,XTRA,120,8,1,11
193,BACON,EZ/ADD,100,7,0,7
194,,REG,170,12,0,12
195,,XTRA,330,23,0,23
196,TUNA SALAD,EZ,210,16,2,13
197,,REG,410,32,5,28
198,,XTRA,820,64,9,52
199,CHEESE,EZ,60,4.5,0,4
200,,REG,110,9,1,8
201,,XTRA,230,18,1,16
202,AVOCADO SPREAD,EZ,15,1,1,0
203,,REG,25,2.5,2,1
204,,XTRA,50,5,4,1
205,LETTUCE,EZ,5,0,1,0
206,,REG,5,0,1,0
207,,XTRA,15,0,3,1
208,TOMATO,EZ,5,0,1,0
209,,REG,10,0,2,0
210,,XTRA,15,0,4,1
211,SLICED CUCUMBER,EZ,0,0,1,0
212,,REG,5,0,1,0
213,,XTRA,10,0,2,0
214,OREGANO,EZ,0,0,0,0
215,,REG,0,0,0,0
216,,XTRA,5,0,1,0
217,MAYO,EZ,110,12,0,0
218,,REG,150,17,0,0
219,,XTRA,260,29,0,0
220,DIJON,EZ,5,0,0,0
221,,REG,5,0,0,0
222,,XTRA,10,0,0,0
223,OIL & VINEGAR,EZ,40,4.5,0,0
224,,REG,80,9,0,0
225,,XTRA,170,18,0,0
226,JIMMY MUSTARD®,EZ,5,0,0,0
227,,REG,10,0,0,0
228,,XTRA,20,0,0,0
229,SPROUTS,EZ,0,0,0,0
230,,REG,5,0,0,1
231,,XTRA,5,0,1,1
232,HOT PEPPERS,EZ,0,0,0,0
233,,REG,5,0,1,0
234,,XTRA,5,0,1,0
235,SLICED PICKLES,EZ,0,0,0,0
236,,REG,0,0,0,0
237,,XTRA,5,0,< 1,0
