,Food,Calories,Total Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
0,Extra Crispy Chicken - Breast,510,33g,110mg,16g,0g,1g,39g
1,Extra Crispy Chicken - Drumstick,150,10g,55mg,5g,0g,0g,12g
2,Extra Crispy Chicken - Thigh,340,24g,80mg,10g,0g,0g,20g
3,Extra Crispy Chicken - Whole Wing,190,13g,55mg,6g,0g,0g,12g
4,Grilled Chicken - Breast Nutrition,220,7g,135mg,0g,0g,0g,40g
5,Grilled Chicken - Drumstick,90,4g,60mg,0g,0g,0g,13g
6,Grilled Chicken - Thigh Nutrition,170,10g,90mg,0g,0g,0g,19g
7,Grilled Chicken - Whole Wing,80,5g,50mg,1g,0g,0g,10g
8,Original Recipe Chicken - Breast,360,21g,110mg,11g,0g,0g,34g
9,Original Recipe Chicken - Drumstick,120,7g,45mg,3g,0g,0g,11g
10,Original Recipe Chicken - Thigh,250,17g,80mg,7g,0g,0g,17g
11,Original Recipe Chicken - Whole,120,7g,50mg,3g,0g,0g,11g
12,Original Recipe Chicken -Breast without skin or breading,160,4g,85mg,2g,0g,0g,31g
13,Spicy Crispy - Breast,420,25g,110mg,12g,1g,0g,38g
14,Spicy Crispy - Drumstick,160,10g,50mg,5g,0g,0g,11g
15,Spicy Crispy - Thigh,360,27g,85mg,13g,1g,0g,17g
16,Spicy Crispy - Whole Wing,170,12g,45mg,6g,0g,0g,11g
17,Apple Turnover,250,12g,0mg,33g,2g,12g,2g
18,Café Valley Bakery Chocolate Chip Cake,300,15g,50mg,39g,1g,27g,4g
19,Café Valley Bakery Lemon Cake,210,11g,40mg,28g,0g,19g,2g
20,Café Valley Bakery® Mini Chocolate,300,12g,40mg,49g,1g,35g,3g
21,Café Valley Bakery® Mini Lemon,300,13g,50mg,43g,0g,31g,3g
22,Oreo Cookies and Crème Pie Slice,290,16g,5mg,34g,1g,23g,3g
23,Reese's Peanut Butter Pie Slice,310,19g,5mg,31g,1g,22g,5g
24,Sweet Life Chocolate Chip Cookie,160,8g,10mg,21g,1g,14g,2g
25,Sweet Life Oatmeal Raisin Cookie,150,6g,10mg,22g,1g,12g,2g
26,Colonel's Buttery Spread,30,4g,0mg,0g,0g,0g,0g
27,Country Fried Steak with Peppered White Gravy,380,27g,30mg,23g,2g,1g,12g
28,Country Fried Steak without Peppered White Gravy,350,25g,30mg,19g,2g,1g,12g
29,Creamy Ranch Dipping Sauce Cup,140,15g,10mg,1g,0g,1g,0g
30,HBBQ Dipping Sauce Cup,40,0g,0mg,9g,0g,8g,0g
31,Honey Mustard Dipping Sauce Cup,120,10g,5mg,6g,0g,5g,0g
32,Honey Sauce Packet,30,0g,0mg,8g,0g,5g,0g
33,KFC Gizzards,200,11g,100mg,15g,1g,0g,11g
34,KFC Livers,180,10g,200mg,11g,0g,0g,11g
35,Sweet and Sour Dipping Sauce Cup,45,0g,0mg,12g,0g,10g,0g
36,Popcorn Chicken Nuggets,290,19g,30mg,19g,1g,0g,13g
37,Chicken Littles® Go Cup,600,33g,40mg,58g,4g,4g,18g
38,Chicken Pot Pie,790,45g,75mg,66g,3g,7g,29g
39,Extra Crispy™ Tenders Go Cup,540,28g,60mg,46g,4g,0g,26g
40,Fiery Buffalo Hot Wings™ Go Cup,510,28g,55mg,50g,3g,0g,15g
41,HBBQ Hot Wings™ Go Cup,540,28g,55mg,58g,3g,6g,15g
42,Hot Wings™ Go Cup,490,27g,55mg,45g,3g,0g,15g
43,KFC Famous Bowls - Mashed Potato with Gravy,680,31g,45mg,74g,6g,3g,26g
44,Popcorn Chicken Nuggets Go Cup,570,32g,35mg,53g,4g,0g,18g
45,Snack - Size Bowl,260,13g,25mg,26g,1g,1g,12g
46,Caesar Side Salad without Dressing & Croutons,40,2g,5mg,2g,1g,1g,3g
47,Crispy Chicken BLT Salad without Dressing,360,19g,75mg,18g,4g,5g,30g
48,Crispy Chicken Caesar Salad without Dressing & Croutons,340,18g,70mg,16g,3g,3g,28g
49,Heinz Buttermilk Ranch,160,17g,10mg,1g,0g,1g,0g
50,Hidden Valley The Original Ranch Fat Free,35,0g,0mg,8g,0g,2g,1g
51,House Side Salad without Dressing,15,0g,0mg,3g,1g,2g,1g
