,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,Apple Fritter,,210,14,18,3
1,Baseball Doughnut,,290,17,33,4
2,Caramel Kreme Crunch,,390,20,50,4
3,Chocolate Iced Cake,,280,15,34,3
4,Chocolate Iced Custard Filled,,310,17,36,4
5,Chocolate Iced Glazed,,240,11,33,2
6,Chocolate Iced Glazed Cruller,,260,12,38,2
7,Chocolate Iced Glazed Football Stamp,,290,17,31,4
8,Chocolate Iced Glazed Hearts w/ Strawberry Kreme Filling and Red Drizzle,,360,20,43,4
9,Chocolate Iced Kreme Filling,,360,21,40,4
10,Chocolate Iced Kreme Filling Web (Halloween),,400,20,51,4
11,Chocolate Iced Glazed with Sprinkles,,270,11,41,2
12,Chocolate Iced Raspberry Filled,,310,17,36,4
13,Cinnamon Apple Filled,,290,16,33,3
14,Cinnamon Bun,,260,16,28,3
15,Cinnamon Twist,,240,15,23,3
16,Doughnut Hole Glazed Blueberry Cake,4 Holes,190,8,26,2
17,Doughnut Hole Glazed Cake,4 Holes,200,10,26,2
18,Doughnut Hole Glazed Chocolate Cake,4 Holes,190,9,25,2
19,Doughnut Hole Original Glazed,4 Holes,200,11,26,2
20,Doughnut Hole Pumpkin Spice,4 Holes,210,10,29,2
21,Dulce de Leche,,300,18,31,3
22,Éclair - Chocolate Iced Banana Filled w/ Yellow Drizzle,,290,13,41,3
23,Éclair - Chocolate Iced Chocolate Filled w/ Chocolate Drizzle,,290,16,39,4
24,Éclair - White Iced Strawberries & Kreme Filling w/ Pink Drizzle,,350,16,43,3
25,Glazed Blueberry Cake,,300,14,42,2
26,Glazed Chocolate Cake,,300,15,41,3
27,Glazed Cinnamon,,200,11,25,2
28,Glazed Cruller,,220,12,27,2
29,Glazed Kreme Filling,,340,20,38,3
30,Glazed Lemon Filled,,290,16,35,3
31,Glazed Raspberry Filled,,290,16,36,3
32,Glazed Sour Cream,,310,14,43,2
33,Jack o' Lantern,,280,13,38,3
34,Maple Iced Glazed,,230,11,32,2
35,Mini Chocolate Iced Glazed,,110,5,16,1
36,Mini Chocolate Iced with Sprinkles,,130,5,20,1
37,Mini Original Glazed,,90,5,10,1
38,New York Cheesecake,,350,21,36,4
39,Orignal Glazed,,190,11,21,2
40,Powdered Blueberry Filled,,300,17,34,4
41,Powdered Cake,,220,11,27,2
42,Powdered Strawberry Filled,,290,16,33,3
43,Pumpkin Spice,,300,14,42,2
44,"Pumpkin, Football, Egg Shape Iced & Stamped",,280,17,29,3
45,Sugar,,190,11,20,2
46,Tennis Ball,,290,17,32,4
47,Traditional Cake,,190,12,19,2
48,White Iced Egg with Easter Sprinkles,,340,18,41,4
49,White Iced Glazed Hearts,,320,17,38,3
50,White Iced Glazed Snowman + Stamp,,280,17,29,3
51,White Iced Heart w/Valentine Sprinkles,,300,16,35,3
52,White Iced Shamrock with St. Patrick's Sprinkles,,300,18,31,3
