,Food,Size,Calories,Fat,Carbs,Protein
0,Pepperoni,1 Slice,280,11,31,13
1,Cheese,1 Slice,250,8,31,12
2,Pepperoni,1 Slice,350,14,40,16
3,Cheese,1 Slice,320,11,39,15
4,Ultimate Supreme,1 Slice,300,13,32,14
5,3 Meat Treat®,1 Slice,330,16,31,15
6,Hula Hawaiian® (Ham),1 Slice,270,9,35,15
7,Hula Hawaiian (Canadian Bacon),1 Slice,280,9,35,15
8,Veggie,1 Slice,270,10,32,13
9,Italian Sausage,1 Slice,270,11,31,13
10,Ultimate Supreme,1 Slice,400,18,41,18
11,3 Meat Treat®,1 Slice,410,20,40,19
12,Hula Hawaiian® (Ham),1 Slice,340,12,42,17
13,Hula Hawaiian (Canadian Bacon),1 Slice,350,12,42,18
14,Veggie,1 Slice,340,13,41,16
15,Italian Sausage,1 Slice,350,15,40,16
16,HOT-N-READY Crazy Bread®,(1of 8 breadsticks),100,3,15,3
17,HOT-N-READY Crazy Sauce®,(1 sauce cup),45,0,10,2
18,Italian Cheese Bread,(1of 10 breadsticks),140,6,15,6
19,Pepperoni Cheese Bread®,(1of 10 breadsticks),150,7,15,7
20,Zesty Cheese Bread,(1of 10 breadsticks),150,7,15,6
21,Cinnamon Loaded Crazy Bites,(Whole Order),1770,74,258,23
22,Oven Roasted,1 wing,70,5,0,5
23,Buffalo - Mild,1 wing,70,5,0,6
24,Buffalo - Hot,1 wing,70,5,1,6
25,BBQ,1 wing,80,5,4,6
26,Garlic Parmesan,1 wing,90,7,1,6
27,Cheesy Jalapeño Caesar Dip,1 container,210,22,3,1
28,Ranch Caesar Dip,1 container,250,26,3,0
29,Buffalo Ranch Caesar Dip,1 container,230,24,3,0
30,Buttery Garlic Caesar Dip,1 container,380,42,0,0
31,Pepperoni,1 Slice,150,8,11,7
32,Cheese,1 Slice,130,6,11,6
33,Classic Round Pizza - Pepperoni,1 Slice,340,16,32,17
34,Classic Round Pizza - Cheese,1 Slice,310,13,32,16
35,Deep!Deep! Pizza - Pepperoni,1 Slice,420,20,41,20
36,Deep!Deep! Pizza - Cheese,1 Slice,380,16,41,19
37,Pepperoni,,30,3,0,1
38,Bacon,,40,3.5,0,2
39,Beef,,25,2,0,1
40,Italian Sausage,,30,2.5,0,1
41,Julienne Cut Ham,,10,0,0,2
42,Canadian Bacon,,10,0,0,2
43,Green Pepper,,5,0,1,0
44,Onion,,5,0,1,0
45,"Mushroom, canned",,5,0,0,0
46,"Mushroom, fresh",,0,0,0,0
47,Black Olive,,15,2,0,0
48,Jalapeño Pepper,,0,0,0,0
49,Mild Banana Peppers,,0,0,0,0
50,Pineapple,,10,0,3,0
51,Extra Cheese,,30,2,0,2
52,Pepperoni,,35,3,0,1
53,Bacon,,35,3.5,0,2
54,Beef,,25,2,0,1
55,Italian Sausage,,35,3,0,1
56,Julienne Cut Ham,,10,0,0,2
57,Canadian Bacon,,15,0,0,2
58,Green Pepper,,5,0,1,0
59,Onion,,5,0,1,0
60,"Mushroom, canned",,5,0,0,0
61,"Mushroom, fresh",,0,0,0,0
62,Black Olive,,15,2,0,0
63,Jalapeño Pepper,,0,0,0,0
64,Mild Banana Peppers,,0,0,0,0
65,Pineapple,,15,0,4,0
66,Extra Cheese,,30,2,0,2
67,Antipasto Salad,(1 Salad),230,15,13,17
68,Caesar Salad,(1 Salad),230,8,33,10
69,Garden Mix Salad,(1 Salad),200,8,24,11
70,Greek Salad,(1 Salad),170,10,15,9
