,Food,Calories,Total Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
0,Big Mac,530 ,27g,85mg,47g,3g,9g,24g
1,"Quarter
Pounder® with
Cheese",520 ,26g ,95mg,41g,3g,10g,30g
2,"Bacon Clubhouse
Burger",720 ,40 ,115 ,51 ,4 ,14,39
3,"Quarter Pounder
Bacon Habanero
Ranch",610 ,31 ,105 ,46 ,3,10,47
4,"Quarter Pounder
Bacon &
Cheese",600 ,29 ,105 ,48 ,3 ,12,37
5,"Quarter Pounder
Deluxe",540 ,27 ,85 ,45 ,3 ,9,29
6,"Double Quarter
Pounder with
Cheese",750 ,43 ,160 ,42,3,10,38
7,Hamburger,240 ,8 ,30 ,32 ,1 ,6,12
8,Cheeseburger,290 ,11 ,45 ,33 ,2,7,15
9,"BBQ Ranch
Burger",340 ,15 ,50 ,37 ,3 ,7,15
10,"Grilled Onion
Cheddar",300 ,13,45 ,32 ,2,7,15
11,"Double
Cheeseburger",430 ,21 ,90 ,35 ,2,7,24
12,McDouble,380 ,17 ,75 ,34 ,2 ,7,22
13,Jalapeño Double,430 ,23 ,80 ,35 ,2,6,22
14,Bacon McDouble,440 ,22 ,90 ,35 ,2,7,22
15,Daily Double,430 ,22 ,80 ,34 ,2 ,7,22
16,"Bacon Clubhouse
Crispy Chicken
Sandwich",750 ,38 ,90 ,65 ,4 ,16,36
17,"Bacon Clubhouse
Grilled Chicken
Sandwich",590 ,25 ,110 ,51 ,4,16,36
18,"Premium Crispy
Chicken Classic
Sandwich",510 ,22 ,45 ,55 ,3 ,10,24
19,"Premium Grilled
Chicken Classic
Sandwich",350 ,9 ,65 ,42 ,3 ,8 ,28
20,"Premium Crispy
Chicken Club
Sandwich",670 ,33 ,85 ,58 ,3 ,11 ,36
21,"Premium Grilled
Chicken Club
Sandwich",510 ,20 ,105 ,44 ,3 ,9,40
22,"Premium Crispy
Chicken Ranch
BLT Sandwich",610 ,28 ,70 ,57 ,3 ,11 ,32
23,"Premium Grilled
Chicken Ranch
BLT Sandwich",450 ,15 ,90 ,43 ,3 ,9,36
24,McChicken ®,360 ,16 ,35 ,40 ,2,5,14
25,"Buffalo Ranch
McChicken",360 ,16 ,35 ,40 ,2,5,14
26,"Bacon Buffalo
Ranch
McChicken",430 ,21 ,50 ,41 ,2,6,20
27,"Bacon Cheddar
McChicken",480 ,24 ,65 ,43 ,2,6,22
28,"Southern Style
Crispy Chicken
Sandwich",430 ,19 ,45 ,43 ,2,7,21
29,Filet-O-Fish,390 ,19 ,40 ,39 ,2,5,15
30,"Premium
McWrap
Southwest
Chicken (Crispy)",670 ,33 ,60 ,68 ,5 ,12,27
31,"Premium
McWrap
Southwest
Chicken (Grilled)",520 ,20 ,80 ,55 ,5,10,31
32,"Premium
McWrap Chicken
& Bacon (Crispy)",630 ,32 ,80 ,56 ,3 ,7,32
33,"Premium
McWrap Chicken
& Bacon (Grilled)",480 ,19 ,95 ,42 ,3 ,6,36
34,"Premium
McWrap Chicken
& Ranch (Crispy)",610 ,31 ,65 ,56 ,3 ,8,27
35,"Premium
McWrap Chicken
& Ranch (Grilled)",450 ,18 ,80 ,42 ,3 ,6,40
36,"Premium
McWrap Chicken
Sweet Chili
(Crispy)",540 ,23 ,50 ,61 ,3 ,14,23
37,"Premium
McWrap Chicken
Sweet Chili
(Grilled)",380 ,10 ,65 ,47 ,3 ,12,17
38,"Chipotle BBQ
Snack Wrap
(Crispy)",340 ,15 ,30 ,37 ,1 ,8,14
