,Food,Type,Size,Calories,Fat,Carbs,Protein
0,Dual Layer Pepperoni,Original Crust,Pizza for One,240,11g,26g,9g
1,,,Small,240,11g,26g,9g
2,,,Medium,260,12g,27g,9g
3,,,Large,360,17g,38g,13g
4,,,Extra Large,380,17g,40g,14g
5,,Thin Crust,,290,18g,20g,11g
6,,Pan Crust,,340,16g,36g,12g
7,,Gluten Free,,250,12g,26g,9g
8,XL Double Topping,Original Crust,Pizza for One,N/A,N/A,N/A,N/A
9,,,Small,N/A,N/A,N/A,N/A
10,,,Medium,N/A,N/A,N/A,N/A
11,,,Large,N/A,N/A,N/A,N/A
12,,,Extra Large,400,19g,41g,15g
13,,Thin Crust,,N/A,N/A,N/A,N/A
14,,Pan Crust,,N/A,N/A,N/A,N/A
15,,Gluten Free,,N/A,N/A,N/A,N/A
16,Bacon Cheddarburger,Original Crust,Pizza for One,290,16g,26g,11g
17,,,Small,260,13g,26g,9g
18,,,Medium,270,14g,27g,10g
19,,,Large,400,20g,38g,14g
20,,,Extra Large,430,22g,41g,15g
21,,Thin Crust,,320,22g,20g,12g
22,,Pan Crust,,330,14g,36g,12g
23,Double Bacon Six Cheese,Original Crust,Pizza for One,240,10g,25g,11g
24,,,Small,230,9g,26g,11g
25,,,Medium,240,10g,27g,12g
26,,,Large,350,14g,38g,17g
27,,,Extra Large,370,15g,40g,17g
28,,Thin Crust,,280,15g,20g,14g
29,,Pan Crust,,340,14g,36g,17g
30,Cheese Pizza,Original Crust,Pizza for One,200,7g,25g,8g
31,,,Small,180,6g,25g,7g
32,,,Medium,210,7g,27g,8g
33,,,Large,290,10g,38g,11g
34,,,Extra Large,300,10g,40g,11g
35,,Thin Crust,,210,11g,20g,8g
36,,Pan Crust,,290,11g,36g,10g
37,,Gluten Free,,130,6g,16g,5g
38,Pepperoni Pizza,Original Crust,Pizza for One,220,10g,25g,8g
39,,,Small,210,8g,25g,8g
40,,,Medium,230,9g,26g,8g
41,,,Large,320,13g,38g,12g
42,,,Extra Large,330,13g,40g,12g
43,,Thin Crust,,250,14g,20g,9g
44,,Pan Crust,,340,16g,36g,12g
45,,Gluten Free,,160,9g,16g,6g
46,John's Favorite,Original Crust,Pizza for One,280,15g,24g,11g
47,,,Small,260,13g,24g,11g
48,,,Medium,280,14g,25g,11g
49,,,Large,390,20g,36g,16g
50,,,Extra Large,410,21g,38g,16g
51,,Thin Crust,,320,22g,18g,13g
52,,Pan Crust,,370,18g,36g,14g
53,The Works,Original Crust,Pizza for One,230,10g,26g,9g
54,,,Small,230,9g,26g,9g
55,,,Medium,230,9g,27g,9g
56,,,Large,340,14g,39g,13g
57,,,Extra Large,360,15g,41g,14g
58,,Thin Crust,,270,15g,21g,11g
59,,Pan Crust,,320,13g,37g,12g
60,,Gluten Free,,170,10g,16g,7g
61,The Meats,Original Crust,Pizza for One,260,12g,26g,11g
62,,,Small,250,12g,26g,10g
63,,,Medium,260,11g,27g,11g
64,,,Large,380,17g,38g,15g
65,,,Extra Large,410,19g,41g,17g
66,,Thin Crust,,300,19g,20g,13g
67,,Pan Crust,,340,15g,36g,13g
68,,Gluten Free,,200,12g,16g,8g
69,Garden Fresh,Original Crust,Pizza for One,190,6g,26g,7g
70,,,Small,190,6g,26g,7g
71,,,Medium,200,7g,27g,7g
72,,,Large,280,9g,39g,10g
73,,,Extra Large,300,9g,41g,11g
74,,Thin Crust,,210,10g,21g,8g
75,,Pan Crust,,280,10g,37g,10g
76,,Gluten Free,,140,6g,17g,5g
77,Spicy Italian,Original Crust,Pizza for One,270,14g,26g,10g
78,,,Small,240,11g,26g,9g
79,,,Medium,270,13g,27g,10g
80,,,Large,380,18g,38g,14g
81,,,Extra Large,400,19g,40g,15g
82,,Thin Crust,,310,20g,20g,11g
83,,Pan Crust,,350,17g,36g,12g
84,,Gluten Free,,190,12g,16g,7g
85,Spinach Alfredo,Original Crust,Pizza for One,200,8g,24g,7g
86,,,Small,190,7g,24g,7g
87,,,Medium,200,7g,25g,7g
88,,,Large,280,10g,36g,10g
89,,,Extra Large,300,11g,38g,11g
90,,Thin Crust,,210,11g,18g,8g
91,,Pan Crust,,280,11g,34g,10g
92,,Gluten Free,,140,7g,15g,5g
93,BBQ Chicken Bacon,Original Crust,Pizza for One,240,8g,30g,12g
94,,,Small,230,7g,30g,10g
95,,,Medium,240,8g,32g,11g
96,,,Large,340,11g,45g,16g
97,,,Extra Large,360,11g,48g,16g
98,,Thin Crust,,270,12g,27g,13g
99,,Pan Crust,,340,12g,42g,13g
100,,Gluten Free,,170,7g,20g,8g
101,Hawaiian BBQ Chicken,Original Crust,Pizza for One,250,8g,32g,12g
102,,,Small,230,7g,31g,10g
103,,,Medium,250,8g,33g,11g
104,,,Large,360,11g,47g,17g
105,,,Extra Large,370,11g,50g,16g
106,,Thin Crust,,280,12g,29g,13g
107,,Pan Crust,,340,12g,44g,13g
108,,Gluten Free,,180,7g,22g,8g
109,Tuscan Six Cheese,Original Crust,Pizza for One,220,9g,25g,10g
110,,,Small,220,8g,26g,9g
111,,,Medium,230,9g,27g,10g
112,,,Large,320,12g,38g,14g
113,,,Extra Large,330,12g,40g,14g
114,,Thin Crust,,250,13g,20g,11g
115,,Pan Crust,,310,13g,36g,12g
116,,Gluten Free,,160,8g,16g,7g
117,Sausage Pizza,Original Crust,Pizza for One,230,10g,25g,8g
118,,,Small,220,10g,25g,8g
119,,,Medium,240,11g,27g,8g
120,,,Large,330,14g,38g,12g
121,,,Extra Large,340,15g,40g,12g
122,,Thin Crust,,260,16g,20g,9g
123,,Pan Crust,,340,16g,36g,11g
124,,Gluten Free,,170,10g,16g,6g
125,Buffalo Chicken,Original Crust,Pizza for One,280,13g,28g,10g
126,,,Small,250,11g,27g,9g
127,,,Medium,260,12g,27g,10g
128,,,Large,380,17g,40g,14g
129,,,Extra Large,400,18g,43g,14g
130,,Thin Crust,,300,18g,22g,11g
131,,Pan Crust,,360,17g,37g,12g
132,Chicken Cordon Blue,Original Crust,Pizza for One,260,11g,25g,15g
133,,,Small,240,10g,25g,12g
134,,,Medium,260,11g,27g,14g
135,,,Large,360,15g,38g,18g
136,,,Extra Large,380,15g,41g,19g
137,,Thin Crust,,290,16g,21g,16g
138,,Pan Crust,,350,15g,37g,17g
139,,Gluten Free,,190,10g,15g,10g
140,Chicken BBQ,Original Crust,Pizza for One,240,8g,30g,12g
141,,,Small,230,7g,30g,11g
142,,,Medium,250,8g,32g,12g
143,,,Large,350,11g,45g,17g
144,,,Extra Large,370,11g,48g,17g
145,,Thin Crust,,280,12g,27g,14g
146,,Pan Crust,,260,13g,43g,16g
147,Pepperoni and Sausage,Original Crust,Pizza for One,260,13g,25g,9g
148,,,Small,240,11g,25g,8g
149,,,Medium,260,13g,26g,9g
150,,,Large,360,17g,38g,13g
151,,,Extra Large,380,17g,40g,13g
152,,Thin Crust,,310,20g,20g,11g
153,,Pan Crust,,340,16g,36g,11g
154,,Gluten Free,,190,12g,16g,7g
155,Italian Sausage,Original Crust,Pizza for One,230,10g,25g,8g
156,,,Small,160,7g,19g,6g
157,,,Medium,230,10g,27g,9g
158,,,Large,320,13g,38g,12g
159,,,Extra Large,340,14g,40g,12g
160,,Thin Crust,,250,15g,20g,9g
161,,Pan Crust,,330,15g,36g,11g
162,Mediterranean Veggie Pizza,Original Crust,Pizza for One,180,5g,26g,6g
163,,,Small,170,4.5g,26g,5g
164,,,Medium,180,4.5g,27g,6g
165,,,Large,250,7g,38g,8g
166,,,Extra Large,270,7g,41g,9g
167,,Thin Crust,,180,8g,20g,5g
168,,Pan Crust,,230,6g,35g,7g
169,Chicken & Veggie Pizza,Original Crust,Pizza for One,190,6g,26g,9g
170,,,Small,170,4.5g,26g,7g
171,,,Medium,180,5g,27g,7g
172,,,Large,260,7g,38g,10g
173,,,Extra Large,280,8g,41g,12g
174,,Thin Crust,,190,8g,20g,8g
175,,Pan Crust,,230,6g,35g,9g
176,Tropical Luau Pizza,Original Crust,Pizza for One,190,6g,27g,8g
177,,,Small,170,4.5g,26g,6g
178,,,Medium,180,4.5g,27g,7g
179,,,Large,260,6g,39g,10g
180,,,Extra Large,280,7g,42g,11g
181,,Thin Crust,,180,8g,21g,7g
182,,Pan Crust,,250,8g,36g,8g
183,Hawaiian Chicken Pizza,Original Crust,Pizza for One,200,5g,27g,9g
184,,,Small,180,4g,26g,8g
185,,,Medium,190,4.5g,27g,9g
186,,,Large,270,6g,39g,12g
187,,,Extra Large,280,7g,41g,13g
188,,Thin Crust,,190,7g,21g,10g
189,,Pan Crust,,240,6g,35g,11g
190,Grilled Chicken & Canadian Bacon Pizza,Original Crust,Pizza for One,200,6g,25g,11g
191,,,Small,180,4.5g,25g,8g
192,,,Medium,190,4.5g,26g,9g
193,,,Large,270,7g,37g,13g
194,,,Extra Large,290,7g,40g,14g
195,,Thin Crust,,190,8g,19g,11g
196,,Pan Crust,,260,8g,34g,11g
197,"Bacon,Egg,Cheese",Original Crust,Pizza for One,250,12g,25g,11g
198,,,Small,N/A,N/A,N/A,N/A
199,,,Medium,N/A,N/A,N/A,N/A
200,,,Large,390,20g,38g,16g
201,,,Extra Large,N/A,N/A,N/A,N/A
202,,Thin Crust,,N/A,N/A,N/A,N/A
203,,Pan Crust,,N/A,N/A,N/A,N/A
204,Big Bonanza,Original Crust,Pizza for One,260,10g,31g,11g
205,,,Small,250,9g,31g,10g
206,,,Medium,260,10g,32g,11g
207,,,Large,370,14g,45g,15g
208,,,Extra Large,400,15g,49g,17g
209,,Thin Crust,,300,14g,27g,13g
210,,Pan Crust,,360,14g,43g,13g
211,,Gluten Free,,200,9g,21g,8g
212,Chicken Bacon Ranch,Original Crust,Pizza for One,260,12g,26g,12g
213,,,Small,240,11g,26g,10g
214,,,Medium,260,11g,27g,11g
215,,,Large,370,16g,38g,16g
216,,,Extra Large,380,17g,41g,17g
217,,Thin Crust,,290,17g,20g,13g
218,,Pan Crust,,330,15g,35g,13g
219,,Gluten Free,,180,11g,16g,6g
220,Chicken Club,Original Crust,Pizza for One,230,8g,27g,12g
221,,,Small,220,8g,26g,10g
222,,,Medium,230,8g,28g,11g
223,,,Large,330,11g,39g,16g
224,,,Extra Large,340,12g,42g,16g
225,,Thin Crust,,260,13g,21g,13g
226,,Pan Crust,,310,12g,37g,13g
227,,Gluten Free,,160,8g,17g,8g
228,Chicken Veggie Lite(Chicken Delight),Original Crust,Pizza for One,200,6g,26g,10g
229,,,Small,190,6g,26g,8g
230,,,Medium,210,6g,27g,10g
231,,,Large,290,9g,39g,14g
232,,,Extra Large,310,9g,41g,14g
233,,Thin Crust,,220,10g,21g,11g
234,,Pan Crust,,290,10g,37g,12g
235,Dawg Pound Deluxe,Original Crust,Pizza for One,230,10g,26g,8g
236,,,Small,220,9g,26g,8g
237,,,Medium,210,7g,27g,8g
238,,,Large,330,13g,39g,12g
239,,,Extra Large,340,14g,41g,12g
240,,Thin Crust,,250,15g,21g,9g
241,,Pan Crust,,310,13g,36g,11g
242,Defender,Original Crust,Pizza for One,290,15g,26g,12g
243,,,Small,270,14g,26g,11g
244,,,Medium,290,15g,27g,12g
245,,,Large,420,21g,38g,17g
246,,,Extra Large,410,19g,41g,17g
247,,Thin Crust,,340,22g,21g,15g
248,,Pan Crust,,390,19g,36g,16g
249,,Gluten Free,,220,14g,16g,9g
250,Egg and Cheese,Original Crust,Pizza for One,240,11g,25g,10g
251,,,Small,N/A,N/A,N/A,N/A
252,,,Medium,N/A,N/A,N/A,N/A
253,,,Large,340,16g,37g,13g
254,,,Extra Large,N/A,N/A,N/A,N/A
255,,Thin Crust,,N/A,N/A,N/A,N/A
256,,Pan Crust,,N/A,N/A,N/A,N/A
257,Western Omelet,Original Crust,Pizza for One,240,10g,25g,11g
258,,,Small,N/A,N/A,N/A,N/A
259,,,Medium,N/A,N/A,N/A,N/A
260,,,Large,380,18g,38g,16g
261,,,Extra Large,N/A,N/A,N/A,N/A
262,,Thin Crust,,N/A,N/A,N/A,N/A
263,,Pan Crust,,N/A,N/A,N/A,N/A
264,Garden Special White,Original Crust,Pizza for One,190,7g,25g,7g
265,,,Small,200,7g,25g,7g
266,,,Medium,210,8g,27g,8g
267,,,Large,300,11g,38g,11g
268,,,Extra Large,310,11g,41g,12g
269,,Thin Crust,,220,12g,20g,8g
270,,Pan Crust,,290,12g,35g,10g
271,,Gluten Free,,150,7g,16g,5g
272,Giardineiera,Original Crust,Pizza for One,180,6g,24g,7g
273,,,Small,180,6g,24g,6g
274,,,Medium,190,6g,25g,7g
275,,,Large,260,9g,36g,10g
276,,,Extra Large,280,9g,38g,10g
277,,Thin Crust,,190,10g,18g,7g
278,,Pan Crust,,290,11g,36g,9g
279,Ham Veggie Lite(Ham Delight),Original Crust,Pizza for One,200,6g,26g,8g
280,,,Small,190,6g,26g,8g
281,,,Medium,200,6g,27g,8g
282,,,Large,290,9g,39g,12g
283,,,Extra Large,300,9g,41g,13g
284,,Thin Crust,,220,10g,21g,9g
285,,Pan Crust,,280,10g,37g,10g
286,"Ham,Egg,Cheese",Original Crust,Pizza for One,220,9g,24g,10g
287,,,Small,N/A,N/A,N/A,N/A
288,,,Medium,N/A,N/A,N/A,N/A
289,,,Large,360,17g,37g,16g
290,,,Extra Large,N/A,N/A,N/A,N/A
291,,Thin Crust,,N/A,N/A,N/A,N/A
292,,Pan Crust,,N/A,N/A,N/A,N/A
293,Hawaiian,Original Crust,Pizza for One,210,7g,27g,9g
294,,,Small,200,6g,27g,8g
295,,,Medium,210,7g,28g,9g
296,,,Large,300,9g,40g,12g
297,,,Extra Large,310,9g,42g,13g
298,,Thin Crust,,220,10g,22g,10g
299,,Pan Crust,,290,10g,37g,11g
300,,Gluten Free,,150,6g,17g,6g
301,Hawaiian Volcano,Original Crust,Pizza for One,230,8g,27g,10g
302,,,Small,220,8g,27g,9g
303,,,Medium,230,8g,28g,10g
304,,,Large,330,12g,40g,14g
305,,,Extra Large,350,12g,43g,15g
306,,Thin Crust,,260,13g,23g,11g
307,,Pan Crust,,330,13g,39g,12g
