,Food,Size,Calories,Fat,Carbs,Protein
0,Backyard BBQ Chicken,78g,180,6g,25g,7g
1,Buffalo Chicken,77.3g,170,5g,22g,7g
2,Cheese,65.6g,150,6g,17g,6g
3,Chicken-Bacon Parmesan,74g,170,8g,17g,8g
4,Four Pepper Pepperoni,70.7g,150,6g,17g,6g
5,Hawaiian Chicken,76g,150,5g,18g,7g
6,Meat Lover's®,81.3g,210,12g,17g,8g
7,Pepperoni,63g,150,7g,17g,6g
8,Pepperoni Lover's®,71.3g,180,9g,17g,7g
9,Primo Meats,78.9g,200,12g,17g,8g
10,Supreme,76.9g,170,9g,17g,7g
11,Ultimate Cheese Lover's®,66.3g,170,8g,17g,7g
12,Veggie Lover's®,73g,140,5g,18g,5g
13,Backyard BBQ Chicken,65g,160,6g,20g,7g
14,Buffalo Chicken,64.6g,140,5g,18g,6g
15,Cheese,60.2g,140,6g,16g,6g
16,Chicken-Bacon Parmesan,66.2g,150,7g,15g,7g
17,Four Pepper Pepperoni,66.7g,140,6g,16g,5g
18,Hawaiian Chicken,69.7g,140,5g,16g,7g
19,Meat Lover's®,72.2g,180,10g,15g,7g
20,Pepperoni,58.2g,140,7g,15g,6g
21,Pepperoni Lover's®,65.9g,170,9g,16g,7g
22,Primo Meats,70.2g,180,10g,15g,7g
23,Supreme,70.8g,160,8g,16g,6g
24,Ultimate Cheese Lover's®,59.5g,150,7g,15g,6g
25,Veggie Lover's®,69.4g,130,5g,16g,5g
26,Backyard BBQ Chicken,63g,140,4g,20g,6g
27,Buffalo Chicken,62.6g,130,3.5g,19g,6g
28,Cheese,58.9g,130,5g,16g,6g
29,Chicken-Bacon Parmesan,64.2g,140,6g,16g,7g
30,Four Pepper Pepperoni,65g,120,4g,16g,5g
31,Hawaiian Chicken,68.3g,130,4g,17g,6g
32,Meat Lover's®,70.9g,180,9g,16g,7g
33,Pepperoni,56.9g,130,5g,16g,5g
34,Pepperoni Lover's®,64.6g,160,7g,16g,7g
