,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,Drunken Yardbird,,220,8,25,12
1,Mad Rancher,,230,10,21,15
2,Two Timer,,290,13,28,15
3,Triple Threat,,250,12,17,17
4,The Gladiator,,280,17,16,17
5,Bohemian Veg,,230,9,28,9
6,Burrito Habanero BBQ Brisket,,1040,30,153,37
7,Habanero BBQ Brisket,Loaded Totilla Soup,890,30,120,33
8,,3-Cheese Nachos,1520,80,145,53
9,,Taco Salad,540,23,62,20
10,,Taco,220,9,25,9
11,,Quesadilla,1270,73,92,56
12,Ancho Chili BBQ Sauce,,90,3,17,0
13,"Bacon, smoked",,35,3,0,3
14,"Beef,",Seasoned Ground,190,11,4,21
15,,Seasoned Shredded,190,7,6,24
16,,Smoked Brisket,270,20,3,20
17,Black Bean Corn Salsa,,110,1,24,7
18,Black Beans,,140,1,24,9
19,Brown Rice,,170,2,35,4
20,"Cheese,",Cotija,100,8,2,6
21,,Shredded,170,13,1,10
22,Chicken,Grilled Marinated,170,8,4,22
23,,Tequila-Lime,100,4,9,--
24,Chipotle Cream Sauce,,90,4,10,3
25,Chorizo,,200,12,5,18
26,Cilantro,,0,0,0,0
27,,Lime Rice,190,3,38,3
28,,Lime Dressing (seasonal),50,5,2,0
29,Corn Tortilla,"5.5""",40,0,8,1
30,,Chips,560,26,75,7
31,Crispy Corn,Tortilla Strips**,10,0,1,0
32,,Taco Shell**,60,3,8,1
33,Crunchy Flour Tortilla Bowl,,390,22,41,7
34,Eggs,,230,16,2,19
35,Fajita Vegetables,,35,2,4,1
36,Fiery Habanero,,20,0,3,1
37,Flour Tortilla,"5.5""",70,2,12,2
38,,"10""",210,5,36,6
39,,"12.5""",300,7,52,8
40,Green Tabasco Flavored Queso,,150,12,6,5
41,Guacamole,,130,10,7,1
42,"Lettuce, Shredded",,0,0,0,0
43,Mango Salsa (seasonal),,60,0,14,1
44,Mexican Caesar Dressing,,90,9,1,1
45,Minced Onions,,0,0,0,0
46,Picante Ranch,,40,0,10,0
47,Pico de Gallo,,10,0,3,0
48,Pinto Beans,,130,1,23,8
49,"Pork, Pulled",,160,5,10,19
50,"Potatoes, Seasoned",,130,6,17,2
51,Roasted Chile Corn Salsa,,50,1,10,2
52,Salsa Roja,,20,0,4,1
53,Salsa Verde,,15,0,3,0
54,"Sour Cream, Lite",,50,5,2,3
55,Shrimp Fire Roasted / Glazed,5 piece,45,0,3,8
56,,10 piece,90,0.5,6,16
57,"Steak, Grilled Marinated",,180,8,2,26
58,Three Cheese Queso,,90,8,3,3
59,Tortilla Soup,,100,5,11,3
60,"Whole Wheat Flour Tortilla 12.5""",,270,5,47,11
61,Beef,Seasoned Ground,100,5,2,10
62,,Seasoned Shredded,90,4,3,12
63,Black Beans,,70,0,12,5
64,Brown Rice,,80,1,18,2
65,"Cheese, Shredded",,70,6,2,2
66,"Chicken, Grilled Marinated",,80,4,2,11
67,Cilantro Lime Rice,,90,2,19,2
68,Corn Tortilla,"5.5""",40,0,8,1
69,,Chips,560,26,75,7
70,"Flour Tortilla (5.5"")",,70,2,12,2
71,Guacamole,,45,4,2,0
72,Pinto Beans,,70,0,12,4
73,"Pork, Pulled",,80,2,5,10
74,"Sour Cream, Lite",,35,3,1,2
75,"Steak, Grilled Marinated",,90,4,1,13
76,Three Cheese Queso,,90,8,3,3
77,"Apple Sauce, Natural",,50,0,13,0
78,Brownies,,360,16,52,4
79,"Cookie, Chocolate Chunk*",,260,13,33,2
