,Food,Calories,Fat,Carbs,Protein
0,Chicken Finger,120,5,4,13
1,Cane’s Sauce®,190,18,5,0
2,Crinkle-Cut Fries,330,15,42,4
3,Texas Toast,150,5,24,4
4,Coleslaw,100,6,10,1
5,Sandwich Only,880,43,67,50
6,Diet Fountain Drink,0,0,0,0
7,Fountain Drink,43-110,0,11-30,0
8,Unsweet Tea,0,0,1,0
9,Sweet Tea,80,0,21,0
10,Lemonade,90,0,24,1
11,Milk,120,5,12,8
12,Apple Juice Drink,100,0,24,0
13,Kids Combo,600,36,35,29
14,3 Finger Combo®,1040,54,83,48
15,Box Combo™,1270,65,98,63
16,Caniac® Combo,1780,97,122,90
17,Sandwich Combo,1210,58,109,54
