,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,Coastal Lobster and Shrimp™,,1240,87,64,52
1,Grilled Lobster and Red Shrimp,,660,46,27,33
2,Langostino Lobster and Shrimp Caprese Pasta,,1750,96,143,84
3,Lobster and Shrimp Overboard™,,1970,123,126,91
4,Seaport Lobster and Shrimp,,880,63,29,47
5,Homemade Berry Shore-CakeTM,,700,30,117,10
6,Berry Bootlegger,,120,0,10,0
7,Sail Away Sangria,,200,0,23,0
8,Crispy Calamari and Vegetables,,1830,127,138,36
9,Crispy Shrimp Lettuce Wraps,,620,18,93,23
10,Langostino Lobster-Artichoke-and-Seafood Dip,,1040,56,104,32
11,Lobster and Langostino Pizza,,710,35,55,46
12,Mozzarella Cheesesticks,,810,44,67,37
13,Parrot Isle Jumbo Coconut Shrimp,,610,39,52,15
14,Seafood-Stuffed Mushrooms,,450,28,20,34
15,Seaside Sampler,,850,46,63,47
16,Signature Shrimp Cocktail,,130,0,11,21
17,Sweet Chili Shrimp,,1140,79,80,27
18,White Wine and Roasted-Garlic Mussels,,700,32,68,32
19,Create Your Own Appetizer,Chicken Breast Strips,540,37,29,22
20,,Clam Strips,560,40,39,11
21,,Crispy Calamari and Vegetables,1020,73,72,19
22,,Mozzarella Cheesesticks,420,23,36,19
23,,Stuffed Mushrooms,300,19,13,23
24,Batterfried Crawfish*,,1390,81,125,41
25,Buffalo Chicken Wings*,,990,73,9,74
26,Fried Oysters*,,950,54,97,18
27,Classic Caesar Salad,,520,46,18,10
28,,with Grilled Chicken,640,48,19,34
29,,with Grilled Shrimp,580,46,18,24
30,,with Grilled Salmon,830,65,18,42
31,Lobster and Langostino Bisque,Cup,290,22,15,7
32,,Bowl,590,44,30,15
33,New England Clam Chowder,Cup,200,15,11,6
34,,Bowl,400,29,23,12
35,Creamy Potato Bacon Soup*,Cup,270,19,21,4
36,,Bowl,530,38,41,9
37,Manhattan Clam Chowder*,Cup,110,4,12,7
38,,Bowl,220,8,24,15
39,Seafood Gumbo*,Cup,170,7,19,7
40,,Bowl,340,15,37,14
41,Garlic-Grilled Sea Scallops,,45,5,4,12
42,Garlic-Grilled Shimp Skewer,,60,6,0,12
43,Maine Lobster Tail,Roasted,330,37,0,14
44,,Wood-Grilled,330,37,0,14
45,"Snow Crab Legs (Add a cluster, steamed)",,300,34,0,20
46,Admiral's Feast,,1420,79,113,65
47,Bar Harbor Lobster Bake,,1710,94,120,91
48,Cajun Chicken Linguini Alfredo,Half,750,37,57,45
49,,Full,1170,45,106,82
50,Center-Cut NY Strip Steak,,690,32,29,73
51,Crab Linguini Alfredo,Half,940,61,60,40
52,,Full,1910,121,119,79
53,Garlic-Grilled Shrimp,,350,15,26,27
54,Hand-Battered Fish and Chips,,970,54,80,43
55,Lighthouse Garlic-Grilled Shrimp,,390,16,34,30
56,Lighthouse Maple-Glazed Chicken,,370,5,53,30
