,Food,Size,Calories,Fat,Carbs,Protein
0, Mega Bacon Cheeseburger,1/2 lb,1010,61,48,64
1, Sizzler Burger,1/2 lb,760,40,47,49
2, Sizzler Burger,1/3 lb,620,30,47,36
3,Add Tri Tip Steak to Pasta,,200,11,0,23
4,Add Sauteed Shrimp to Pasta,,330,25,2,26
5,Artichoke Hearts,,50,3,4,2
6,Add Chicken Breast to Pasta,,190,2,0,40
7,Baby Corn,,15,0,2,1
8,Ambrosia Salad ,,120,4,22,1
9,Asian Chopped Salad,,30,2,3,0
10,Balsamic Vinaigrette Dressing ,,90,8,4,0
11,Bacon Bits ,,50,3,3,4
12,Bean Sprouts ,,5,0,1,0
13,BBQ Sauce ,,90,0,23,0
14,Bacon Wrapped Sirloin Filets,,550,35,5,49
15,"Beets, Pickled ",,10,0,2,0
16,Black Olives,,30,3,1,0
17,Baked Potato,,270,4,51,6
18,Broccoli Florets ,,5,0,1,1
19,Blue Cheese Crumbles ,,50,4,0,3
20,Burgundy Mushroom Sirloin Tips with Rice Pilaf,,870,36,85,47
21,Burgundy Mushroom Sauce,,40,3,3,1
22,Burger Sauce ,,160,16,3,0
23,Caesar Dressing ,,160,17,1,1
24,Broccoli,,50,0.5,7,4
25,Broccoli Cheese Soup ,,170,10,18,2
26,Carrot Raisin Salad ,,100,6,12,1
27,Cantaloupe,,25,0,6,1
28,Carrots ,,10,0,3,0
29,Caesar Salad ,,25,2,1,1
30,Cheddar Cheese,,110,9,0,7
31,Cauliflower ,,10,0,1,0
32,Cajun Fettuccine Alfredo,,1040,64,82,42
33,Cheese Toast ,,240,19,13,5
34,Cherry Tomatoes ,,10,0,1,0
35,Classic Steak ,,390,21,1,47
36,Clam Chowder ,,330,18,35,5
37,Chopped Steak ,,520,30,17,42
38,Cilantro Lime Rice ,,120,0,26,3
39,Classic Trio,,860,47,36,70
40,Chicken Tortilla Soup ,,100,4,11,5
41,Chicken Noodle Soup ,,60,2,9,3
42,Cocktail Sauce ,,40,0,10,1
43,Chicken Chili ,,130,3,19,6
44,Cucumbers ,,5,0,1,0
45,Creamy Cole Slaw,,35,2,3,0
46,Double Mega Bacon Cheeseburger,,1180,72,48,78
47,Croutons ,,30,1,5,1
48,Cucumber Tomato Salad ,,25,1,4,1
49, Fried Shrimp,Dozen,590,18,69,40
50,Dill Tartar Sauce ,,210,23,1,0
51,"Cottage Cheese, Low Fat ",,25,1,1,4
52,Garbanzo Beans,,25,0,4,2
53,Fresh Baked Roll,,160,1,33,5
