,Food,Variety,Calories,Fat,Carbs,Protein
0,HATCH GREEN CHILE CHEESEBURGER,,710,43,43,35
1,JALAPEÑO BURGER,,640,37,40,31
2,JR. BURGER,,330,17,30,15
3,JR. DELUXE CHEESEBURGER,,420,25,32,19
4,SONIC® BACON CHEESEBURGER WITH MAYO,,820,54,43,39
5,SONIC® BURGER,WITH KETCHUP,650,37,46,31
6,,WITH MAYO,690,42,43,31
7,,WITH MUSTARD,640,37,42,31
8,SONIC® CHEESEBURGER,WITH KETCHUP,720,43,47,35
9,,WITH MAYO,750,48,44,35
10,,WITH MUSTARD,710,43,42,35
11,SuperSONIC® BACON DOUBLE CHEESEBURGER WITH MAYO,,1240,87,44,67
12,SuperSONIC® DOUBLE CHEESEBURGER,WITH KETCHUP,1130,76,47,63
13,,WITH MAYO,1160,81,44,63
14,,WITH MUSTARD,1120,76,43,63
15,SuperSONIC® JALAPEÑO DOUBLE CHEESEBURGER WITH MUSTARD,,1120,76,41,63
16,VEGGIE BURGER,WITH KETCHUP,460,14,68,15
17,,WITH MAYO,500,19,65,15
18,,WITH MUSTARD,450,14,64,15
19,AMERICAN CHEESE,,60,6,1,4
20,AVOCADO,,50,5,3,1
21,CRISPY BACON,,80,6,0,4
22,GRILLED ONIONS,,25,2,2,0
23,HATCH GREEN CHILES,,0,0,1,0
24,HICKORY BBQ SAUCE,,40,0,10,0
25,HOT CHILI,,50,4,2,3
26,LIGHT RANCH DRESSING,,70,6,3,1
27,SLAW,,130,9,15,1
28,SPICY JALAPEÑOS,,0,0,0,0
29,ALL BEEF REGULAR HOT DOG,"6""",320,18,27,11
30,TREE TOP® APPLE SAUCE,,45,0,0,2
31,CHICKEN NUGGETS,(3 PC.),220,11,17,14
32,CHICKEN STRIPS,2 PIECE,220,11,17,14
33,CORN DOG,,230,15,19,6
34,GRILLED CHEESE SANDWICH,,410,18,45,14
35,HI-C® FRUIT PUNCH - WACKY PACK®,,120,0,31,0
36,JR. BURGER,,340,17,32,15
37,MILK 1%,,130,2.5,16,10
38,MILK CHOCOLATE 1%,,180,2.5,30,10
39,MINUTE MAID® 100% APPLE JUICE BOX,,90,0,24,0
40,NATURAL-CUT FRIES SMALL,,280,13,37,3
41,TOTS SMALL,,220,12,27,2
42,BACON CHEESEBURGER TOASTER® SANDWICH,,850,50,59,40
43,BLT TOASTER® SANDWICH,,510,26,53,16
44,CHICKEN CLUB TOASTER® SANDWICH,,690,36,58,30
45,COUNTRY FRIED STEAK TOASTER® SANDWICH,,650,29,80,15
46,CHICKEN WRAP,CRISPY,510,22,57,22
47,,GRILLED,430,14,42,31
48,ASIAGO CAESAR CHICKEN CLUB SANDWICH,CRISPY,680,39,53,31
49,,GRILLED,610,30,44,40
50,ASIAN SWEET CHILI BONELESS WINGS,6 PIECE,550,21,62,30
51,,12 PIECE,1110,42,123,60
52,,24 PIECE,2210,84,246,119
53,HONEY BBQ BONELESS WINGS,6 PIECE,510,21,50,28
54,,12 PIECE,1020,42,100,57
55,,24 PIECE,2040,84,199,114
56,BUFFALO BONELESS WINGS,6 PIECE,540,32,35,28
57,,12 PIECE,1090,64,70,57
58,,24 PIECE,2180,127,140,114
59,CHICKEN STRIP SANDWICH,,440,20,47,21
60,CLASSIC CHICKEN SANDWICH,CRISPY,580,29,57,28
61,,GRILLED,450,17,44,32
62,JUMBO POPCORN CHICKEN®,MINI,160,9,12,8
