,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
0,Starbucks Refreshers™ Beverages,,,,,,,,
1,Cool Lime Starbucks Refreshers™ Beverage,Tall,45,0,11,0,0,10,
2,,Grande,60,0,15,0,0,10,
3,,Venti,90,0,23,0,0,15,
4,,Trenta,120,0,30,0,0,20,
5,Strawberry Acai Starbucks Refreshers™ Beverage,Tall,80,0,18,1,0,10,
6,,Grande,90,0,22,1,0,15,
7,,Venti,130,0,32,1,0,25,
8,,Trenta,190,0,45,2,1,30,
9,Very Berry Hibiscus Starbucks Refreshers™ Beverage,Tall,60,0,14,1,0,10,
10,,Grande,70,0,18,1,0,10,
11,,Venti,100,0,25,1,0,20,
12,,Trenta,150,0,35,3,0,20,
13,Ombré Pink Drink w/ coconut,Tall,80,2,16,0,0,0,
14,,Grande,100,2.5,20,0,0,0,
15,,Venti,160,4,30,0,1,0,
16,,Trenta,210,5,41,1,1,0,
17,Pink Drink w/ coconut,Tall,110,2,21,1,0,0,
18,,Grande,140,2.5,27,1,1,60,
19,,Venti,200,4,38,1,1,90,
20,,Trenta,270,5,53,2,1,120,
21,Violet Drink w/ coconut,Tall,90,2,17,1,0,0,
22,,Grande,110,3,22,1,0,0,
23,,Venti,160,4,31,1,1,0,
24,,Trenta,230,6,44,3,1,0,
25,Evolution Fresh™,,,,,,,,
26,Evolution Fresh™ Organic Ginger Limeade,Tall,110,0,28,0,0,5,
27,Evolution Fresh™ Super Green,Tall,130,0,31,0,1,0,
28,Evolution Fresh™ Sweet Greens and Lemon,Tall,100,0,22,0,2,300,
29,Evolution Fresh™ Orange Juice,Grande,120,0,28,0,2,0,
30,Cold Brew and Iced Coffee,,,,,,,,
31,Iced Coffee,Tall,0,0,0,0,0,0,
32,,Grande,5,0,0,0,0,5,
33,,Venti,5,0,0,0,0,10,
34,,Trenta,5,0,0,0,1,10,
35,Iced Espresso Classics - Caffe Mocha,Tall,140,2.5,23,0,5,90,
36,Iced Espresso Classics - Caramel Macchiato,Tall,130,2.5,21,0,5,65,
37,Iced Espresso Classics - Vanilla Latte,Tall,130,2.5,21,0,5,65,
38,Nariño 70 Cold Brew,Tall,0,0,0,0,0,10,
39,,Grande,5,0,0,0,0,15,
40,,Venti,5,0,0,0,0,20,
41,,Trenta,5,0,0,0,0,25,
42,Nariño 70 Cold Brew with Milk,Tall,0,0,0,0,0,10,
43,,Grande,0,0,0,0,0,0,
44,,Venti,5,0,0,0,0,20,
45,,Trenta,5,0,0,0,0,25,
46,Nitro Cold Brew,Tall,5,0,0,0,0,10,
47,,Grande,5,0,0,0,0,10,
48,Nitro Cold Brew with Sweet Cream,Tall,70,5,5,0,1,15,
