,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,Bacon 'n Cheese Double Steakburger™,,480,28,31,25
1,Bacon Lovers Steakburger™,,690,43,42,33
2,Cajun Double Steakburger,,870,63,37,37
3,Cheddar Cheesy Double Steakburger™,,800,53,35,46
4,Chipotle Double Steakburger™,,650,44,37,27
5,Double Steakburger™,,390,21,30,19
6,,with Cheese,440,25,31,22
7,Garlic Double Steakburger™ with Cheese,,630,42,38,23
8,Guacamole Single Steakburger™,,380,21,34,15
9,Guacamole Double Steakburger™,,670,44,47,25
10,Jamaican Jerk Double Steakburger™,,540,30,46,23
11,Jalapeno Crunch Steakburger™,,700,44,54,25
12,Meat Lovers Double Steakburger™,,700,44,44,30
13,Philly Cheese Double Steakburger™,,810,51,59,30
14,Portobello 'n Swiss Steakburger™,,540,29,44,27
15,Prince of Royale,,460,26,35,24
16,Royale Double Steakburger®,,620,37,41,30
17,Signature Steakburger™ w/Cheese,,790,49,48,41
18,Single Steakburger™,,280,11,30,12
19,,with Cheese,330,16,31,15
20,Triple Steakburger™,,510,30,30,26
21,,with Cheese,610,39,31,32
22,Western BBQ 'n Bacon Double Steakburger™,,700,36,65,27
23,Wisconsin Buttery Double Steakburger™,,700,47,45,23
24,7x7 Steakburger™,,1330,98,34,74
25,All American Melt,,900,65,35,39
26,Frisco Melt,,750,53,41,26
27,Grilled Cheese Steakburger Melt,,720,51,35,28
28,Patty Melt,,650,40,47,25
29,BBQ,,140,6,16,6
30,,with Cheese,170,8,16,7
31,Chipotle,,160,9,13,6
32,,with Cheese,180,11,13,7
33,Frisco,,160,9,14,6
34,,with Cheese,190,11,14,7
35,Garlic,,250,19,13,7
36,Ketchup and Mustard,,140,6,15,6
37,,with Cheese,160,8,15,7
38,Ketchup and Onion,,140,6,15,6
39,,with Cheese,160,8,15,7
40,Steakburger Shooter®,Plain,130,6,12,6
41,,with Cheese,150,8,13,7
42,"Bacon, Lettuce, 'n Tomato Sandwich",,380,18,40,14
43,Grilled Cheese Sandwich,,410,23,37,14
44,Grilled Cheese 'n Bacon Sandwich,,460,26,37,17
45,Grilled Chicken Sandwich,,370,12,51,25
46,Spicy Chicken Sandwich,,580,26,51,27
47,Chicken Fingers (3),,370,20,26,21
48,Chili 3-way,,830,36,94,33
49,Chili 5-way,,1170,63,99,53
50,Chili Bowl,,880,47,75,40
51,Chili Cup,,440,24,38,20
52,Chili Deluxe,Bowl,1220,74,81,61
