,Food,Calories,Fat,Carbs,Protein
0,Black Forest Ham,290,4.5,46,18
1,Chicken & Bacon Ranch Melt,590,30,44,37
2,Classic Tuna,470,25,41,20
3,Cold Cut Combo,340,12,43,17
4,Italian B.M.T.®,390,17,43,19
5,Meatball Marinara,460,18,53,20
6,Oven Roasted Chicken,320,5,46,23
7,Roast Beef,320,5,45,25
8,Rotisserie-Style Chicken,350,6,45,29
9,Spicy Italian,470,24,43,19
10,Steak & Cheese,360,10,43,24
11,Steak Club,530,26,44,28
12,Subway Club®,310,4.5,46,23
13,Sweet Onion Chicken Teriyaki,370,4,58,25
14,Turkey BreastTurkey Breast,280,3.5,46,18
15,Turkey Reuben,410,15,42,31
16,Veggie Delite®,230,2.5,44,8
17,Black Forest Ham,110,3,13,12
18,Chicken & Bacon Ranch ,540,40,15,32
19,Cold Cut Combo,180,11,13,12
20,Italian B.M.T.® ,230,15,13,14
21,Meatball Marinara ,310,17,27,15
22,Oven Roasted Chicken,150,3.5,13,17
23,Roast Beef,140,3.5,12,19
24,Rotisserie-Style Chicken,170,4.5,12,23
25,Spicy Italian,310,23,13,14
26,Steak & Cheese,210,8,16,20
27,Steak Club,250,12,13,22
28,Subway Club®,140,3.5,13,18
29,Sweet Onion Chicken Teriyaki,230,3,34,19
30,Tuna,310,24,11,15
31,Turkey Breast,110,2,13,12
32,Turkey Reuben,330,18,21,26
33,Veggie Delite®,60,1,11,3
34,"Bacon, Egg & Cheese",460,21,43,25
35,"Black Forest Ham, Egg & Cheese",410,16,44,23
36,Egg & Cheese,380,5,43,19
37,"Steak, Egg & Cheese",450,6,45,28
38,Bacon,80,5,1,6
39,Beef Chili Soup,350,22,20,21
40,Black Bean Soup,10,1,39,12
41,Broccoli Cheddar Soup,170,9,18,5
42,Chicken Tortilla Soup,110,4.5,12,6
43,Chocolate Chip Cookie,200,10,30,2
44,Chocolate Chip with Rainbow Gems,210,10,30,2
45,Chocolate Chunk Cookie,210,10,30,2
46,Creamy Chicken & Dumpling Soup,150,4.5,20,8
47,Creamy Chicken & Wild Rice Soup,190,11,16,7
48,Double Chocolate,210,9,30,2
49,"French Onion Soup (includes bread, cheese)",150,6,19,5
50,Loaded Baked Potato Soup,210,13,15,5
51,Pepperoni,80,7,1,4
52,Raspberry Cheesecake Cookie,200,9,29,2
53,Tomato Basil Soup,130,3.5,15,4
54,White Chip Macadamia Nut Cookie,220,11,28,2
55,Roasted Garlic,230,2.5,45,8
56,9-Grain Honey Oat,230,3,43,8
57,9-Grain Wheat,210,2,40,8
58,Flatbread***,230,4.5,39,7
59,Hearty Italian**,210,2.5,40,7
60,Italian,200,2.5,38,7
61,Italian Herbs & Cheese,240,5,41,9
62,Jalapeño Cheese,240,5,40,9
63,Mini Italian,130,1.5,25,5
64,Mini Wheat,140,1.5,27,5
65,Monterey Cheddar**,240,6,38,10
66,Multigrain Flatbread,220,5,38,8
67,Parmesan Oregano**,210,2.5,40,7
68,Rosemary & Sea Salt,220,3,40,7
69,Rye**,190,2.5,34,8
70,American,40,3.5,1,2
71,Cheddar**,60,4.5,0,4
72,Monterey Cheddar,50,4.5,0,3
73,Pepperjack**,50,4,0,2
74,Provolone**,50,4,0,4
75,Shredded Mozzarella,40,3,0,3
76,Swiss**,50,4.5,0,4
77,Chipotle Southwest,100,10,1,0
78,Cranberry Mustard Sauce**,40,0.5,8,0
79,Honey Mustard**,30,0,7,0
80,Light Mayonnaise,50,5,1,0
81,Oil,45,5,0,0
82,Ranch,110,11,1,0
83,Red Wine Vinegar,0,0,0,0
84,Regular Mayonnaise,110,12,0,0
85,Spicy Brown Mustard,5,0,1,0
86,Subway® Vinaigrette,40,4,1,0
87,Sweet Onion,40,0,9,0
88,Yellow Mustard,5,0,1,0
89,Banana Peppers,0,0,0,0
90,Black Olives,0,0,0,0
91,Cucumbers,0,0,1,0
92,Green Peppers,0,0,0,0
93,Jalapenos,0,0,0,0
94,Lettuce,0,0,1,0
95,Pickles,0,0,0,0
96,Red Onions,0,0,1,0
97,Spinach,0,0,0,0
98,Tomatoes,5,0,1,0
99,Guacamole**,70,6,3,1
