,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,Breakfast Crunchwrap,Bacon,670,42,51,21
1,,Sausage,700,46,51,21
2,,Steak,650,39,51,24
3,Breakfast Quesadilla,Bacon,510,29,37,26
4,,Sausage,500,29,37,24
5,,Steak,500,26,38,29
6,Breakfast Soft Taco,Bacon,240,14,15,11
7,,Egg & Cheese,170,9,15,7
8,,Steak,230,14,15,9
9,Cinnabon® Delights™,(12 Pack - Serves 4),930,53,104,9
10,,(2 Pack),160,9,17,2
11,,(4 Pack),310,18,35,3
12,Grande Scrambler Burrito,Bacon,650,34,64,21
13,,Sausage,640,34,64,19
14,,Steak,630,31,65,24
15,Grilled Breakfast Burrito,Bacon,350,17,37,13
16,,Fiesta Potato,340,14,43,10
17,,Sausage,340,17,36,11
18,Hashbrown,,160,12,13,1
19,Iced Regular Coffee,,10,0,0,2
20,Mini Skillet Bowl,,180,11,16,5
21,Mtn Dew® Kickstart™ Orange Citrus,,70,0,18,0
22,Nestle® Coffee-Mate™ Sweetened Original Creamer,,25,1.5,3,0
23,Rainforest Coffee,,10,0,0,2
24,Rainforest Coffee with Nestle® Coffee-Mate™ Sweetened Original Creamer,,30,1.5,3,2
25,Sausage Flatbread Quesadilla,,330,18,27,14
26,Tropicana® Orange Juice,,140,0,33,2
27,7-Layer Burrito,,440,16,59,14
28,Bean Burrito,,380,11,55,14
29,Beefy 5-Layer Burrito,,500,19,64,19
30,Beefy Fritos® Burrito,,440,18,57,13
31,Beefy Nacho Loaded Griller,,370,15,47,12
32,Black Bean Burrito,,390,11,60,14
33,Burrito Supreme®,Beef,410,15,51,17
34,,Chicken,380,12,49,20
35,,Steak,390,12,50,19
36,Cheesy Bean & Rice Burrito,,430,17,57,11
37,Cheesy Potato Burrito,,490,22,54,18
38,Cheesy Potato Griller,,340,13,50,8
39,Chili Cheese Burrito (regional),,370,17,40,16
40,Chipotle Chicken Loaded Griller,,340,16,36,14
41,Combo Burrito,,450,18,51,21
42,Quesarito,Beef,650,33,67,21
43,,Chicken,640,32,66,22
44,,Steak,630,30,66,24
45,Shredded Chicken Burrito,,420,20,47,14
46,Smothered Burrito,Beef,700,33,71,28
47,,Shredded Chicken,670,31,68,30
48,,Steak,660,28,69,33
49,XXL Grilled Stuft Burrito,Beef,870,40,96,32
50,,Chicken,830,34,92,38
51,,Steak,840,35,93,37
52,Airhead® Blue Raspberry Freeze™,(16 oz),180,0,49,0
53,,(20 oz),230,0,61,0
54,Mtn Dew® Baja Blast Freeze™,(16 oz),180,0,51,0
