,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,Boneless Buffalo Wings,with Hot Sauce,860,50,43,58
1,,with Mild Sauce,760,42,37,60
2,,Bleu Cheese Dressing (2 oz),280,30,4,2
3,Cactus Blossom®,,1700,89,202,27
4,,Cajun Horseradish Sauce (3 oz),270,26,9,less than 1
5,Cheese Fries,,1240,65,127,39
6,,with Chili,1460,80,136,49
7,Firecracker Shrimp (14 pieces),,1100,88,58,23
8,Fried Pickles,,550,38,48,6
9,,Cajun Horseradish Sauce (3 oz),270,26,9,less than 1
10,,Ranch Dressing (3 oz),430,47,5,less than 1
11,Grilled Shrimp,,240,8,25,17
12,,Garlic Butter (1 oz),170,18,less than 1,0
13,Killer Ribs - includes Steak Fries,,910,53,60,49
14,Rattlesnake Bites,,560,36,34,25
15,,Cajun Horseradish Sauce (3 oz),270,26,9,less than 1
16,,Ranch Dressing (3 oz),430,47,5,less than 1
17,Tater Skins,,1020,29,107,37
18,,Sour Cream (2 oz),110,11,2,1
19,Twisted Mozzarella,,650,36,58,25
20,,Marinara Sauce (3 oz),35,2,4,1
21,Boneless Buffalo Wings,with Hot Sauce,430,25,21,29
22,,with Mild Sauce,380,21,19,30
23,Rattlesnake Bites,,280,18,17,13
24,Tater Skins,,510,24,53,18
25,Texas Red Chili (Cup),,290,16,16,21
26,,Saltine Crackers (1 packet),25,0,5,0
27,Texas Red Chili (Bowl),,490,27,27,35
28,,Saltine Crackers (2 packets),50,1,9,less than 1
29,Loaded Potato Soup (Cup),,150,10,15,2
30,,Saltine Crackers (1 packet),25,0,5,0
31,Loaded Potato Soup (Bowl),,260,16,25,3
32,,Saltine Crackers (2 packets),25,1,9,less than 1
33,California Chicken Salad,,740,41,20,78
34,Chicken Caesar Salad - dressing included,,1050,81,22,63
35,Chicken Critter® Salad,,690,41,27,56
36,Grilled Chicken Salad,,810,45,20,85
37,Grilled Salmon Salad,,800,53,18,66
38,Grilled Shrimp Caesar Salad - dressing included,,970,80,24,42
39,Salmon Caesar Salad - dressing included,,1150,104,22,35
40,Steakhouse Filet Salad - dressing included,,910,57,38,68
41,,Dressing - Bleu Cheese (3 oz),420,45,5,3
42,,Dressing - Caesar (3 oz),460,48,6,3
43,,Dressing - Honey French (3 oz),220,8,36,0
44,,Dressing - Honey Lime (3 oz),240,7,45,0
45,,Dressing - Honey Mustard (3 oz),470,47,16,less than 1
46,,Dressing - Italian (3 oz),400,36,17,less than 1
47,,Dressing - Low Fat Ranch (3 oz),330,30,3,3
48,,Dressing - Parmesan Peppercorn (3 oz),320,32,6,5
49,,Dressing - Ranch (3 oz),430,47,5,less than 1
50,,Dressing - Thousand Island (3 oz),400,39,14,less than 1
51,Caesar Salad - dressing included,,420,39,11,8
52,House Salad,,230,16,9,13
53,,Dressing - Bleu Cheese (2 oz),280,30,4,2
54,,Dressing - Caesar (2 oz),310,32,4,2
55,,Dressing - Honey French (2 oz),140,6,24,0
56,,Dressing - Honey Lime (2 oz),160,5,30,0
57,,Dressing - Honey Mustard (2 oz),320,32,11,less than 1
58,,Dressing - Italian (2 oz),270,24,11,0
59,,Dressing - Low Fat Ranch (2 oz),220,20,2,2
60,,Dressing - Parmesan Peppercorn (2 oz),220,22,4,3
61,,Dressing - Ranch (2 oz),290,31,4,less than 1
62,,Dressing - Thousand Island (2 oz),270,26,10,less than 1
63,Bone-In Ribeye (20 oz),,1480,101,20,143
64,Dallas Filet,6 oz,270,10,6,45
65,,8 oz,360,13,8,60
66,Filet Medallions (9 oz) - includes Seasoned Rice,,760,30,56,74
67,,Peppercorn Brown Sauce (4 oz),160,14,7,less than 1
