,Food,Size / Variety,Calories,Fat,Carbs,Protein
0,BLT Sandwich,,360,14,44,10
1,Chicken Salad Sandwich,,330,9,45,20
2,Ham & Swiss Sandwich,,370,11,46,24
3,"Turkey, Bacon Club Sandwich",,400,11,52,26
4,"Bacon, Tomato & Cheese Panini",,600,30,62,26
5,Grilled Cheese Panini,,490,18,60,24
6,Tuscan Chicken Panini,,560,21,62,34
7,BBQ Chicken Wrap Snacker,,190,4.5,25,12
8,Chicken Ranch Wrap Snacker,,190,6,22,12
9,Chicken Salad Wrap Snacker,,190,7,22,10
10,Breakfast Sandwiches,"Biscuit, Bacon, Egg, Cheese",410,22,34,19
11,,"Biscuit, Bacon, Egg White, Cheese",360,17,33,18
12,,"Biscuit, Sausage, Egg, Cheese",490,31,34,20
13,,"Biscuit, Sausage, Egg White, Cheese",430,26,32,19
14,,"Biscuit, Egg, Cheese",350,17,34,15
15,,"Biscuit, Egg White, Cheese",300,12,32,14
16,,"English Muffin, Bacon, Egg, Cheese",330,15,30,17
17,,"English Muffin, Bacon, Egg White, Cheese",280,10,29,17
18,,"English Muffin, Sausage, Egg, Cheese",410,24,30,19
19,,"English Muffin, Sausage, Egg White, Cheese",360,19,29,18
20,,"English Muffin, Egg, Cheese",270,10,30,13
21,,"English Muffin, Egg White, Cheese",220,5,29,13
22,Breakfast Panini,"Multigrain Flatbread, Bacon, Egg, Cheese",330,17,28,18
23,,"Multigrain Flatbread, Bacon, Egg White, Cheese",280,12,27,17
24,,"Multigrain Flatbread, Sausage, Egg, Cheese",410,26,28,19
25,,"Multigrain Flatbread, Sausage, Egg White, Cheese",350,21,26,18
26,Grilled Breakfast Wraps,"Sausage, Egg, Cheese",390,26,24,17
27,,"Bacon, Egg, Cheese",310,17,24,15
28,,"Egg, Cheese",250,12,24,12
29,Other,Hash Brown,120,7,16,1
30,,Oatmeal - Maple,220,2.5,49,5
31,,Oatmeal - Mixed Berries,210,3,44,6
32,,Bagel BELT® (Plain Bagel),500,17,65,23
33,,Sausage Bagel BELT™ (Plain Bagel),570,26,65,24
34,,Sausage and Biscuit,350,22,29,11
35,Coffee,Black,0,0,0,0
36,,"1 Cream, 1 Sugar",70,3.5,9,1
37,,Decaffeinated,0,0,0,0
38,Tea,Black,0,0,0,0
39,,"1 Cream, 1 Sugar",40,0.4,8,1
40,Hot Chocolate,,240,6,45,2
41,,White,260,9,42,1
42,Apple Cider,,210,0,52,0
43,Latte,,80,0.2,12,8
44,,Flavoured,100,0.2,19,7
45,,Chocolate,180,6,24,6
46,,Tea,50,0.1,7,5
47,Cappuccino,,60,0.2,10,6
48,,French Vanilla,250,8,41,4
49,,English Toffee,240,7,41,4
50,Café Mocha,,190,8,29,1
51,Americano,,4,0,1,0.3
52,Iced Capp™,(Cream),250,11,33,2
53,,(Milk),150,1.5,32,3
54,,(Chocolate Milk),160,0.5,36,3
55,Flavoured Iced Capp™,(Cream),250,11,34,2
56,Iced Coffee,(Cream),110,6,12,1
