,Food,Size,Calories,Fat,Carbs,Protein
0,Dave's Single®,,570,34,39,30g
1,Dave's Double®,,810,51,39,49g
2,Dave's Triple®,,1090,72,40,71g
3,Baconator®,,940,62,38,59g
4,Son of Baconator®,,630,39,37,34g
5,Jr. Bacon Cheeseburger,,380,22,26,19g
6,Jr. Cheeseburger Deluxe,,330,19,27,16g
7,Jr. Hamburger,,240,10,25,14g
8,Jr. Cheeseburger,,280,13,25,16g
9,Double Stack™,,390,21,25,25g
10,Homestyle Asiago Ranch Chicken Club,,670,34,53,38g
11,Spicy Chicken Sandwich,,510,21,51,30g
12,Homestyle Chicken Sandwich,,520,22,52,29g
13,Grilled Chicken Sandwich,,360,8,38,35g
14,Crispy Chicken Sandwich,,330,16,33,14g
15,Spicy Chicken Wrap,,370,20,30,18g
16,Grilled Chicken Wrap,,270,10,24,20g
17,Crispy Chicken BLT,,420,23,35,20g
18,Chicken Nuggets,4-piece,170,11,10,9g
19,,6-piece,250,16,14,13g
20,,10-piece,420,27,24,22g
21,Taco Salad,Full,660,32,63,32g
22,,Half,470,23,49,19g
23,Power Mediterranean Chicken Salad,Full,480,16,42,43g
24,,Half,250,9,23,22g
25,BBQ Ranch Chicken Salad,Full,590,30,42,42g
26,,Half,310,15,25,21g
27,Apple Pecan Chicken Salad,Full,560,24,52,38g
28,,Half,340,17,29,20g
29,Spicy Chicken Caesar Salad,Full,720,43,41,43g
30,,Half,410,24,29,23g
31,Value Natural-Cut Fries,,230,10,30,3g
32,Classic Chocolate Frosty®,,340,9,56,10g
33,Chili,,170,5,16,15g
34,Spicy Chicken Nuggets,4-piece,190,12,11,9g
35,,6-piece,280,17,17,14g
36,Value Coca-Cola®,,160,0,44,0g
37,Garden Side Salad,,210,13,18,4g
38,Caesar Side Salad,,250,18,18,7g
39,Double Stack™,,390,21,25,25g
40,Bacon Ranch Fries,,600,39,46,18g
41,Bacon Sriracha Fries,,590,38,47,14g
42,Baconator® Fries,,490,28,46,14g
43,Garden Side Salad,,260,18,19,7g
44,Sour Cream and Chive Baked Potato,,310,2.5,63,8g
45,Broccoli Cheese Baked Potato,,430,11,70,15g
