,Food,Size/Variety,Calories,Fat,Carbs,Protein
0,The Original Slider®,,140,6,13,7
1,,New York / New Jersey only,140,6,15,7
2,Double Original Slider®,,240,12,21,12
3,,New York / New Jersey only,250,12,23,12
4,Cheese,,160,9,14,8
5,,New York / New Jersey only,170,9,15,8
6,Double Cheese,,300,17,21,15
7,,New York / New Jersey only,300,17,24,15
8,Cheddar Cheese,,170,9,14,9
9,,New York / New Jersey only,180,9,16,9
10,Jalapeño Cheese,,170,9,14,8
11,,New York / New Jersey only,170,9,15,8
12,Bacon Cheese,,220,14,13,11
13,,New York / New Jersey only,220,14,15,11
14,Fish,,340,24,18,11
15,Surf & Turf,,540,38,27,22
16,"Impossible Slider - Chicago, NY & NJ only - limited time offering",,300,17,18,18
17,Veggie,w/Sweet Thai Sauce,160,5,23,6
18,,w/Ranch,270,18,21,5
19,,w/Honey Mustard,170,5,25,5
20,Chicken Ring,,200,10,16,10
21,Chicken Breast,,220,10,20,11
22,Chicken & Waffles,Crispy,350,18,36,9
23,,Savory Grilled,340,18,30,14
24,Savory Grilled Chicken,,180,7,13,15
25,Bacon & Cheddar Grilled Chicken,,270,15,14,20
26,Bacon & Cheddar Crispy Chicken,,290,16,21,14
27,French Fries,Kids,250,16,24,2
28,,Small,330,21,32,3
29,,Medium,600,39,57,6
30,,Sack (serves 3),770,49,76,8
31,French Fries (New York / New Jersey only),My size,260,16,25,4
32,,Small,350,21,34,5
33,,Medium,630,39,60,9
34,,Sack (serves 3),810,49,81,12
35,Cheese Fries,,400,27,35,4
36,,New York / New Jersey only,410,28,35,4
37,Loaded Fries,,460,38,20,4
38,,New York / New Jersey only,460,38,20,4
39,Onion Chips,Small,480,36,33,4
40,,Medium,930,65,73,8
41,,Sack (serves 3),1350,101,92,11
42,Onion Rings,Small,480,33,40,6
43,,Sack (serves 3),890,61,74,11
44,Onion Rings (New York / New Jersey only),Small,340,22,33,2
45,,Sack (serves 3),640,41,62,4
46,Mozzarella Cheese Sticks,3 sticks,460,33,26,12
47,,5 sticks,760,55,40,21
48,,10 sticks (serves 3),1490,111,77,41
49,Cheese Curds - Limited Time Offering,Small,660,55,12,28
50,,Medium,1220,103,22,51
51,,Sack (serves 3),1980,167,36,83
52,Clam Strips,Small,210,17,5,8
53,,Medium,410,34,9,16
54,,Sack (serves 3),620,51,14,24
55,Fish Nibblers®,Small,320,16,28,16
56,,Medium,590,29,51,30
57,,Sack (serves 3),1100,53,95,55
58,Chicken Rings,3 pc,160,10,6,9
59,,6 pc,320,20,12,18
60,,9 pc,470,31,18,26
61,,20 pc (serves 3),1050,68,41,58
62,Pouch,,40,0,10,0
63,Breakfast Slider,w/Egg & Cheese,160,7,13,9
64,,w/Egg & Jalapeno Cheese,160,8,13,10
65,,w/Egg & Cheddar Cheese,160,8,13,10
66,,"w/Sausage, Egg & Cheese",310,22,13,15
67,,"w/Sausage, Egg & Jalapeno Cheese",310,22,13,15
68,,"w/Sausage, Egg & Cheddar Cheese",320,22,14,15
69,,"w/Bacon, Egg & Cheese",210,12,13,12
70,,"w/Bacon, Egg & Jalapeno Cheese",220,13,13,13
71,,"w/Bacon, Egg & Cheddar Cheese",220,13,13,13
72,,"w/Bologna, Egg & Cheese",310,19,15,15
73,,"w/Bologna, Egg & Jalapeno Cheese",310,20,15,16
74,,"w/Bologna, Egg & Cheddar Cheese",310,20,15,16
75,Original Slider,w/Egg & Cheese,220,13,13,13
76,,w/Egg & Jalapeno Cheese,230,13,14,14
77,,w/Egg & Cheddar Cheese,230,14,15,14
78,Breakfast Toast Sandwich,"w/Egg, Cheese",230,9,29,11
79,,"w/Egg, Jalapeno Cheese",240,9,29,11
80,,"w/Egg, Cheddar Cheese",240,9,29,12
81,,"w/Sausage, Egg, Cheese",380,23,29,16
82,,"w/Sausage, Egg, Jalapeno Cheese",390,23,29,16
83,,"w/Sausage, Egg, Cheddar Cheese",390,24,30,17
84,,"w/Bacon, Egg, Cheese",340,19,29,17
85,,"w/Bacon, Egg, Jalapeno Cheese",350,19,29,17
86,,"w/Bacon, Egg, Cheddar Cheese",350,19,29,18
87,,"w/Bologna, Egg, Cheese",380,20,31,17
88,,"w/Bologna, Egg, Jalapeno Cheese",390,20,31,17
89,,"w/Bologna, Egg, Cheddar Cheese",390,20,31,18
90,Waffle Breakfast Slider,"w/Egg, Cheese",290,17,27,9
91,,"w/Egg, Jalapeno Cheese",300,17,27,9
92,,"w/Egg, Cheddar Cheese",300,17,27,10
93,,"w/Sausage, Egg, Cheese",440,31,27,14
94,,"w/Sausage, Egg, Jalapeno Cheese",450,31,27,14
95,,"w/Sausage, Egg, Cheddar Cheese",450,32,28,15
96,,"w/Bacon, Egg, Cheese",350,22,27,12
97,,"w/Bacon, Egg, Jalapeno Cheese",350,22,27,12
98,,"w/Bacon, Egg, Cheddar Cheese",350,22,27,13
99,,"w/Bologna, Egg, Cheese",440,29,29,15
100,,"w/Bologna, Egg, Jalapeno Cheese",450,29,29,15
101,,"w/Bologna, Egg, Cheddar Cheese",450,29,29,16
102,Cinnamon Donuts,,150,8,22,2
103,Chocolate Covered Donuts,,160,9,21,2
104,Glazed Donuts,,160,9,21,2
105,Powdered Sugar Donuts,,150,8,22,2
106,Plain Donuts,,150,8,22,2
107,Hash Round Nibblers®,Small,360,28,25,2
108,,Medium,600,46,42,4
109,,Sack,1440,110,101,10
110,Hash Round Nibblers® (New York / New Jersey only),Small,340,25,23,2
111,,Medium,560,42,39,4
112,,Sack,1330,101,92,9
113,Two Waffles w/Syrup,,280,10,46,2
114,Fudge Dipped Brownie,,250,12,33,2
