,Food,Variety,Calories,Fat,Carbs,Protein
0,THE GRILLED HOUSE ZALAD,,260,28,33,45
1,,Salad Base,25,0,4,2
2,,Cucumbers,0,0,1,0
3,,Roma Tomatoes,5,0,1,0
4,,Cheddar/Jack Cheese,140,11,1,7
5,,Fried Onions,80,6,5,1
6,,Grilled Fillet,160,3.5,2,31
7,,Texas Toast,150,7,19,4
8,THE FRIED HOUSE ZALAD,,700,38,41,48
9,,Salad Base,25,0,4,2
10,,Cucumbers,0,0,1,0
11,,Roma Tomatoes,5,0,1,0
12,,Cheddar/Jack Cheese,140,11,1,7
13,,Fried Onions,80,6,5,1
14,,Chicken Fingers,300,14,10,34
15,,Texas Toast,150,7,19,4
16,THE GARDEN HOUSE ZALAD,,400,24,31,14
17,,Salad Base,25,0,4,2
18,,Cucumbers,0,0,1,0
19,,Roma Tomatoes,5,0,1,0
20,,Cheddar/Jack Cheese,140,11,1,7
21,,Fried Onions,80,6,5,1
22,,Texas Toast,150,7,19,4
23,THE GRILLED COBB ZALAD,,680,35,34,55
24,,Salad Base,25,0,4,2
25,,Cucumbers,0,0,1,0
26,,Roma Tomatoes,5,0,1,0
27,,Cheddar/Jack Cheese,140,11,1,7
28,,Fried Onions,80,6,5,1
29,,Bacon,25,1.5,0,3
30,,Hard-Boiled Egg,90,6,1,7
31,,Grilled Fillet,160,3.5,2,31
32,,Texas Toast,150,7,19,4
33,THE FRIED COBB ZALAD,,820,46,42,58
34,,Salad Base,25,0,4,2
35,,Cucumbers,0,0,1,0
36,,Roma Tomatoes,5,0,1,0
37,,Cheddar/Jack Cheese,140,11,1,7
38,,Fried Onions,80,6,5,1
39,,Bacon,25,1.5,0,3
40,,Hard-Boiled Egg,90,6,1,7
41,,Chicken Fingers,300,14,10,34
42,,Texas Toast,150,7,19,4
43,THE GARDEN COBB ZALAD,,520,32,32,24
44,,Salad Base,25,0,4,2
45,,Cucumbers,0,0,1,0
46,,Roma Tomatoes,5,0,1,0
47,,Cheddar/Jack Cheese,140,11,1,7
48,,Fried Onions,80,6,5,1
49,,Bacon,25,1.5,0,3
50,,Hard-Boiled Egg,90,6,1,7
51,,Texas Toast,150,7,19,4
52,THE GRILLED CAESAR ZALAD,,440,16,25,49
53,,Caesar Base,25,0,4,2
54,,Bacon,50,3,0,6
55,,Grilled Fillet,160,3.5,2,31
56,,Parmesan Cheese,90,6,1,7
57,,Croutons,110,3,18,3
58,THE FRIED CAESAR ZALAD,,580,26,33,52
59,,Caesar Base,25,0,4,2
60,,Bacon,50,3,0,6
61,,Chicken Fingers,300,14,10,34
62,,Parmesan Cheese,90,6,1,7
63,,Croutons,110,3,18,3
64,THE GARDEN CAESAR ZALAD,,280,12,23,18
65,,Caesar Base,25,0,4,2
66,,Bacon,50,3,0,6
67,,Parmesan Cheese,90,6,1,7
68,,Croutons,110,3,18,3
69,THE BLACKENED BLUE ZALAD,,540,27,32,45
70,,Salad Base,25,0,4,2
71,,Roma Tomatoes,5,0,1,0
72,,Blue Cheese,110,10,1,6
73,,Fried Onions,80,6,5,1
74,,Blackened Grilled Fillet,170,3.5,2,32
75,,Texas Toast,150,7,19,4
76,THE BUFFALO BLUE ZALAD,,690,37,43,47
77,,Salad Base,25,0,4,2
78,,Roma Tomatoes,5,0,1,0
79,,Blue Cheese,110,10,1,6
80,,Fried Onions,80,6,5,1
81,,Chicken Fingers,300,14,10,34
82,,Tongue Torch,15,0,3,0
83,,Texas Toast,150,7,19,4
84,THE GARDEN BLUE ZALAD,,370,23,30,13
85,,Salad Base,25,0,4,2
86,,Roma Tomatoes,5,0,1,0
87,,Blue Cheese,110,10,1,6
88,,Fried Onions,80,6,5,1
89,,Texas Toast,150,7,19,4
90,RANCH,,160,16,2,1
91,BLUE CHEESE,,180,19,2,1
92,HONEY FRENCH,,150,12,9,0
93,HONEY MUSTARD,,150,13,6,0
94,MEDITERRANEAN,,140,14,4,0
95,LITE RANCH,,90,8,3,1
96,CAESAR,,90,8,2,2
97,1000 ISLAND,,230,24,3,0
98,LITE VINAIGRETTE,,35,0,8,0
99,KICKIN’ CHICKEN SANDWICH MEAL,,1130,57,102,46
100,,Texas Toast,310,14,38,7
101,,Chicken Fingers,300,14,10,34
102,,Tongue Torch Sauce,20,0,3,0
103,,Ranch Sauce,130,13,1,1
104,,Crinkle Fries,370,16,50,4
105,KICKIN’ CHICKEN SANDWICH,,760,41,52,42
106,,Texas Toast,310,14,38,7
107,,Chicken Fingers,300,14,10,34
108,,Tongue Torch Sauce,20,0,3,0
109,,Ranch Sauce,130,13,1,1
110,CHICKEN FINGER SANDWICH MEAL,,1190,64,106,46
